gene_id	gene_name	EP1-BRN3B-RO	EP1-WT_hRO_2	EP1-WT_ROs_D45	H9-BRN3B_hRO_2	H9-BRN3B-RO	H9-CRX_hRO_2	H9-CRX_ROs_D45
LOX	LOX	587.99999662246	7.999999393186996	17.99999789219598	10.999999758336998	78.00000024674999	5.999999413781998	8.000000474388008
LPIN1	LPIN1	52.00000264986797	25.999999030537992	23.999999533039997	17.999999738551995	21.999999308301994	21.99999935974	20.999999663472995
LRCH4	LRCH4	59.000001328320984	25.000001947317003	53.00000219103401	12.999998910394993	30.000001563113997	16.999999848255	45.99999956413999
LRIG1	LRIG1	59.999999477252004	6.999999636151997	27.999997111767975	13.999999960429998	32.99999684170499	12.999998729860994	20.999999663472998
LRRC34	LRRC34	15.999999472736004	3.000000608012003	2.999995547669964	14.999999536458995	29.999999442365997	4.999999511484998	5.999997192199953
LRRC57	LRRC57	28.99999868071101	6.999999636151997	8.000002187792017	3.999999778121998	14.999999721182999	7.999999218375995	10.99999590689693
LRRC8D	LRRC8D	62.999999742012996	27.00000012448	83.99999836563995	21.99999951667399	74.00000017971799	20.999999457442996	77.9999951345099
LRRFIP1	LRRFIP1	107.00000265551296	56.99999952006499	86.99999742847795	51.00000048756899	72.000001206576	49.000001249377014	77.99999829810096
LRRTM4	LRRTM4	34.99999921023301	16.000000123280998	132.99999946277796	35.99999947710399	16.000000268127998	34.00000120571602	31.99999873396098
LTBP3	LTBP3	132.00000292253196	13.999999272303993	29.99999765871598	17.99999826454599	41.99999964346199	16.999999848255	37.999995926160935
LUC7L3	LUC7L3	510.999996614557	310.00000088454897	956.0000083490479	489.0000019870329	289.0000011317529	588.0000029188761	349.00000645901713
LYSET	LYSET	158.99999657842903	49.000001463785	165.00000118360998	65.00000044799899	154.99999994655496	58.00000037005001	154.00000280478704
LZTR1	LZTR1	43.00000185558498	23.999999516467994	88.99999797542598	27.999998446853986	41.999999643462	29.000000185025005	54.999998516030985
MADD	MADD	14.00000317487397	5.99999854220999	7.999998672623989	3.0000002020929997	9.999999107205998	4.999999511484997	13.999991339405852
MAGED2	MAGED2	539.999995295268	192.00000014246498	795.000004744166	249.00000203365894	270.000001343538	198.00000178369007	549.0000088279442
MAGI3	MAGI3	119.99999895450401	54.00000024895999	227.00000056315798	47.00000070944699	53.99999772380999	49.999999642468005	112.99999879175297
MAGOHB	MAGOHB	123.999997368196	55.00000000599499	280.000002754192	48.00000028547599	81.99999819303399	45.00000013098301	216.00000331770306
MAK	MAK	70.99999947838099	11.999999758233995	7.999998672623988	8.999999132272995	72.00000120657597	10.999998925266993	11.99999754799096
MAN1B1	MAN1B1	55.999998154576005	18.999999394385995	56.99999976976199	12.999998910394993	28.99999677467299	12.999998729860993	54.999995352439925
MAN1C1	MAN1C1	110.00000001129	27.000000124479996	38.99999836239799	22.999999092702993	74.00000017971799	23.00000077124301	47.999999682737
MAP2	MAP2	430.99999634189294	114.000000377037	144.99999571412994	97.99999677499797	460.999999772633	78.99999982749301	124.00000102583203
MAP3K11	MAP3K11	59.00000132832098	19.999999151420994	54.000000706924006	20.999999940644997	40.99999909651699	11.000000434473005	59.00000191681604
MAP3K7	MAP3K7	44.00000291349996	23.999998179560986	81.99999430352393	20.99999699263298	43.00000019040699	21.99999935974	44.99999159586386
MAP4	MAP4	260.99999976233494	71.99999988631099	144.00000422857605	81.99999913651598	159.999998439784	67.99999939302002	135.99999857382298
MAP4K5	MAP4K5	120.99999419445103	33.000000003597	83.00000336491802	34.00000032504599	80.99999976683699	44.999998621777	54.99999535243993
MAP6	MAP6	297.999998179414	102.00000061880299	400.00000041939194	117.00000051159697	215.00000095203495	136.00000180445204	260.0000059268371
MAP7	MAP7	143.999998163608	49.000001463785	47.000000550189995	31.000000122952997	138.99999967842697	30.000000087322007	51.999999919931
MAP7D3	MAP7D3	20.000000795411992	18.999999394386	45.999998519131985	23.99999866873199	12.999998627292996	17.999999750552	95.00000088797101
MAPK7	MAPK7	77.000000007903	20.000000488328	69.99999805217197	23.000000566708998	36.999999029485	14.999998534454994	72.00000110590102
MARCHF9	MARCHF9	194.99999975556096	28.000001218422	54.000000706924	17.999999738551992	168.99999912079298	22.999999262037	62.00000051291601
MARK2	MARK2	53.000003707782966	24.999997936595985	34.99999726850198	9.999998708301993	42.00000176421	11.999998827563994	39.99999288116688
MARS1	MARS1	186.99999420122506	93.000001468581	296.00000361460803	110.99999863340497	176.99999925485696	83.00000094588702	228.0000040292851
MAST3	MAST3	14.000000265889994	8.999999150221994	39.00000187756601	7.999999556243997	13.000000748041	8.999999120672996	37.00000061224901
MATCAP2	MATCAP2	77.99999815683401	27.000000124479996	72.00000211428801	37.000000527138994	61.99999997862199	28.00000028272801	51.999999919931
MATR3	MATR3	306.00000082476595	156.000000867763	303.00000025617396	148.00000063454996	116.00000194392798	152.00000024120402	214.00000319910606
MAX	MAX	57.99999736142201	37.000000368643995	35.99999578439196	38.00000010316799	44.99999492205299	19.999998045939993	47.9999933555549
MCC	MCC	90.999997364809	44.000001341703	44.99999648807396	33.99999885103999	79.00000079369498	27.999998773521995	37.99999592616093
MCF2L2	MCF2L2	83.99999868635601	17.999999637350996	16.999999376305993	10.999999758336998	66.00000004565399	13.000000239067004	0.9999984775029744
MCM7	MCM7	46.000002120345975	23.999999516467994	107.99999789867996	22.000000990679997	13.000000748041	25.999998968927994	80.99999689420093
MEA1	MEA1	81.99999947951	33.999999760631994	115.00000157058199	41.99999988128999	49.00000135132899	36.999999403401006	129.00000290412004
MEAF6	MEAF6	196.000000813476	87.00000025255699	203.000004545286	152.99999998870095	177.999997681054	128.99999946996104	143.000000570708
MED18	MED18	58.99999841933701	23.999999516467994	87.99999945953599	24.999999718766993	51.999998750668	31.999999891916005	58.999998753224986
MED23	MED23	69.99999551148204	31.99999890965499	62.99999789543797	42.999999457318985	44.99999916354899	63.99999978383201	52.99999523384293
MED25	MED25	88.00000291801597	62.99999939918199	208.000004155072	58.999998569806984	75.00000284741101	47.999998328668	180.99999966046
MED9	MED9	134.999997369325	118.00000207899099	196.00000087338395	97.99999972300996	117.99999879632198	73.00000041371102	172.00000387216008
MEIS3	MEIS3	135.99999842724	25.000000610409998	105.99999383656393	34.99999990107499	78.99999867294699	20.999999457443	95.99999620188295
METTL16	METTL16	95.9999997454	36.99999903173699	118.00000063342	48.99999986150499	65.999997924906	45.000000130983004	60.00000039431901
METTL2A	METTL2A	136.000001336224	49.00000012687799	143.99999719823998	55.99999984171999	115.99999982317999	63.00000139074102	150.00000256759304
MFF-DT	MFF-DT	61.999998684098	26.99999878757299	45.99999851913197	22.999999092702993	56.99999724389699	16.999999848255	34.999997330060964
MFSD11	MFSD11	125.999996575042	31.99999890965499	41.999997425235975	22.000000990679997	103.00000119588698	34.99999808960099	45.999993236957884
MFSD5	MFSD5	113.00000027605098	14.000000609211002	99.99999922605599	16.000000586493996	52.00000087141599	19.999999555146	66.99999922761299
MFSD9	MFSD9	31.000000796540988	15.000000366246	25.00000156409801	14.999999536458995	21.999997187553994	12.000000336770004	8.999998951890984
MGAT1	MGAT1	105.000000539683	24.000002190282007	83.99999836563995	20.999998466638985	44.000000737352	10.999998925266995	104.9999951537739
MGST2	MGST2	11.999998150060016	18.999999394385995	18.999999923254	15.999999112487991	12.999998627292996	9.000000629879006	33.00000037505501
MIB2	MIB2	60.99999762618302	45.99999951886599	43.99999797218398	39.99999925522599	39.000000123374996	45.99999701486799	39.99999920834899
MIR124-1HG	MIR124-1HG	438.99999316927705	132.99999709760897	80.99999930280197	93.000001842865	347.99999946953994	131.99999917685204	54.000000038528
MIR124-2HG	MIR124-2HG	160.99999869425898	89.99999952366198	146.000001260356	120.00000071368999	205.99999815027797	89.00000035966903	95.00000088797103
MIR9-1HG	MIR9-1HG	129.99999498873407	15.999998786373988	11.99999625135197	9.99999723429599	66.99999635110298	21.999997850533987	23.999988768799813
MIRLET7A1HG	MIRLET7A1HG	67.99999921362	23.000001096340004	52.99999867586598	30.000000546923992	39.99999854957199	30.999999989619003	56.999998634627985
MLLT10	MLLT10	95.9999997454	50.999998304040986	173.00000337140204	66.99999665204497	45.999995468997994	78.999998318287	91.99999280109787
MMP24OS	MMP24OS	121.00000292140297	58.00000195091401	118.99999914930999	68.00000065009198	80.99999552534099	60.00000017464401	144.99999752571395
MOCS1	MOCS1	6.000000529521994	4.0000003650470015	4.999999609785997	3.000000202093	6.999999587118999	1.999999804593999	6.0000003557910055
MORF4L2	MORF4L2	181.999997638602	75.00000049432299	477.0000021434661	239.00000037734497	178.99999822799896	106.00000020792403	311.0000010420831
MRE11	MRE11	117.99999683867401	94.999999645744	277.000003691354	93.99999994488797	60.00000100547999	120.00000034928803	165.00000187527502
MRPL22	MRPL22	157.99999842949796	56.999999520064996	193.000001810546	77.99999935839398	89.99999832709798	64.999999686129	122.99999622114693
MRPL33	MRPL33	381.999999774754	230.000001605051	615.000004731198	249.00000203365894	286.00000161166594	248.00000142615806	409.0000068533362
MRPL4	MRPL4	78.00000106581797	19.999999151420994	71.99999859911998	19.999998890609994	66.99999847185099	25.000000575837007	79.9999952531069
MRPL52	MRPL52	44.99999815344702	43.000000247760994	76.99999469373793	30.00000202093	35.00000005634299	27.000000380431008	60.00000039431901
MRPS24	MRPS24	240.99999896692302	147.00000038063396	345.000004711746	212.00000003251395	204.00000129788398	152.00000024120402	303.0000037312861
MRPS6	MRPS6	121.000000012419	88.00000134649899	153.00000141709	79.99999998445799	72.999999632773	76.00000012060202	183.0000061062391
MTHFD2	MTHFD2	37.999999474994	8.999999150221994	41.999997425235975	27.99999992085999	26.999999922278995	16.999999848255	27.999998496766974
MTHFD2L	MTHFD2L	150.99999684206102	77.00000000839299	263.000006893054	97.99999972300998	99.00000112885499	64.999999686129	195.000000490639
MTIF3	MTIF3	123.00000503723295	65.00000025015899	170.99999930928595	65.999998550021985	89.00000202164898	53.999999251656	114.99999574675891
MTMR1	MTMR1	37.999999474994006	6.999998299244989	24.99999804892998	4.000001252128003	29.99999732161799	1.999999804593999	22.999999782069995
MTRFR	MTRFR	166.99999631479702	96.00000073968599	163.000000636662	86.00000038864398	168.99999912079295	84.99999924127502	135.00000009632
MTTP	MTTP	33.000000003386994	0	3.99999757872798	2.0000006260640015	61.99999997862199	7.999999218375997	4.999998714696979
MTUS2	MTUS2	28.000000531779992	9.000000487129	17.000002891474022	17.999999738551995	26.999999922278995	32.999999794213004	19.999998022378968
MTX1	MTX1	30.000002647609975	13.999999272303993	63.999996411327956	27.000001818837	22.999999855246998	17.999999750552	43.99999944554299
MVP-DT	MVP-DT	15.999999472736002	11.999999758233997	16.999999376305993	12.999998910394995	18.999999788214996	14.000000141364005	15.999997785184963
