.feature	.sample	counts	counts_scaled	group	sample_name	TMM	multiplier	PC1	PC2	.abundant	edgerQLT_logFC	edgerQLT_logCPM	edgerQLT_F	edgerQLT_PValue	edgerQLT_FDR	edgerLR_logFC	edgerLR_logCPM	edgerLR_LR	edgerLR_PValue	edgerLR_FDR
BSCL2	H9-hRGC_2	82.99999742246203	151.17354349190416	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	0.10858733414468462	9.168803312372612	0.16915652798984937	0.687725490145876	0.7836452261971627	0.1224635190547198	9.168803312372612	0.18141743335929705	0.6701579399471902	0.773259161477527
BSG	H9-hRGC_2	193.0000016688421	351.5240367745642	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	2.0641592243019597	10.911752281430546	34.79997043230652	5.791782482638092e-5	7.512824175644e-4	2.0655157786389	10.911752281430546	30.944474742641717	2.6551690494235055e-8	3.426024579901297e-7
BSG-AS1	H9-hRGC_2	2.999999671070002	5.464103552218476	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	1.2744419586147913	6.199640762970055	4.092403144502977	0.06467482198384608	0.13380997651830226	1.2899352655496177	6.199640762970055	4.039904825298105	0.04443632772614066	0.09647713968509812
BTBD8	H9-hRGC_2	139.99999851100804	254.99152434964734	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.5154124435522761	9.2270063245345	3.1978302855953644	0.09762881173753438	0.1844953922599075	-0.5167571434802324	9.2270063245345	2.7323715769729615	0.0983331673780544	0.18670854565453368
BUD31	H9-hRGC_2	398.99999783553415	726.7258481834127	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.15857374976120095	11.116031131290123	0.39716968585401424	0.5397404791591123	0.6609067091744232	-0.16227789923895727	11.116031131290123	0.3607637389492204	0.5480823801320447	0.676644913743265
BZW2	H9-hRGC_2	51.00000174640602	92.88977375330624	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-1.279649308300438	8.437763436465634	15.310292170941281	0.0018626753814009616	0.009274732189548357	-1.2811160823574719	8.437763436465634	12.465264970749411	4.1458970479418383e-4	0.0019821021743148233
C11orf80	H9-hRGC_2	70.00000047854003	127.49576440242238	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.277606232608493	9.0351784494233	0.9870733648503078	0.3390309258991858	0.4747224166616371	-0.2730288364871621	9.0351784494233	0.7699179719436553	0.38024242955506604	0.5214753319612334
C12orf57	H9-hRGC_2	564.9999975726023	1029.072944077616	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.32625785869577323	11.893015857356898	1.7258205279562255	0.21220669546111343	0.34069255059625747	-0.33057323510028364	11.893015857356898	1.6526220648126397	0.1986024294660708	0.3278169399715061
C16orf74	H9-hRGC_2	8.0000007535680009	14.570945776047521	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	4.0760084575282445	7.995372439231363	122.74047381340054	6.86841129428983e-8	8.242093553147796e-6	4.078303675557315	7.995372439231363	107.28374188588728	3.857862315269879e-25	4.208577071203504e-23
C18orf21	H9-hRGC_2	70.00000047854002	127.49576440242235	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.33027431938521573	8.659430658916568	1.1522324929695849	0.30307582177584463	0.44083755894668314	-0.3360422130670341	8.659430658916568	1.070440186382485	0.30084603930252135	0.4433964083352072
