isoform_id	gene_id	gene_name	iso_value_1	iso_value_2	IF1	IF2
ENST00000451768.1	ENSG00000225175	HRGP1	0.03123	0	1	NA
ENST00000451768.1	ENSG00000225175	HRGP1	0.03123	0	1	NA
ENST00000451768.1	ENSG00000225175	HRGP1	0.03123	0	1	NA
ENST00000444526.1	ENSG00000225182		0.030485	0	1	NA
ENST00000444526.1	ENSG00000225182		0.030485	0	1	NA
ENST00000444526.1	ENSG00000225182		0.030485	0	1	NA
ENST00000557282.1	ENSG00000225185	PPIAP8	0	0.037305	NA	1
ENST00000557282.1	ENSG00000225185	PPIAP8	0	0.037305	NA	1
ENST00000557282.1	ENSG00000225185	PPIAP8	0	0.037305	NA	1
ENST00000421759.1	ENSG00000225187		0.03123	0	1	NA
ENST00000421759.1	ENSG00000225187		0.03123	0	1	NA
ENST00000421759.1	ENSG00000225187		0.03123	0	1	NA
ENST00000452497.1	ENSG00000225192	ZNF33BP1	0.186645	0	1	NA
ENST00000452497.1	ENSG00000225192	ZNF33BP1	0.186645	0	1	NA
ENST00000452497.1	ENSG00000225192	ZNF33BP1	0.186645	0	1	NA
ENST00000444853.2	ENSG00000225195		0	0.082065	NA	1
ENST00000444853.2	ENSG00000225195		0	0.082065	NA	1
ENST00000444853.2	ENSG00000225195		0	0.082065	NA	1
ENST00000442188.1	ENSG00000225208		0.03123	0	1	NA
ENST00000442188.1	ENSG00000225208		0.03123	0	1	NA
ENST00000442188.1	ENSG00000225208		0.03123	0	1	NA
ENST00000659217.1	ENSG00000225209		0.15616	0	1	NA
ENST00000659217.1	ENSG00000225209		0.15616	0	1	NA
ENST00000659217.1	ENSG00000225209		0.15616	0	1	NA
ENST00000610585.4	ENSG00000225210	DUXAP9	0.062465	0	1	NA
ENST00000610585.4	ENSG00000225210	DUXAP9	0.062465	0	1	NA
ENST00000610585.4	ENSG00000225210	DUXAP9	0.062465	0	1	NA
ENST00000584733.1	ENSG00000225212	AKR1B1P6	0.062465	0	1	NA
ENST00000584733.1	ENSG00000225212	AKR1B1P6	0.062465	0	1	NA
ENST00000584733.1	ENSG00000225212	AKR1B1P6	0.062465	0	1	NA
ENST00000421480.2	ENSG00000225213		0.1859	0	1	NA
ENST00000421480.2	ENSG00000225213		0.1859	0	1	NA
ENST00000421480.2	ENSG00000225213		0.1859	0	1	NA
ENST00000423425.3	ENSG00000225216	NRP2-AS1	0.1859	0	1	NA
ENST00000423425.3	ENSG00000225216	NRP2-AS1	0.1859	0	1	NA
ENST00000423425.3	ENSG00000225216	NRP2-AS1	0.1859	0	1	NA
ENST00000655335.1	ENSG00000225226	LINC01795	0.01016	0	0.3333	NA
ENST00000655335.1	ENSG00000225226	LINC01795	0.01016	0	0.3333	NA
ENST00000655335.1	ENSG00000225226	LINC01795	0.01016	0	0.3333	NA
ENST00000454367.2	ENSG00000225226	LINC01795	0.01016	0	0.3333	NA
ENST00000454367.2	ENSG00000225226	LINC01795	0.01016	0	0.3333	NA
ENST00000454367.2	ENSG00000225226	LINC01795	0.01016	0	0.3333	NA
ENST00000660850.1	ENSG00000225226	LINC01795	0.01016	0	0.3333	NA
ENST00000660850.1	ENSG00000225226	LINC01795	0.01016	0	0.3333	NA
ENST00000660850.1	ENSG00000225226	LINC01795	0.01016	0	0.3333	NA
ENST00000453721.1	ENSG00000225230		1.40226	0	1	NA
ENST00000453721.1	ENSG00000225230		1.40226	0	1	NA
ENST00000453721.1	ENSG00000225230		1.40226	0	1	NA
ENST00000417161.2	ENSG00000225233		0.062465	0	1	NA
ENST00000417161.2	ENSG00000225233		0.062465	0	1	NA
ENST00000417161.2	ENSG00000225233		0.062465	0	1	NA
ENST00000430820.1	ENSG00000225235	INTS6L-AS1	0.15616	0	1	NA
