isoform_id	DTU_Stage_1_vs_Stage_2	DTU_Stage_1_vs_Stage_3	DTU_Stage_2_vs_Stage_3
ENST00000013807	FALSE	FALSE	FALSE
ENST00000014914	FALSE	FALSE	FALSE
ENST00000014930	FALSE	FALSE	FALSE
ENST00000014935	FALSE	FALSE	FALSE
ENST00000016171	FALSE	TRUE	FALSE
ENST00000017003	FALSE	FALSE	FALSE
ENST00000019019	FALSE	FALSE	FALSE
ENST00000019103	FALSE	FALSE	FALSE
ENST00000019317	FALSE	FALSE	FALSE
ENST00000020673	FALSE	FALSE	FALSE
ENST00000020926	FALSE	FALSE	FALSE
ENST00000020945	FALSE	FALSE	FALSE
ENST00000022615	FALSE	FALSE	FALSE
ENST00000023064	FALSE	FALSE	FALSE
ENST00000023939	FALSE	FALSE	FALSE
ENST00000025008	FALSE	FALSE	FALSE
ENST00000025301	FALSE	FALSE	FALSE
ENST00000025399	FALSE	FALSE	FALSE
ENST00000026218	FALSE	FALSE	FALSE
ENST00000027335	FALSE	FALSE	FALSE
ENST00000028008	FALSE	FALSE	FALSE
ENST00000029410	FALSE	FALSE	FALSE
ENST00000031146	FALSE	FALSE	FALSE
ENST00000033079	FALSE	FALSE	FALSE
ENST00000034275	FALSE	FALSE	FALSE
ENST00000035307	FALSE	FALSE	FALSE
ENST00000037243	FALSE	FALSE	FALSE
ENST00000037869	FALSE	FALSE	FALSE
ENST00000038176	FALSE	FALSE	FALSE
ENST00000039989	FALSE	FALSE	TRUE
ENST00000040663	FALSE	FALSE	FALSE
ENST00000040738	FALSE	FALSE	FALSE
ENST00000040877	FALSE	FALSE	FALSE
ENST00000042381	FALSE	TRUE	TRUE
ENST00000042931	FALSE	TRUE	FALSE
ENST00000043402	FALSE	FALSE	FALSE
ENST00000044462	FALSE	FALSE	FALSE
ENST00000046087	FALSE	FALSE	FALSE
ENST00000046640	FALSE	FALSE	FALSE
ENST00000052569	FALSE	FALSE	FALSE
ENST00000052754	FALSE	FALSE	FALSE
ENST00000053468	FALSE	FALSE	FALSE
ENST00000053867	FALSE	FALSE	FALSE
ENST00000054650	FALSE	FALSE	FALSE
ENST00000054666	FALSE	FALSE	FALSE
ENST00000054950	FALSE	FALSE	FALSE
ENST00000055077	FALSE	FALSE	FALSE
ENST00000055335	FALSE	FALSE	FALSE
ENST00000055682	TRUE	FALSE	TRUE
ENST00000056217	FALSE	FALSE	FALSE
ENST00000056233	FALSE	FALSE	FALSE
ENST00000057513	FALSE	FALSE	FALSE
ENST00000060969	FALSE	FALSE	FALSE
ENST00000061240	FALSE	FALSE	FALSE
ENST00000064571	FALSE	FALSE	FALSE
ENST00000064724	FALSE	FALSE	FALSE
ENST00000064778	TRUE	TRUE	FALSE
ENST00000064780	FALSE	FALSE	FALSE
ENST00000066544	FALSE	FALSE	FALSE
ENST00000072516	FALSE	FALSE	TRUE
ENST00000072644	FALSE	FALSE	FALSE
ENST00000072869	FALSE	FALSE	FALSE
ENST00000075120	FALSE	FALSE	FALSE
ENST00000075322	FALSE	FALSE	FALSE
ENST00000075430	TRUE	FALSE	FALSE
ENST00000075503	FALSE	FALSE	FALSE
ENST00000078429	FALSE	FALSE	FALSE
ENST00000080059	FALSE	FALSE	FALSE
ENST00000081029	FALSE	FALSE	FALSE
ENST00000082468	FALSE	FALSE	FALSE
ENST00000083182	FALSE	FALSE	FALSE
ENST00000084795	FALSE	FALSE	FALSE
ENST00000084798	FALSE	FALSE	FALSE
ENST00000085068	FALSE	FALSE	FALSE
ENST00000085079	TRUE	FALSE	FALSE
ENST00000086933	FALSE	FALSE	FALSE
ENST00000155674	FALSE	FALSE	FALSE
ENST00000155840	FALSE	FALSE	FALSE
ENST00000155926	FALSE	FALSE	FALSE
ENST00000156084	FALSE	FALSE	FALSE
ENST00000156109	FALSE	FALSE	FALSE
ENST00000156471	FALSE	FALSE	FALSE
ENST00000156825	FALSE	FALSE	FALSE
ENST00000157600	FALSE	FALSE	FALSE
ENST00000157812	FALSE	FALSE	FALSE
ENST00000158166	FALSE	FALSE	FALSE
ENST00000158526	FALSE	FALSE	FALSE
ENST00000158762	FALSE	FALSE	FALSE
ENST00000158771	FALSE	FALSE	FALSE
ENST00000159087	FALSE	FALSE	FALSE
ENST00000159111	FALSE	TRUE	FALSE
ENST00000160298	FALSE	FALSE	FALSE
ENST00000160373	FALSE	FALSE	FALSE
ENST00000160382	FALSE	FALSE	FALSE
ENST00000160740	FALSE	FALSE	FALSE
ENST00000160827	FALSE	TRUE	FALSE
ENST00000161863	FALSE	FALSE	FALSE
ENST00000162044	FALSE	FALSE	FALSE
ENST00000162330	FALSE	FALSE	FALSE
ENST00000162391	FALSE	FALSE	FALSE
ENST00000162749	FALSE	FALSE	FALSE
ENST00000163416	FALSE	FALSE	FALSE
ENST00000163678	FALSE	FALSE	FALSE
ENST00000164024	FALSE	FALSE	FALSE
