"transcript_id","biotype","gene_id","gene_name"
"ENST00000300190","protein_coding","ENSG00000166930","MS4A5"
"ENST00000300258","protein_coding","ENSG00000242220","TCP10L"
"ENST00000300399","protein_coding","ENSG00000184459","BPIFC"
"ENST00000300482","protein_coding","ENSG00000142185","TRPM2"
"ENST00000300589","protein_coding","ENSG00000167207","NOD2"
"ENST00000300590","protein_coding","ENSG00000167208","SNX20"
"ENST00000301532","protein_coding","ENSG00000167825","OR5I1"
"ENST00000301656","protein_coding","ENSG00000171446","KRT27"
"ENST00000302124","protein_coding","ENSG00000172154","OR8I2"
"ENST00000302247","protein_coding","ENSG00000171711","DEFB4A"
"ENST00000302270","protein_coding","ENSG00000172199","OR8U1"
"ENST00000302271","protein_coding","ENSG00000125944","HNRNPR"
"ENST00000302347","protein_coding","ENSG00000160255","ITGB2"
"ENST00000302451","protein_coding","ENSG00000169340","PDILT"
"ENST00000302555","protein_coding","ENSG00000169347","GP2"
"ENST00000302622","protein_coding","ENSG00000279051","OR6Q1"
"ENST00000302797","protein_coding","ENSG00000170255","MRGPRX1"
"ENST00000303039","protein_coding","ENSG00000172487","OR8J1"
"ENST00000303045","protein_coding","ENSG00000169436","COL22A1"
"ENST00000303202","protein_coding","ENSG00000168333","PPDPFL"
"ENST00000303270","protein_coding","ENSG00000169228","RAB24"
"ENST00000304081","protein_coding","ENSG00000185013","NT5C1B"
"ENST00000304084","protein_coding","ENSG00000172243","CLEC7A"
"ENST00000304620","protein_coding","ENSG00000170423","KRT78"
"ENST00000304887","protein_coding","ENSG00000171195","MUC7"
"ENST00000304915","protein_coding","ENSG00000171201","SMR3B"
"ENST00000305051","protein_coding","ENSG00000169488","OR4K15"
"ENST00000305139","protein_coding","ENSG00000167165","UGT1A6"
"ENST00000305202","protein_coding","ENSG00000103154","NECAB2"
"ENST00000305444","protein_coding","ENSG00000170920","OR7G3"
"ENST00000305620","protein_coding","ENSG00000170484","KRT74"
"ENST00000305748","protein_coding","ENSG00000186049","KRT73"
"ENST00000305815","protein_coding","ENSG00000172139","SLC9C1"
"ENST00000305869","protein_coding","ENSG00000172156","CCL11"
"ENST00000305899","protein_coding","ENSG00000171942","OR10H2"
"ENST00000305904","protein_coding","ENSG00000168589","DYNLRB2"
"ENST00000306120","protein_coding","ENSG00000087460","GNAS"
"ENST00000306151","protein_coding","ENSG00000169876","MUC17"
"ENST00000306329","protein_coding","ENSG00000168502","MTCL1"
"ENST00000306842","protein_coding","ENSG00000170953","OR8B12"
"ENST00000307002","protein_coding","ENSG00000198674","OR10G6"
"ENST00000307033","protein_coding","ENSG00000171014","OR4D5"
"ENST00000307180","protein_coding","ENSG00000171045","TSNARE1"
"ENST00000307486","protein_coding","ENSG00000172478","MAB21L4"
"ENST00000307522","protein_coding","ENSG00000169515","CCDC8"
"ENST00000308128","protein_coding","ENSG00000175065","DSG4"
"ENST00000308192","protein_coding","ENSG00000122194","PLG"
"ENST00000308304","protein_coding","ENSG00000175325","PROP1"
"ENST00000308618","protein_coding","ENSG00000174279","EVX2"
"ENST00000308700","protein_coding","ENSG00000175329","ISX"
"ENST00000308721","protein_coding","ENSG00000121380","BCL2L14"
"ENST00000308811","protein_coding","ENSG00000172748","ZNF596"
"ENST00000308873","protein_coding","ENSG00000020633","RUNX3"
"ENST00000308940","protein_coding","ENSG00000172519","OR10H5"
"ENST00000309060","protein_coding","ENSG00000174306","ZHX3"
"ENST00000309106","protein_coding","ENSG00000172938","MRGPRD"
"ENST00000309154","protein_coding","ENSG00000196099","OR6M1"
"ENST00000309562","protein_coding","ENSG00000175619","OR4B1"
"ENST00000309675","protein_coding","ENSG00000175398","OR10P1"
"ENST00000310325","protein_coding","ENSG00000174080","CTSF"
"ENST00000310346","protein_coding","ENSG00000089225","TBX5"
"ENST00000310366","protein_coding","ENSG00000173200","PARP15"
"ENST00000310865","protein_coding","ENSG00000163121","NEURL3"
"ENST00000311042","protein_coding","ENSG00000168314","MOBP"
"ENST00000311170","protein_coding","ENSG00000228567","VN1R4"
"ENST00000311303","protein_coding","ENSG00000140798","ABCC12"
"ENST00000311459","protein_coding","ENSG00000125375","DMAC2L"
"ENST00000311787","protein_coding","ENSG00000172538","FAM170B"
"ENST00000311862","protein_coding","ENSG00000186652","PRG2"
"ENST00000311912","protein_coding","ENSG00000101916","TLR8"
"ENST00000312053","protein_coding","ENSG00000174837","ADGRE1"
"ENST00000312298","protein_coding","ENSG00000174957","OR5J2"
"ENST00000312319","protein_coding","ENSG00000135374","ELF5"
"ENST00000312693","protein_coding","ENSG00000178279","TNP2"
"ENST00000312962","protein_coding","ENSG00000129347","KRI1"
"ENST00000313033","protein_coding","ENSG00000172489","OR5T3"
"ENST00000313253","protein_coding","ENSG00000176200","OR4D11"
"ENST00000313324","protein_coding","ENSG00000178397","FAM220A"
"ENST00000313447","protein_coding","ENSG00000181752","OR8K5"
"ENST00000313472","protein_coding","ENSG00000181761","OR8H3"
"ENST00000313503","protein_coding","ENSG00000181767","OR8H2"
"ENST00000313860","protein_coding","ENSG00000064042","LIMCH1"
"ENST00000314140","protein_coding","ENSG00000179600","GPHB5"
"ENST00000314254","protein_coding","ENSG00000179817","MRGPRX4"
"ENST00000314556","protein_coding","ENSG00000170777","TPD52L3"
"ENST00000314644","protein_coding","ENSG00000181939","OR4C15"
"ENST00000314721","protein_coding","ENSG00000181961","OR4A16"
"ENST00000315050","protein_coding","ENSG00000145901","TNIP1"
"ENST00000315683","protein_coding","ENSG00000176246","OR4L1"
"ENST00000315915","protein_coding","ENSG00000176281","OR4K5"
"ENST00000315957","protein_coding","ENSG00000176299","OR4M1"
"ENST00000316099","protein_coding","ENSG00000101076","HNF4A"
"ENST00000316219","protein_coding","ENSG00000105609","LILRB5"
"ENST00000316386","protein_coding","ENSG00000163600","ICOS"
"ENST00000316401","protein_coding","ENSG00000179213","SIGLECL1"
"ENST00000316770","protein_coding","ENSG00000180475","OR10Q1"
"ENST00000317103","protein_coding","ENSG00000177504","VCX2"
"ENST00000317221","protein_coding","ENSG00000188321","ZNF559"
"ENST00000317257","protein_coding","ENSG00000136169","SETDB2"
"ENST00000317393","protein_coding","ENSG00000101180","HRH3"
"ENST00000317746","protein_coding","ENSG00000197888","UGT2B17"
"ENST00000317861","protein_coding","ENSG00000177174","OR14C36"
"ENST00000318266","protein_coding","ENSG00000132670","PTPRA"
"ENST00000318387","protein_coding","ENSG00000122952","ZWINT"
