"gene_id","n_LRonly_isoforms","gene_name"
"ENSG00000226258",4,"GRM7-AS3"
"ENSG00000226312",4,"CFLAR-AS1"
"ENSG00000226453",4,"LINC02542"
"ENSG00000226581",4,"LINC02848"
"ENSG00000226622",4,"ENSG00000226622"
"ENSG00000226686",4,"LINC01535"
"ENSG00000226688",4,"ENTPD1-AS1"
"ENSG00000226759",4,"DAB1-AS1"
"ENSG00000226835",4,"ARHGAP29-AS1"
"ENSG00000226921",4,"LINC00454"
"ENSG00000226985",4,"LINC01203"
"ENSG00000226995",4,"LINC00658"
"ENSG00000228159",4,"LINC01674"
"ENSG00000228203",4,"GRASLND"
"ENSG00000228329",4,"LINC01890"
"ENSG00000228422",4,"LINC00687"
"ENSG00000228714",4,"ENSG00000228714"
"ENSG00000229240",4,"LINC00710"
"ENSG00000230590",4,"FTX"
"ENSG00000230615",4,"ENSG00000230615"
"ENSG00000231040",4,"LINC01911"
"ENSG00000232229",4,"LINC00865"
"ENSG00000232596",4,"LINC01646"
"ENSG00000232675",4,"ENSG00000232675"
"ENSG00000233968",4,"ENSG00000233968"
"ENSG00000234444",4,"ZNF736"
"ENSG00000234520",4,"HRAT17"
"ENSG00000234665",4,"LERFS"
"ENSG00000234722",4,"LINC01287"
"ENSG00000235824",4,"LINC00837"
"ENSG00000235979",4,"ENSG00000235979"
"ENSG00000236540",4,"ENSG00000236540"
"ENSG00000237092",4,"LINC01065"
"ENSG00000237401",4,"LINC01304"
"ENSG00000237596",4,"PDE7B-AS1"
"ENSG00000237667",4,"LINC01115"
"ENSG00000237992",4,"LINC01808"
"ENSG00000239697",4,"TNFSF12"
"ENSG00000240405",4,"SAMMSON"
"ENSG00000241696",4,"LINC02053"
"ENSG00000243130",4,"PSG11"
"ENSG00000245954",4,"LINC02273"
"ENSG00000246084",4,"LINC02325"
"ENSG00000248441",4,"LETR1"
"ENSG00000249642",4,"ENSG00000249642"
"ENSG00000249937",4,"LINC02223"
"ENSG00000250920",4,"ENSG00000250920"
"ENSG00000251443",4,"LINC02160"
"ENSG00000251574",4,"ENSG00000251574"
"ENSG00000253177",4,"ENSG00000253177"
"ENSG00000253238",4,"ENSG00000253238"
"ENSG00000253394",4,"LINC00534"
"ENSG00000253557",4,"ENSG00000253557"
"ENSG00000253871",4,"ENSG00000253871"
"ENSG00000253879",4,"ENSG00000253879"
"ENSG00000254055",4,"ENSG00000254055"
"ENSG00000254519",4,"ENSG00000254519"
"ENSG00000254661",4,"LINC02682"
"ENSG00000255117",4,"LINC02546"
"ENSG00000255595",4,"ENSG00000255595"
"ENSG00000255717",4,"SNHG1"
"ENSG00000256193",4,"LINC00507"
"ENSG00000256995",4,"LINC02955"
"ENSG00000257612",4,"MIR4307HG"
"ENSG00000257771",4,"LINC02395"
"ENSG00000258100",4,"LINC02823"
"ENSG00000258144",4,"LINC02406"
"ENSG00000258483",4,"LINC02251"
"ENSG00000258747",4,"ENSG00000258747"
"ENSG00000258975",4,"ENSG00000258975"
"ENSG00000259035",4,"ENSG00000259035"
"ENSG00000259675",4,"ENSG00000259675"
"ENSG00000260026",4,"LINC02189"
"ENSG00000260850",4,"ENSG00000260850"
"ENSG00000261014",4,"LINC02165"
"ENSG00000261261",4,"ENSG00000261261"
"ENSG00000261749",4,"LINC02180"
"ENSG00000262454",4,"MIR193BHG"
"ENSG00000263438",4,"LINC01919"
"ENSG00000265843",4,"LINC01029"
"ENSG00000266173",4,"STRADA"
"ENSG00000266988",4,"ENSG00000266988"
"ENSG00000267605",4,"ENSG00000267605"
"ENSG00000267712",4,"LINC01539"
"ENSG00000268621",4,"IGFL2-AS1"
"ENSG00000270379",4,"HEATR9"
"ENSG00000286456",4,"ENSG00000286456"
"ENSG00000286720",4,"ENSG00000286720"
"ENSG00000286746",4,"ENSG00000286746"
"ENSG00000290551",4,"ENSG00000290551"
"ENSG00000004487",3,"KDM1A"
"ENSG00000004848",3,"ARX"
"ENSG00000005844",3,"ITGAL"
"ENSG00000006747",3,"SCIN"
"ENSG00000009724",3,"MASP2"
"ENSG00000009830",3,"POMT2"
"ENSG00000010671",3,"BTK"
"ENSG00000011332",3,"DPF1"
"ENSG00000020633",3,"RUNX3"
"ENSG00000022556",3,"NLRP2"
"ENSG00000033627",3,"ATP6V0A1"
"ENSG00000043462",3,"LCP2"
"ENSG00000049618",3,"ARID1B"
"ENSG00000050405",3,"LIMA1"
"ENSG00000050438",3,"SLC4A8"
"ENSG00000054983",3,"GALC"
"ENSG00000058404",3,"CAMK2B"
"ENSG00000061273",3,"HDAC7"
"ENSG00000064313",3,"TAF2"
"ENSG00000065534",3,"MYLK"
"ENSG00000065809",3,"FAM107B"
"ENSG00000068912",3,"ERLEC1"
"ENSG00000069020",3,"MAST4"
"ENSG00000070061",3,"ELP1"
"ENSG00000072736",3,"NFATC3"
"ENSG00000072858",3,"SIDT1"
"ENSG00000078328",3,"RBFOX1"
"ENSG00000079277",3,"MKNK1"
"ENSG00000081059",3,"TCF7"
"ENSG00000082805",3,"ERC1"
"ENSG00000083067",3,"TRPM3"
"ENSG00000085224",3,"ATRX"
"ENSG00000087053",3,"MTMR2"
"ENSG00000087152",3,"ATXN7L3"
"ENSG00000090621",3,"PABPC4"
"ENSG00000093000",3,"NUP50"
"ENSG00000095794",3,"CREM"
"ENSG00000099246",3,"RAB18"
"ENSG00000099625",3,"CBARP"
"ENSG00000099864",3,"PALM"
"ENSG00000100241",3,"SBF1"
"ENSG00000100365",3,"NCF4"
"ENSG00000100665",3,"SERPINA4"
"ENSG00000100721",3,"TCL1A"
"ENSG00000103569",3,"AQP9"
"ENSG00000104043",3,"ATP8B4"
"ENSG00000104324",3,"CPQ"
"ENSG00000104419",3,"NDRG1"
"ENSG00000104760",3,"FGL1"
"ENSG00000104972",3,"LILRB1"
"ENSG00000105176",3,"URI1"
"ENSG00000106278",3,"PTPRZ1"
"ENSG00000106541",3,"AGR2"
"ENSG00000106628",3,"POLD2"
"ENSG00000106852",3,"LHX6"
"ENSG00000107669",3,"ATE1"
"ENSG00000107862",3,"GBF1"
"ENSG00000108433",3,"GOSR2"
"ENSG00000108963",3,"DPH1"
"ENSG00000110076",3,"NRXN2"
"ENSG00000110077",3,"MS4A6A"
"ENSG00000110777",3,"POU2AF1"
"ENSG00000110888",3,"CAPRIN2"
"ENSG00000112077",3,"RHAG"
"ENSG00000112319",3,"EYA4"
"ENSG00000112425",3,"EPM2A"
"ENSG00000112782",3,"CLIC5"
"ENSG00000112964",3,"GHR"
"ENSG00000114812",3,"VIPR1"
"ENSG00000114861",3,"FOXP1"
"ENSG00000115165",3,"CYTIP"
"ENSG00000115170",3,"ACVR1"
"ENSG00000115295",3,"CLIP4"
"ENSG00000115414",3,"FN1"
"ENSG00000115415",3,"STAT1"
"ENSG00000117020",3,"AKT3"
"ENSG00000118094",3,"TREH"
"ENSG00000118513",3,"MYB"
"ENSG00000119922",3,"IFIT2"
"ENSG00000120563",3,"LYZL1"
"ENSG00000122043",3,"LINC00544"
"ENSG00000122194",3,"PLG"
"ENSG00000123815",3,"COQ8B"
"ENSG00000124092",3,"CTCFL"
"ENSG00000124256",3,"ZBP1"
"ENSG00000124490",3,"CRISP2"
"ENSG00000125900",3,"SIRPD"
"ENSG00000126091",3,"ST3GAL3"
"ENSG00000127616",3,"SMARCA4"
"ENSG00000127955",3,"GNAI1"
"ENSG00000128242",3,"GAL3ST1"
"ENSG00000129255",3,"MPDU1"
"ENSG00000129460",3,"NGDN"
"ENSG00000130234",3,"ACE2"
"ENSG00000130396",3,"AFDN"
"ENSG00000130592",3,"LSP1"
"ENSG00000131196",3,"NFATC1"
"ENSG00000131355",3,"ADGRE3"
"ENSG00000131778",3,"CHD1L"
"ENSG00000133742",3,"CA1"
"ENSG00000133816",3,"MICAL2"
"ENSG00000134184",3,"GSTM1"
"ENSG00000134339",3,"SAA2"
"ENSG00000134516",3,"DOCK2"
"ENSG00000134545",3,"KLRC1"
"ENSG00000134769",3,"DTNA"
"ENSG00000135100",3,"HNF1A"
"ENSG00000135905",3,"DOCK10"
"ENSG00000136861",3,"CDK5RAP2"
"ENSG00000137496",3,"IL18BP"
"ENSG00000137948",3,"BRDT"
"ENSG00000139144",3,"PIK3C2G"
"ENSG00000139926",3,"FRMD6"
"ENSG00000140332",3,"TLE3"
"ENSG00000140798",3,"ABCC12"
"ENSG00000140945",3,"CDH13"
"ENSG00000140968",3,"IRF8"
"ENSG00000141252",3,"VPS53"
"ENSG00000141527",3,"CARD14"
"ENSG00000141668",3,"CBLN2"
"ENSG00000142025",3,"DMRTC2"
"ENSG00000143278",3,"F13B"
"ENSG00000143614",3,"GATAD2B"
"ENSG00000144579",3,"CTDSP1"
"ENSG00000144891",3,"AGTR1"
"ENSG00000145901",3,"TNIP1"
"ENSG00000146039",3,"SLC17A4"
"ENSG00000147408",3,"CSGALNACT1"
"ENSG00000147533",3,"GOLGA7"
"ENSG00000147852",3,"VLDLR"
"ENSG00000148053",3,"NTRK2"
"ENSG00000148584",3,"A1CF"
"ENSG00000149231",3,"CCDC82"
"ENSG00000149262",3,"INTS4"
"ENSG00000149483",3,"TMEM138"
"ENSG00000149970",3,"CNKSR2"
"ENSG00000151702",3,"FLI1"
"ENSG00000151883",3,"PARP8"
"ENSG00000152592",3,"DMP1"
"ENSG00000152767",3,"FARP1"
"ENSG00000152942",3,"RAD17"
"ENSG00000153187",3,"HNRNPU"
"ENSG00000153498",3,"SPACA7"
"ENSG00000153822",3,"KCNJ16"
"ENSG00000154309",3,"DISP1"
"ENSG00000155249",3,"OR4K1"
"ENSG00000155465",3,"SLC7A7"
"ENSG00000155926",3,"SLA"
"ENSG00000157060",3,"SHCBP1L"
"ENSG00000157103",3,"SLC6A1"
"ENSG00000157131",3,"C8A"
"ENSG00000157193",3,"LRP8"
"ENSG00000157601",3,"MX1"
"ENSG00000159398",3,"CES5A"
"ENSG00000159753",3,"CARMIL2"
"ENSG00000160183",3,"TMPRSS3"
"ENSG00000160185",3,"UBASH3A"
"ENSG00000160948",3,"VPS28"
"ENSG00000161203",3,"AP2M1"
"ENSG00000161634",3,"DCD"
"ENSG00000161944",3,"ASGR2"
"ENSG00000162078",3,"ZG16B"
"ENSG00000162571",3,"TTLL10"
"ENSG00000162618",3,"ADGRL4"
"ENSG00000162676",3,"GFI1"
"ENSG00000162736",3,"NCSTN"
"ENSG00000162779",3,"AXDND1"
"ENSG00000162891",3,"IL20"
"ENSG00000162946",3,"DISC1"
"ENSG00000163046",3,"ANKRD30BL"
"ENSG00000163219",3,"ARHGAP25"
"ENSG00000163564",3,"PYHIN1"
"ENSG00000163581",3,"SLC2A2"
"ENSG00000163681",3,"SLMAP"
"ENSG00000163749",3,"CCDC158"
"ENSG00000164073",3,"MFSD8"
"ENSG00000164270",3,"HTR4"
"ENSG00000164465",3,"DCBLD1"
"ENSG00000164588",3,"HCN1"
"ENSG00000164690",3,"SHH"
"ENSG00000164893",3,"SLC7A13"
"ENSG00000164935",3,"DCSTAMP"
"ENSG00000166598",3,"HSP90B1"
"ENSG00000166669",3,"ATF7IP2"
"ENSG00000167207",3,"NOD2"
"ENSG00000167210",3,"LOXHD1"
"ENSG00000167323",3,"STIM1"
"ENSG00000167371",3,"PRRT2"
"ENSG00000167459",3,"LINC00905"
"ENSG00000167460",3,"TPM4"
