"gene","n_detected_iso","n_annotated_iso","frac_detected"
"ENSG00000078237",3,4,0.75
"ENSG00000078246",8,8,1
"ENSG00000078269",9,9,1
"ENSG00000078295",8,8,1
"ENSG00000078304",33,33,1
"ENSG00000078319",1,1,1
"ENSG00000078328",36,40,0.9
"ENSG00000078369",29,31,0.935
"ENSG00000078399",8,8,1
"ENSG00000078401",1,1,1
"ENSG00000078403",26,26,1
"ENSG00000078487",9,9,1
"ENSG00000078549",8,8,1
"ENSG00000078579",2,2,1
"ENSG00000078589",2,4,0.5
"ENSG00000078596",5,6,0.833
"ENSG00000078618",13,13,1
"ENSG00000078668",12,12,1
"ENSG00000078674",22,22,1
"ENSG00000078687",10,11,0.909
"ENSG00000078699",10,10,1
"ENSG00000078725",3,3,1
"ENSG00000078747",19,19,1
"ENSG00000078795",6,7,0.857
"ENSG00000078804",3,4,0.75
"ENSG00000078808",7,7,1
"ENSG00000078814",9,9,1
"ENSG00000078900",12,14,0.857
"ENSG00000078902",13,13,1
"ENSG00000078967",11,11,1
"ENSG00000079101",13,13,1
"ENSG00000079102",39,46,0.848
"ENSG00000079112",4,5,0.8
"ENSG00000079134",19,19,1
"ENSG00000079150",12,12,1
"ENSG00000079156",9,9,1
"ENSG00000079215",52,60,0.867
"ENSG00000079246",10,10,1
"ENSG00000079257",2,2,1
"ENSG00000079263",11,14,0.786
"ENSG00000079277",28,31,0.903
"ENSG00000079308",23,24,0.958
"ENSG00000079313",7,8,0.875
"ENSG00000079332",7,7,1
"ENSG00000079335",13,14,0.929
"ENSG00000079337",19,20,0.95
"ENSG00000079385",12,15,0.8
"ENSG00000079387",10,10,1
"ENSG00000079393",13,15,0.867
"ENSG00000079432",9,10,0.9
"ENSG00000079435",9,9,1
"ENSG00000079459",21,21,1
"ENSG00000079462",7,8,0.875
"ENSG00000079482",17,20,0.85
"ENSG00000079616",32,33,0.97
"ENSG00000079689",2,2,1
"ENSG00000079691",6,6,1
"ENSG00000079739",6,6,1
"ENSG00000079785",23,24,0.958
"ENSG00000079805",26,26,1
"ENSG00000079819",31,34,0.912
"ENSG00000079841",20,21,0.952
"ENSG00000079931",4,4,1
"ENSG00000079950",4,4,1
"ENSG00000079974",18,18,1
"ENSG00000079999",10,10,1
"ENSG00000080007",2,3,0.667
"ENSG00000080031",7,7,1
"ENSG00000080166",5,5,1
"ENSG00000080189",13,13,1
"ENSG00000080200",3,3,1
"ENSG00000080224",7,9,0.778
"ENSG00000080293",4,5,0.8
"ENSG00000080298",11,12,0.917
"ENSG00000080345",12,12,1
"ENSG00000080371",4,4,1
"ENSG00000080493",10,10,1
"ENSG00000080503",54,72,0.75
"ENSG00000080511",4,4,1
"ENSG00000080546",6,7,0.857
"ENSG00000080561",4,4,1
"ENSG00000080572",4,4,1
"ENSG00000080573",2,2,1
"ENSG00000080603",5,5,1
"ENSG00000080608",3,4,0.75
"ENSG00000080618",4,4,1
"ENSG00000080644",8,8,1
"ENSG00000080709",7,9,0.778
"ENSG00000080802",13,14,0.929
"ENSG00000080815",78,88,0.886
"ENSG00000080819",3,4,0.75
"ENSG00000080822",29,31,0.935
"ENSG00000080823",38,40,0.95
"ENSG00000080824",10,10,1
"ENSG00000080839",4,4,1
"ENSG00000080845",14,15,0.933
"ENSG00000080854",7,7,1
"ENSG00000080910",3,12,0.25
"ENSG00000080947",1,1,1
"ENSG00000080986",5,5,1
"ENSG00000081014",6,7,0.857
"ENSG00000081019",5,5,1
"ENSG00000081026",6,6,1
"ENSG00000081041",3,3,1
"ENSG00000081051",5,7,0.714
