gene	H2	non_ase	H1
ENSG00000108691	yes	yes	yes
ENSG00000167194	no	yes	no
ENSG00000092853	no	yes	no
ENSG00000170312	no	yes	no
ENSG00000011426	no	yes	no
ENSG00000071539	no	yes	no
ENSG00000110492	no	yes	no
ENSG00000112029	yes	yes	yes
ENSG00000115738	no	yes	no
ENSG00000120727	no	yes	no
ENSG00000126106	no	yes	no
ENSG00000136824	no	yes	no
ENSG00000141441	yes	yes	yes
ENSG00000147862	no	yes	no
ENSG00000149403	no	yes	no
ENSG00000159259	no	yes	no
ENSG00000160014	no	yes	no
ENSG00000166226	no	yes	no
ENSG00000124140	no	yes	no
ENSG00000182774	no	yes	no
ENSG00000124721	no	yes	no
ENSG00000139865	no	yes	no
ENSG00000112977	no	yes	yes
ENSG00000182004	no	yes	no
ENSG00000182218	no	yes	no
ENSG00000105486	no	yes	no
ENSG00000115541	no	yes	no
ENSG00000127928	yes	yes	yes
ENSG00000134709	no	yes	no
ENSG00000146083	no	yes	no
ENSG00000147613	no	yes	no
ENSG00000156970	no	yes	no
ENSG00000170832	no	yes	no
ENSG00000175727	yes	yes	yes
ENSG00000183287	yes	yes	no
ENSG00000116679	no	yes	no
ENSG00000078098	no	yes	no
ENSG00000090061	no	yes	no
ENSG00000138496	no	yes	no
ENSG00000145919	no	yes	no
ENSG00000204033	no	yes	no
ENSG00000196154	no	yes	no
ENSG00000073350	yes	yes	yes
ENSG00000120068	yes	yes	yes
ENSG00000183117	no	yes	no
ENSG00000196584	no	yes	yes
ENSG00000277791	no	yes	no
ENSG00000167693	no	yes	no
ENSG00000203668	no	yes	no
ENSG00000146250	no	yes	no
ENSG00000149273	no	yes	no
ENSG00000165929	yes	yes	no
ENSG00000166257	yes	yes	no
ENSG00000024526	no	yes	no
ENSG00000134809	no	yes	no
ENSG00000163749	no	yes	no
ENSG00000177694	no	yes	no
ENSG00000205213	no	yes	no
ENSG00000101003	yes	yes	no
ENSG00000166501	no	yes	no
ENSG00000011304	no	yes	no
ENSG00000065328	no	yes	no
ENSG00000108370	no	yes	yes
ENSG00000122966	no	yes	no
ENSG00000124635	no	yes	no
ENSG00000127824	no	yes	no
ENSG00000140522	no	yes	no
ENSG00000174498	no	yes	no
ENSG00000196262	no	yes	no
ENSG00000278615	no	yes	no
ENSG00000152076	no	yes	no
ENSG00000143621	no	yes	no
ENSG00000087302	no	yes	no
ENSG00000115875	no	yes	no
ENSG00000074047	yes	yes	no
ENSG00000187391	no	yes	no
ENSG00000159055	no	yes	no
ENSG00000078295	no	yes	no
ENSG00000101057	no	yes	no
ENSG00000166762	no	yes	no
ENSG00000095464	no	yes	yes
ENSG00000149527	no	yes	no
ENSG00000153902	yes	yes	yes
