gene	non_ase	H1	H2
ENSG00000184557	yes	yes	yes
ENSG00000168056	yes	no	no
ENSG00000157782	yes	no	no
ENSG00000204592	yes	no	no
ENSG00000168243	yes	yes	yes
ENSG00000169856	yes	yes	yes
ENSG00000204262	yes	no	no
ENSG00000106789	yes	yes	yes
ENSG00000166881	yes	no	no
ENSG00000050767	yes	yes	no
ENSG00000018625	yes	no	no
ENSG00000146005	yes	yes	yes
ENSG00000171848	yes	no	no
ENSG00000145703	yes	no	no
ENSG00000170396	yes	yes	yes
ENSG00000168078	yes	no	no
ENSG00000135046	yes	no	no
ENSG00000182185	yes	no	no
ENSG00000129680	yes	no	no
ENSG00000167553	yes	no	no
ENSG00000144583	yes	no	no
ENSG00000169679	yes	no	no
ENSG00000118298	yes	no	no
ENSG00000038427	yes	no	no
ENSG00000154734	yes	yes	no
ENSG00000151322	yes	no	yes
ENSG00000129195	yes	no	no
ENSG00000164330	yes	yes	no
ENSG00000180875	yes	yes	yes
ENSG00000176641	yes	no	no
ENSG00000125968	yes	no	no
ENSG00000123213	yes	no	no
ENSG00000104112	yes	yes	yes
ENSG00000258947	yes	yes	yes
ENSG00000125845	yes	no	no
ENSG00000105409	yes	no	no
ENSG00000134802	yes	no	no
ENSG00000273238	yes	no	no
ENSG00000113657	yes	no	no
ENSG00000136205	yes	yes	no
ENSG00000168077	yes	no	no
ENSG00000103942	yes	no	no
ENSG00000121621	yes	no	no
ENSG00000130158	yes	no	no
ENSG00000131711	yes	no	no
ENSG00000105854	yes	no	no
ENSG00000198108	yes	yes	yes
ENSG00000092969	yes	yes	yes
ENSG00000070669	yes	no	no
ENSG00000197753	yes	no	no
ENSG00000196739	yes	no	no
ENSG00000123094	yes	no	no
ENSG00000165480	yes	no	no
ENSG00000177380	yes	no	no
ENSG00000003987	yes	no	no
ENSG00000152818	yes	yes	yes
ENSG00000155858	yes	no	no
ENSG00000153253	yes	yes	yes
ENSG00000171033	yes	no	no
ENSG00000139890	yes	no	no
ENSG00000130477	yes	no	no
ENSG00000182240	yes	yes	yes
ENSG00000118515	yes	no	no
ENSG00000167614	yes	no	no
ENSG00000087586	yes	no	no
ENSG00000144893	yes	no	no
ENSG00000144554	yes	no	no
ENSG00000132718	yes	no	no
ENSG00000114779	yes	no	no
ENSG00000134222	yes	no	no
ENSG00000135749	yes	no	no
ENSG00000178773	yes	yes	no
ENSG00000142538	yes	no	no
ENSG00000130303	yes	no	no
ENSG00000101003	yes	yes	no
ENSG00000117394	yes	no	no
ENSG00000159164	yes	no	no
ENSG00000166033	yes	no	no
ENSG00000131037	yes	no	no
ENSG00000121966	yes	no	no
ENSG00000109625	yes	no	yes
ENSG00000099625	yes	no	no
ENSG00000160469	yes	no	no
ENSG00000169684	yes	no	no
ENSG00000182158	yes	no	no
ENSG00000166482	yes	no	no
ENSG00000121152	yes	no	no
ENSG00000133119	yes	no	no
ENSG00000205927	yes	no	no
ENSG00000066032	yes	yes	yes
ENSG00000167861	yes	no	no
ENSG00000137834	yes	yes	yes
ENSG00000110108	yes	no	no
ENSG00000078795	yes	no	no
ENSG00000117707	yes	no	no
ENSG00000105967	yes	no	no
ENSG00000174521	yes	no	no
ENSG00000123892	yes	no	yes
ENSG00000183019	yes	no	no
ENSG00000177459	yes	no	no
ENSG00000138119	yes	no	no
ENSG00000139220	yes	no	no
ENSG00000183307	yes	no	no
ENSG00000163040	yes	no	no
ENSG00000162944	yes	no	no
ENSG00000108852	yes	no	no
ENSG00000155760	yes	yes	yes
ENSG00000184357	yes	no	no
ENSG00000075275	yes	no	no
ENSG00000115461	yes	no	no
ENSG00000138696	yes	no	no
ENSG00000135472	yes	no	no
ENSG00000167900	yes	no	no
ENSG00000130558	yes	yes	yes
ENSG00000129990	yes	no	no
ENSG00000166206	yes	yes	yes
ENSG00000115165	yes	no	no
ENSG00000133124	yes	yes	no
ENSG00000184905	yes	no	no
ENSG00000227051	yes	no	no
ENSG00000151835	yes	no	no
ENSG00000066279	yes	yes	yes
ENSG00000154277	yes	no	no
ENSG00000089199	yes	no	no
ENSG00000130540	yes	no	no
ENSG00000198157	yes	no	no
ENSG00000109956	yes	yes	no
ENSG00000166801	yes	no	no
ENSG00000145242	yes	no	no
ENSG00000242173	yes	yes	yes
ENSG00000114805	yes	no	no
ENSG00000250510	yes	no	no
ENSG00000107105	yes	no	no
ENSG00000170989	yes	no	no
ENSG00000163449	yes	no	no
ENSG00000148737	yes	no	no
ENSG00000049089	yes	no	no
ENSG00000028116	yes	no	no
ENSG00000186648	yes	no	no
ENSG00000178568	yes	yes	no
ENSG00000079616	yes	no	no
ENSG00000264058	yes	no	no
ENSG00000008056	yes	no	no
ENSG00000171385	yes	no	no
ENSG00000111859	yes	no	yes
ENSG00000111602	yes	no	no
ENSG00000243364	yes	no	no
ENSG00000147606	yes	no	no
ENSG00000177875	yes	no	no
ENSG00000074219	yes	no	no
ENSG00000176907	yes	yes	no
ENSG00000166147	yes	yes	yes
ENSG00000086062	yes	no	no
ENSG00000137285	yes	no	no
ENSG00000163630	yes	no	no
ENSG00000143162	yes	no	no
ENSG00000126950	yes	no	no
ENSG00000187323	yes	yes	yes
ENSG00000106689	yes	no	no
ENSG00000146918	yes	no	no
ENSG00000168675	yes	no	no
ENSG00000176788	yes	yes	yes
ENSG00000125851	yes	yes	yes
ENSG00000118707	yes	no	no
ENSG00000122952	yes	no	no
ENSG00000141622	yes	no	no
ENSG00000124942	yes	no	no
ENSG00000110881	yes	no	no
ENSG00000186185	yes	no	no
ENSG00000117122	yes	no	no
ENSG00000286219	yes	no	no
ENSG00000104870	yes	no	no
ENSG00000214338	yes	yes	no
ENSG00000163888	yes	no	no
ENSG00000137269	yes	no	no
ENSG00000181191	yes	no	no
ENSG00000075461	yes	no	no
ENSG00000134574	yes	no	no
ENSG00000125266	yes	no	no
ENSG00000178171	yes	no	no
ENSG00000162706	yes	no	no
ENSG00000159784	yes	no	no
ENSG00000164305	yes	no	no
ENSG00000021645	yes	yes	no
ENSG00000165424	yes	yes	yes
ENSG00000099365	yes	yes	no
ENSG00000087085	yes	no	no
ENSG00000117724	yes	yes	no
ENSG00000120645	yes	yes	no
ENSG00000160716	yes	no	no
ENSG00000130528	yes	yes	no
ENSG00000116544	yes	no	no
ENSG00000139083	yes	no	no
ENSG00000164818	yes	no	no
ENSG00000166710	yes	no	no
ENSG00000092758	yes	no	no
ENSG00000189159	yes	no	no
ENSG00000183018	yes	yes	yes
ENSG00000157103	yes	yes	yes
ENSG00000166111	yes	yes	yes
ENSG00000169515	yes	no	no
ENSG00000181690	yes	no	no
ENSG00000183722	yes	no	no
ENSG00000007062	yes	no	no
ENSG00000148700	yes	no	no
ENSG00000161249	yes	no	no
ENSG00000172340	yes	no	no
ENSG00000006071	yes	no	no
ENSG00000172638	yes	no	no
ENSG00000091972	yes	yes	no
ENSG00000107130	yes	no	no
ENSG00000135535	yes	no	no
ENSG00000123374	yes	no	no
ENSG00000080200	yes	no	no
ENSG00000108639	yes	no	no
ENSG00000203780	yes	no	no
ENSG00000106236	yes	no	no
ENSG00000024526	yes	no	no
ENSG00000161298	yes	no	no
ENSG00000213347	yes	no	no
ENSG00000104833	yes	no	no
ENSG00000145555	yes	no	no
ENSG00000156486	yes	no	no
ENSG00000100890	yes	no	no
ENSG00000167513	yes	no	no
ENSG00000188580	yes	no	no
ENSG00000131242	yes	no	no
ENSG00000000003	yes	no	no
ENSG00000135451	yes	no	no
ENSG00000102796	yes	no	no
ENSG00000154822	yes	no	no
ENSG00000157851	yes	no	no
ENSG00000163808	yes	yes	no
ENSG00000170017	yes	no	no
ENSG00000170365	yes	yes	yes
ENSG00000133083	yes	no	no
ENSG00000138193	yes	no	no
ENSG00000165304	yes	no	no
ENSG00000118407	yes	no	no
ENSG00000151150	yes	no	no
ENSG00000184661	yes	no	no
ENSG00000080854	yes	yes	yes
ENSG00000158445	yes	no	no
ENSG00000153071	yes	no	no
ENSG00000163531	yes	yes	yes
ENSG00000078018	yes	no	yes
ENSG00000167535	yes	no	no
ENSG00000162614	yes	no	no
ENSG00000163584	yes	no	no
ENSG00000132359	yes	no	no
ENSG00000090013	yes	no	no
ENSG00000113721	yes	yes	no
ENSG00000167552	yes	no	no
ENSG00000176490	yes	no	no
ENSG00000164109	yes	no	no
ENSG00000137142	yes	yes	yes
ENSG00000132386	yes	no	no
ENSG00000114166	yes	no	no
ENSG00000143479	yes	no	no
ENSG00000175745	yes	no	no
ENSG00000166448	yes	no	no
ENSG00000196187	yes	no	no
ENSG00000016082	yes	no	no
ENSG00000126458	yes	no	no
ENSG00000129534	yes	no	yes
ENSG00000166848	yes	no	no
ENSG00000085117	yes	no	no
ENSG00000164649	yes	no	no
ENSG00000182263	yes	no	no
ENSG00000157978	yes	yes	yes
ENSG00000132274	yes	yes	no
ENSG00000172380	yes	yes	yes
ENSG00000165548	yes	no	no
ENSG00000105722	yes	no	no
ENSG00000101844	yes	no	no
ENSG00000146112	yes	no	no
ENSG00000121653	yes	no	no
ENSG00000139734	yes	no	yes
ENSG00000115363	yes	no	no
ENSG00000167178	yes	no	no
ENSG00000100314	yes	no	no
ENSG00000272398	yes	yes	yes
ENSG00000019485	yes	no	no
ENSG00000164061	yes	no	no
ENSG00000055118	yes	no	no
ENSG00000168140	yes	yes	yes
ENSG00000061337	yes	no	no
ENSG00000093072	yes	no	no
ENSG00000137094	yes	no	no
ENSG00000181019	yes	no	no
ENSG00000162512	yes	no	no
ENSG00000170421	yes	no	no
ENSG00000151718	yes	no	no
ENSG00000144366	yes	no	yes
ENSG00000005249	yes	no	no
ENSG00000101444	yes	no	no
ENSG00000102265	yes	no	no
ENSG00000240694	yes	no	no
ENSG00000197457	yes	no	no
ENSG00000069188	yes	no	no
ENSG00000112977	yes	yes	no
ENSG00000157005	yes	no	no
ENSG00000120251	yes	yes	yes
ENSG00000049239	yes	no	no
ENSG00000166619	yes	no	no
ENSG00000149212	yes	no	no
ENSG00000165379	yes	no	no
ENSG00000162772	yes	no	no
ENSG00000064666	yes	no	no
ENSG00000177707	yes	no	no
ENSG00000168000	yes	yes	yes
ENSG00000114405	yes	no	no
ENSG00000171345	yes	no	no
ENSG00000070748	yes	yes	yes
ENSG00000088882	yes	no	no
ENSG00000100604	yes	no	no
ENSG00000204381	yes	no	yes
ENSG00000151948	yes	no	no
ENSG00000134138	yes	no	no
ENSG00000128602	yes	no	no
ENSG00000157240	yes	no	no
ENSG00000159388	yes	no	no
ENSG00000120594	yes	no	no
ENSG00000164898	yes	no	no
ENSG00000173452	yes	no	no
ENSG00000163618	yes	no	no
ENSG00000030582	yes	yes	yes
ENSG00000184185	yes	no	no
ENSG00000107263	yes	no	no
ENSG00000150672	yes	yes	yes
ENSG00000187837	yes	no	no
ENSG00000146197	yes	no	no
ENSG00000175938	yes	no	no
ENSG00000184347	yes	no	yes
ENSG00000163507	yes	no	no
ENSG00000147676	yes	no	no
ENSG00000106633	yes	no	no
ENSG00000184144	yes	yes	yes
ENSG00000105613	yes	no	no
ENSG00000188322	yes	no	no
ENSG00000136492	yes	no	yes
ENSG00000143149	yes	no	no
ENSG00000196839	yes	no	no
ENSG00000169432	yes	no	no
ENSG00000186487	yes	yes	yes
ENSG00000184305	yes	no	no
ENSG00000146267	yes	no	no
ENSG00000105699	yes	no	no
ENSG00000152601	yes	no	no
ENSG00000075043	yes	no	no
ENSG00000129159	yes	yes	yes
ENSG00000174871	yes	no	no
ENSG00000005801	yes	no	no
ENSG00000135476	yes	no	no
ENSG00000187244	yes	no	no
ENSG00000198203	yes	no	yes
ENSG00000152952	yes	no	no
ENSG00000237649	yes	no	no
ENSG00000143367	yes	no	no
ENSG00000111961	yes	no	no
ENSG00000177469	yes	no	no
ENSG00000196208	yes	no	no
ENSG00000137801	yes	no	no
ENSG00000133134	yes	no	no
ENSG00000111665	yes	no	no
ENSG00000079335	yes	no	no
