gene	non_ase	H1	H2
ENSG00000168309	yes	no	no
ENSG00000145041	yes	no	no
ENSG00000102001	yes	no	no
ENSG00000145592	yes	no	no
ENSG00000125945	yes	no	no
ENSG00000205678	yes	no	no
ENSG00000103257	yes	no	no
ENSG00000135447	yes	no	no
ENSG00000154162	yes	no	no
ENSG00000021300	yes	no	no
ENSG00000133460	yes	no	no
ENSG00000162490	yes	no	no
ENSG00000115297	yes	no	no
ENSG00000168952	yes	no	no
ENSG00000073849	yes	no	no
ENSG00000101210	yes	no	no
ENSG00000116062	yes	no	no
ENSG00000138722	yes	no	no
ENSG00000141101	yes	no	no
ENSG00000157514	yes	no	no
ENSG00000169213	yes	no	no
ENSG00000173890	yes	no	no
ENSG00000175497	yes	no	no
ENSG00000166415	yes	no	no
ENSG00000107984	yes	no	no
ENSG00000162961	yes	no	no
ENSG00000178586	yes	no	no
ENSG00000157388	yes	no	no
ENSG00000067177	yes	no	no
ENSG00000100297	yes	no	no
ENSG00000156076	yes	no	no
ENSG00000170044	yes	no	no
ENSG00000185885	yes	no	no
ENSG00000105255	yes	no	no
ENSG00000143669	yes	no	no
ENSG00000187135	yes	no	no
ENSG00000065325	yes	no	no
ENSG00000077616	yes	no	no
ENSG00000103489	yes	no	no
ENSG00000125347	yes	no	no
ENSG00000145335	yes	no	no
ENSG00000164796	yes	no	no
ENSG00000187634	yes	no	no
ENSG00000189045	yes	no	no
ENSG00000196139	yes	no	no
ENSG00000196230	yes	no	no
ENSG00000168038	yes	no	no
ENSG00000054654	yes	no	no
ENSG00000145416	yes	no	no
ENSG00000164167	yes	no	no
ENSG00000278463	yes	no	no
ENSG00000128283	yes	no	no
ENSG00000162551	yes	no	no
ENSG00000268223	yes	no	no
ENSG00000125629	yes	no	no
ENSG00000155307	yes	no	no
ENSG00000120802	yes	no	no
ENSG00000189159	yes	no	no
ENSG00000170011	yes	no	no
ENSG00000182348	yes	no	no
ENSG00000185483	yes	no	no
ENSG00000147145	yes	no	no
ENSG00000017483	yes	no	no
ENSG00000114853	yes	no	no
ENSG00000177301	yes	no	no
ENSG00000198964	yes	no	no
ENSG00000139800	yes	no	no
ENSG00000060138	yes	no	no
ENSG00000088727	yes	no	no
ENSG00000078328	yes	no	no
ENSG00000080709	yes	no	no
ENSG00000198075	yes	no	no
ENSG00000114251	yes	no	no
ENSG00000148303	yes	no	no
ENSG00000106089	yes	no	no
ENSG00000107864	yes	no	no
ENSG00000132821	yes	no	no
ENSG00000149499	yes	no	no
ENSG00000173221	yes	no	no
ENSG00000143228	yes	no	no
ENSG00000168621	yes	no	no
ENSG00000184305	yes	no	no
ENSG00000123989	yes	no	no
ENSG00000129534	yes	no	no
ENSG00000138326	yes	no	no
ENSG00000164904	yes	no	no
ENSG00000114416	yes	no	no
ENSG00000120054	yes	no	no
ENSG00000101665	yes	no	no
ENSG00000028277	yes	no	no
ENSG00000165434	yes	no	no
ENSG00000261308	yes	no	no
ENSG00000099814	yes	no	no
ENSG00000164741	yes	no	no
ENSG00000182054	yes	no	no
ENSG00000145242	yes	no	no
ENSG00000133302	yes	no	no
ENSG00000153246	yes	no	no
ENSG00000164300	yes	no	no
ENSG00000110514	yes	no	no
ENSG00000142784	yes	no	no
ENSG00000129195	yes	no	no
ENSG00000188215	yes	no	no
ENSG00000166441	yes	no	no
ENSG00000168078	yes	no	no
ENSG00000171773	yes	no	no
ENSG00000072571	yes	no	no
ENSG00000135517	yes	no	no
ENSG00000104413	yes	no	no
ENSG00000163749	yes	no	no
ENSG00000214140	yes	no	no
ENSG00000110700	yes	no	no
ENSG00000125378	yes	no	no
ENSG00000166501	yes	no	no
ENSG00000136048	yes	no	no
ENSG00000163746	yes	no	no
ENSG00000166780	yes	no	no
ENSG00000178538	yes	no	no
ENSG00000117016	yes	no	no
ENSG00000181790	yes	no	no
ENSG00000197756	yes	no	no
ENSG00000065833	yes	no	no
ENSG00000112164	yes	no	no
ENSG00000178440	yes	no	no
ENSG00000113721	yes	no	no
ENSG00000137393	yes	no	no
ENSG00000104755	yes	no	no
ENSG00000167680	yes	no	no
ENSG00000240694	yes	no	no
ENSG00000074410	yes	no	no
ENSG00000167641	yes	no	no
ENSG00000214114	yes	no	no
ENSG00000118997	yes	no	no
ENSG00000143171	yes	no	no
ENSG00000259332	yes	no	no
ENSG00000118503	yes	no	no
ENSG00000091831	yes	no	no
ENSG00000105642	yes	no	no
ENSG00000111700	yes	no	no
ENSG00000120833	yes	no	no
ENSG00000136141	yes	no	no
ENSG00000137877	yes	no	no
ENSG00000162188	yes	no	no
ENSG00000164035	yes	no	no
ENSG00000172482	yes	no	no
ENSG00000180592	yes	no	no
ENSG00000255152	yes	no	no
ENSG00000134242	yes	no	no
ENSG00000186468	yes	no	no
ENSG00000100483	yes	no	no
ENSG00000100890	yes	no	no
ENSG00000104921	yes	no	no
ENSG00000120498	yes	no	no
ENSG00000163499	yes	no	no
ENSG00000165300	yes	no	no
ENSG00000174444	yes	no	no
ENSG00000244476	yes	no	no
ENSG00000111404	yes	no	no
ENSG00000123219	yes	no	no
ENSG00000168453	yes	no	no
ENSG00000169231	yes	no	no
ENSG00000188133	yes	no	no
ENSG00000169756	yes	no	no
ENSG00000107338	yes	no	no
ENSG00000156096	yes	no	no
ENSG00000162222	yes	no	no
ENSG00000198846	yes	no	no
ENSG00000213949	yes	no	no
ENSG00000074317	yes	no	no
ENSG00000105967	yes	no	no
ENSG00000099992	yes	no	no
ENSG00000169224	yes	no	no
ENSG00000170571	yes	no	no
ENSG00000276966	yes	no	no
ENSG00000119782	yes	no	no
ENSG00000029534	yes	no	no
ENSG00000137154	yes	no	no
ENSG00000106211	yes	no	no
ENSG00000058866	yes	no	no
ENSG00000253250	yes	no	no
ENSG00000069696	yes	no	no
ENSG00000187193	yes	no	no
ENSG00000078295	yes	no	no
ENSG00000087245	yes	no	no
ENSG00000039139	yes	no	no
ENSG00000185808	yes	no	no
ENSG00000058804	yes	no	no
ENSG00000080493	yes	no	no
ENSG00000179270	yes	no	no
ENSG00000167281	yes	no	no
ENSG00000170345	yes	no	no
ENSG00000163288	yes	no	no
ENSG00000073146	yes	no	no
ENSG00000089041	yes	no	no
ENSG00000167306	yes	no	yes
ENSG00000106003	yes	no	no
ENSG00000114124	yes	no	no
ENSG00000184260	yes	no	no
ENSG00000111252	yes	no	no
ENSG00000128309	yes	no	no
ENSG00000149527	yes	no	no
ENSG00000165197	yes	no	no
ENSG00000170312	yes	no	no
ENSG00000135905	yes	no	no
ENSG00000145692	yes	no	no
ENSG00000166900	yes	no	no
ENSG00000157064	yes	no	no
ENSG00000165646	yes	yes	yes
ENSG00000150656	yes	no	no
ENSG00000001626	yes	no	no
ENSG00000036473	yes	no	no
ENSG00000198003	yes	no	no
ENSG00000113645	yes	no	no
