isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
ENST00000281129.7	1e-5	0	11.1997	33.02226
ENST00000281171.9	21.47379	4.91128	12.53122	99.40944
ENST00000281405.9	89.60504	86.57779	0	14.46335
ENST00000281924.6	49.89748	20.88826	12.82567	85.94718
ENST00000282441.10	325.35182	330.06931	1.70164	7.41907
ENST00000283256.10	10	3.25133	0	0.00682
ENST00000283268.8	64.37667	79.58681	35	159
ENST00000283410.4	0	13.12985	6.39583	4.55291
ENST00000284031.13	254.64035	238.31461	49	257
ENST00000284037.10	103.59034	189.09705	59.32248	254.12541
ENST00000284290.8	59.64092	104.52039	71.38587	121.51341
ENST00000284483.12	14.4522	38.49467	0	4.418
ENST00000285735.6	1e-5	38.84356	0	2.93929
ENST00000285848.9	265.46683	211.03716	133.34131	806.25414
ENST00000285900.10	0	4.25	0	37.42244
ENST00000286371.8	670.99134	527.3481	134.60037	575.83146
ENST00000287008.8	13.33724	10.42008	14.59919	207.33044
ENST00000287196.13	46.2058	57.3653	124.96581	195.28589
ENST00000287272.6	42.00612	40.18262	5	19
ENST00000287675.10	67.10129	65.16022	11	92.33662
ENST00000288207.7	286.84266	271.54883	2	18.72067
ENST00000288221.11	92.93055	98.95186	91.26157	616.20078
ENST00000288398.10	45.51884	43.04161	5.86723	60.45012
ENST00000288532.11	143.8933	179.17273	37.98288	201.48033
ENST00000288642.12	22.72409	74.13265	1.78385	13.05706
ENST00000288670.14	262.26667	226.64993	65.33333	244.06667
ENST00000288723.9	27.14025	34.27575	0	11.42258
ENST00000288828.9	181.36603	124.32113	65.12862	206.02541
ENST00000289081.8	42.56985	57.52169	11.54108	52.77388
ENST00000289153.6	0	0.03084	20.39785	64.10018
ENST00000289963.12	49.3962	49.0832	4.28077	21.87481
ENST00000290039.6	93.31661	45.80388	17.99361	71.76485
ENST00000290155.8	337.14684	292.86707	49.69342	340.62453
ENST00000290363.6	8.44848	19.72777	3.90937	24.05688
ENST00000290858.11	246.56523	218.82575	80.19153	374.65802
ENST00000291270.9	7.36099	0.75879	0	6.32508
ENST00000291440.4	7.54593	6.38656	0	1.30062
ENST00000291574.9	80.9878	73.62043	17.1893	108.81863
ENST00000292291.10	4.38188	4.39343	0	1.63712
ENST00000293406.8	0	0	23.23973	196.74098
ENST00000295012.5	2	2.20926	0	0
ENST00000295851.10	757.36299	577.94713	381.30584	1121.67512
ENST00000295864.9	1.18281	2.05314	0	3.43069
ENST00000295874.14	54.24475	46.34825	9.24737	33.65103
ENST00000295878.8	120.84106	86.56066	31.90452	70.03844
ENST00000295902.11	26.74921	23.70344	0	0
ENST00000295911.6	0	0	0	13.43401
ENST00000295951.7	35.79	59.92159	1.02612	21.30282
ENST00000295952.7	0	0	11.12448	46.37728
ENST00000295955.14	3.62032	5.9558	1.81844	16.46186
ENST00000296048.10	326.35449	320.84968	50.715089999999996	258.43239
ENST00000296214.10	367.68345	351.67123	30.19854	115.52928
ENST00000296315.8	62.77073	48.76126	7.29853	90.63376
ENST00000296388.10	218.85813	166.68356	45.2374	125.19557
ENST00000296402.9	731.67633	220.95427	30.98354	173.18206
ENST00000296444.7	168.79777	156.20226	19.61341	119.12202
ENST00000296701.10	3.58892	1.88898	1.57975	1.91526
ENST00000296873.11	174.91724	81.11966	13.66875	57.78404
ENST00000296933.10	200.41223	223.85755	96.735	346.3762
ENST00000297056.11	82.1945	73.13904	28.83905	130.61628
ENST00000297107.11	177.45997	107.82236	6	22.78841
ENST00000297488.10	0	1.29099	29.41812	85.08449
ENST00000297788.9	0	21.35541	60.40789	61.48131
ENST00000299427.12	204.63141	189.04026	13.23467	90.2123
ENST00000299610.5	619.78595	530.35843	9.3713	46.21593
ENST00000299767.10	883.19701	442.27425	3.63619	1.13784
ENST00000299957.11	362.4059	318.00756	152.44818	529.38535
ENST00000300027.12	16.1351	3.07369	3.80314	8.03194
ENST00000300093.9	172.13052	156.05773	0	0
ENST00000300128.9	79.45314	78.66324	0	0
ENST00000300231.6	96.18421	79.12	124.09302	490.25
ENST00000300249.10	156.80235	192.28722	111.5052	482.30749
ENST00000300413.10	587.56888	514.97255	194.36498	1038.60015
ENST00000300452.8	151.02057	130.79295	33.5053	108.38234
ENST00000300797.7	153.45098	100.29522	79.34683	157.27323
ENST00000301021.7	14.43119	34.6861	48.12963	250.72446
ENST00000301072.11	159.71366	116.16667	17.30836	28.47295
ENST00000301332.3	2.72452	0	27.96246	123.06961
ENST00000301490.8	22.85879	0	2.4719	8.52539
ENST00000301764.12	695.60253	715.81372	203.39882	1239.04239
ENST00000301894.6	26.40841	22.15792	4.88534	22.33177
ENST00000302003.11	15.89742	9.01951	0	13.86924
ENST00000302008.12	3.66373	0	0	6.29882
ENST00000302036.12	13.85807	11.99216	15.56312	63.22604
ENST00000302313.10	276.97124	255.81181	183.37693	545.84717
ENST00000302528.11	91.19156	71.28911	98.29623	146.43478
ENST00000302806.5	55.70984	9.41182	10.06521	55.471
ENST00000302979.5	315.6886	317.93281	87.44186	422.91016
ENST00000303071.10	136.65422	151.92184	39.28996	115.43406
ENST00000303097.11	21.72699	34.83554	3.51819	30.79929
ENST00000303334.9	22.95988	6.24397	6	27.44878
ENST00000303635.12	109.41865	109.34697	242.52281	613.01295
ENST00000303824.11	12.15136	13.39219	0	0
ENST00000303887.10	433.92916	390.10929	32.92802	264.82276
ENST00000304129.9	8.80761	10.68061	3.71538	18.5691
ENST00000304164.8	82.17807	72.41693	28.51183	73.61921
ENST00000304516.11	43.24935	31.87969	27.10501	133.62185
ENST00000304877.17	2.99793	0	0.87568	3.3533
ENST00000304886.6	9.87203	29.57063	86.76664	505.23886
ENST00000304920.3	2.06171	2.8006	0	0
ENST00000305414.9	0	0	0	28.93465
ENST00000305747.11	182.13559	171.81818	0	43.21839
ENST00000305866.10	83.43785	50.48218	27.55146	185.36408
ENST00000306315.9	7.6014099999999996	4e-5	374.13132	631.67262
ENST00000306368.9	222.43837	251.18912	131.86488	723.01711
ENST00000306376.10	179.62407	97.50593	8.14208	35.9298
ENST00000306802.8	12.89397	28.14486	24.75075	47.37751
ENST00000306823.10	26.62767	40.80901	12.1979	107.68935
ENST00000306846.8	202.83631	176.44908	82.06016	395.79938
ENST00000306910.9	14.74334	6.73498	3.57721	5.33897
ENST00000307259.9	96.99307	70.25417	3.23077	39.83099
ENST00000307296.8	397.6798	361.95743	68.95604	345.96262
ENST00000307546.14	334.76099	328.3697	43.67047	132.55354
ENST00000307671.12	42.55089	53.81522	8.25947	19.90266
ENST00000307677.5	118.20085	130.85075	30.61924	154.86456
ENST00000307712.11	526.59725	513.97586	103.78435	707.30546
ENST00000307826.5	127.89338	118.30285	20.39719	75.99338
ENST00000307944.6	43.78782	121.9115	1.82504	11.84615
ENST00000308153.9	752.65535	790.86458	174.4263	680.78825
ENST00000308159.10	230.85827	198.70176	74.35471	282.86389
ENST00000308162.10	3893.57338	3713.29362	11.36327	30.50121
ENST00000308639.13	2.28975	5.20382	0	14.2435
ENST00000308664.10	47.68389	19.74839	2.85929	37.42794
ENST00000309042.12	532.31971	377.35852	0	6.59571
ENST00000309117.11	136.49197	158.80515	26.67834	100.85019
ENST00000309155.3	0	0	6.64919	6.64228
ENST00000309190.9	173.23503	156.1404	27.56711	74.01784
ENST00000309244.9	403.5043	362.51731	96.89907	417.86017
ENST00000309334.5	7.07129	4.95005	9.4311	11.78262
ENST00000309439.9	15.90009	30.46461	12.28872	97.46297
ENST00000309703.10	0	1.18544	7.32555	84.54165
ENST00000309737.11	20.08181	12.23599	0	37.44099
ENST00000309863.11	107.8886	90.86095	43.4287	214.29224
ENST00000309877.11	26.45007	20.82759	8.38559	42.20553
ENST00000309964.8	279.13262	150.66714	79.00142	174.91109
ENST00000310418.9	11.48148	35.61927	102.40964	442.84635
ENST00000310441.12	439.35187	388.72912	116.33902	519.38797
ENST00000310653.10	153.23196	167.27679	27.27102	90.18856
ENST00000310758.9	10.64948	21.05858	3.33333	28.6153
ENST00000310775.12	126.91756	114.24428	0	7.96806
ENST00000311027.9	14.0304	10.22584	28.86452	88.30269
ENST00000311028.4	13.79332	46.59467	0	21.1404
ENST00000311044.8	7.5	11.66667	0	16.05642
ENST00000311141.7	98.15532	65.18805	1.29788	10.0437
ENST00000311308.7	0	4	98.91892	406.11014
ENST00000311916.8	47.44074	45.96257	8.89881	62.08639
ENST00000311966.9	11.73828	8.95786	0	13.55985
ENST00000312055.9	118.03935	114.90196	92.41117	346.28648
ENST00000312189.10	14.76754	19.60971	3	6.48694
ENST00000312316.9	37.42329	37.02469	43.01494	328.15909
ENST00000312423.4	23.08912	30	2.81307	2.63636
ENST00000312431.10	53.79496	1.6e-4	0	134.17384
ENST00000313432.5	119.56567	100.71293	89.6502	382.66548
ENST00000313860.12	174.59342	90.53114	28.93283	186.31961
ENST00000314028.11	294.32533	307.87039	115.11101	583.68818
ENST00000314070.9	0	4.42429	0	0
ENST00000314574.5	323.68786	209.3211	32.5	157.88437
ENST00000314748.10	2.59082	1	1.16034	0
ENST00000314754.12	10.47119	6.49993	0	15.15777
ENST00000314888.10	758.72749	380.83055	64.92696	178.51273
ENST00000315302.6	28.13369	6.12257	6.5	19.45936
ENST00000315367.4	41.34615	52	2	26.40624
ENST00000315368.8	120.45854	130.61305	27.46753	110.14831
ENST00000315436.8	221.77323	249.30167	260.81542	1141.56808
ENST00000315456.10	1.42147	6.3611	33.66159	32.56286
ENST00000315585.11	4.51064	1.30589	1.1092	1.09727
ENST00000315711.12	70.11627	71.11576	120.32188	605.40389
ENST00000315930.11	86.37257	131.41574	15.64324	14.62675
ENST00000315939.11	505.80882	483.54438	216.8957	1003.50516
ENST00000316341.8	99.86769	90.90805	3	59.83831
ENST00000316562.9	75.00462	111.36233	24.0613	72.25733
ENST00000316637.7	11.04809	13.38836	1.13526	1.46051
ENST00000316715.9	0	0	5.91416	8.64712
ENST00000316724.10	41.91911	69.03735	136.91682	761.05771
ENST00000316731.13	32.07232	38.28795	20.87562	110
ENST00000316757.4	20.55912	23.1303	6.83074	43.10304
ENST00000316881.9	145.25936	144.00156	5.71429	19.4914
ENST00000316999.9	222.78014	207.13921	10.88093	110.38027
ENST00000317058.8	62.5171	59.81566	24.08337	148
ENST00000317133.9	2.11566	4.22756	4.3575	15.62496
ENST00000317361.11	16.76875	14.04735	27.68986	216.17929
ENST00000317516.12	6.97591	3.85064	6.25474	73.16373
ENST00000317551.12	176.1626	109.81239	20.41523	95.33364
ENST00000317560.13	8.745	4.17028	3.43737	14.37845
ENST00000317578.7	195.78572	244.88706	0	46.51879
ENST00000317586.8	0	0	0	5.22551
ENST00000317610.11	1116.8186	1217.08202	317.16984	1833.36287
ENST00000317876.8	0.51282	0	2	45.73808
ENST00000317968.9	435.17234	502.28105	46.58235	267.79893
ENST00000318130.13	138.74876	129.22765	22.54335	124.89572
ENST00000318522.10	158.32309	229.09824	0	13.44382
