isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
ENST00000265322.8	5.67551	9.33307	2.51514	4.64192
ENST00000265333.8	3.25283	3.10581	26.24306	14.67106
ENST00000265393.10	55.50538	42.13266	54.03317	56.06196
ENST00000265437.9	3.24108	1.37579	0.57262	0.70758
ENST00000265465.8	7.16967	6.28064	1.67201	2.30748
ENST00000265594.9	11.50812	12.94488	6.21539	6.99781
ENST00000265654.6	0.13665	0.18631	0.39003	0.20918
ENST00000265800.9	0.20132	0.38772	0	0
ENST00000265857.8	10.02272	9.52027	5.59918	12.63405
ENST00000265865.3	0.51325	0.64472	0	0.75549
ENST00000266041.9	0.69434	0.15414	3.20368	2.01737
ENST00000266068.5	0	0	4.33029	5.67323
ENST00000266880.11	0	0	3.1375	0
ENST00000267079.6	12.06246	14.68427	9.71392	6.81512
ENST00000267219.12	0.93846	0	5.61763	6.77239
ENST00000267430.10	3.16715	2.56043	0	1.37472
ENST00000267484.10	13.98482	20.35067	11.34086	11.84797
ENST00000267512.9	0	0	4.66932	1.55273
ENST00000267811.9	32.04345	28.84467	13.07448	13.47219
ENST00000267996.11	6.06211	5.13364	0	0
ENST00000268182.10	47.5635	34.49965	13.06742	20.95614
ENST00000268251.13	39.98357	51.60641	8.79132	19.0293
ENST00000268676.11	0.64439	0.54221	3.36689	1.39126
ENST00000269137.11	15.00158	14.69301	3.98047	6.46807
ENST00000269243.8	70.75843	50.899	13.35402	8.59095
ENST00000269503.9	4.57238	3.46968	6.18913	33.06352
ENST00000269571.10	11.29382	12.32362	0	0
ENST00000269601.10	31.84691	38.41519	60.64107	62.37084
ENST00000270301.12	0	0.43499	0	0
ENST00000270443.8	4.88122	6.55214	0	4.05375
ENST00000270460.11	36.91605	32.24592	30.4827	28.88896
ENST00000271002.15	15.48082	14.03338	0	0.45525
ENST00000272771.10	31.1904	17.39322	1.58358	2.96835
ENST00000272972.7	0.57154	0	0.04705	0.50245
ENST00000274000.10	18.35556	20.9213	22.90315	17.58892
ENST00000274056.11	1.9136	1.12975	16.01818	8.06091
