"","gene_id","gene_name","DG-WT-hRGC","EP1-BRN3B-RO","H9-BRN3B-RO","hRGC"
"17710","MIA-RAB4B","MIA-RAB4B",45.8613801907263,39.303533256495,60.5237693873755,65.1082078385359
"17711","MIA2","MIA2",246.826673910956,395.267901716076,414.572002599987,389.362937341864
"17712","MIA3","MIA3",1001.06437534601,963.006039496331,1128.61051132114,1466.41281863665
"17713","MIB1","MIB1",1693.76636539757,891.842687783912,855.137667057306,2078.67554164303
"17714","MIB2","MIB2",593.668066684294,524.93864494828,515.637335424964,525.779289155557
"17715","MICA","MICA",1.99998943064285,43.1134387997941,16.5895103253267,17.0799111691173
"17716","MICAL1","MICAL1",1522.54993027099,218.194540200025,230.307506306104,2582.03464107019
"17717","MICAL2","MICAL2",272.559337267273,226.948033179368,197.112714380036,454.074976946384
"17718","MICAL3","MICAL3",975.256959189901,609.512028979692,505.485805436579,667.102242073897
"17719","MICALL1","MICALL1",608.311787370539,308.235875055397,228.498866727219,881.82703361231
"17720","MICALL2","MICALL2",100.82126780696,161.295919382122,101.676526889578,153.787519433653
"17721","MICB","MICB",0.999994715321423,1.01238944696957,3.49999458245164,3.00676518950876
"17722","MICD","MICD",0,0,3.57059389685101,0
"17723","MICE","MICE",0.999994715321423,0,1.49999971899007,3.37855853911901
"17724","MICOS10","MICOS10",1548.37818091212,1806.03541415861,1456.74505332838,2124.26942473196
"17725","MICOS10-NBL1","MICOS10-NBL1",2.00210921836232,10.5523511371711,8.13167817490008,7.0334472214197
"17726","MICOS10P2","MICOS10P2",0,0,2.99999943798013,0
"17727","MICOS10P3","MICOS10P3",0,0,1.00000457451856,0
"17728","MICOS10P4","MICOS10P4",0,1.00000206836194,0,0
"17729","MICOS13","MICOS13",585.690578711549,847.944597903412,947.183216046196,912.353185839297
"17730","MICU1","MICU1",560.25170279181,509.602780022178,468.697605549497,718.021925407307
"17731","MICU2","MICU2",1320.05848024079,843.539746880279,868.040184616149,2064.33406830184
"17732","MICU3","MICU3",830.626901640982,511.866997321854,485.907966988501,923.992732770896
"17733","MID1","MID1",280.427111084195,952.755888464896,646.931788976089,523.160343242164
"17734","MID1IP1","MID1IP1",301.55076542608,402.688949599442,401.859297483562,569.901189876762
"17735","MID2","MID2",123.544680516711,101.49585679089,167.337374961434,152.234185634681
"17736","MIDEAS","MIDEAS",588.038395024276,734.083235163543,638.71681161012,970.480870704175
"17737","MIDN","MIDN",2759.56640796169,1900.85375599245,1623.93244403205,4704.44332744597
"17738","MIEF1","MIEF1",692.272097102047,583.914297708478,526.960411179147,738.26195786824
"17739","MIEF2","MIEF2",117.339865024377,110.788666602855,113.435669837619,168.280271819333
"17740","MIEN1","MIEN1",840.271299828277,756.893974264274,741.783282144602,1145.40347161228
"17741","MIER1","MIER1",635.078710296529,1278.2575392657,1178.00837446816,959.719817413476
"17742","MIER2","MIER2",311.497339352786,209.042573813635,189.450317362162,386.044939292488
"17743","MIER3","MIER3",444.119904788762,275.772389549745,293.82998942966,568.380661373345
"17744","MIF","MIF",3704.97704374686,7959.66659326781,6788.64637442795,11263.2793754493
"17745","MIF4GD","MIF4GD",146.631288569512,269.726447611246,245.94446873891,359.70927157875
"17746","MIGA1","MIGA1",382.881190806103,377.856028219277,440.427665797444,648.042589353544
"17747","MIGA2","MIGA2",226.816089817885,207.20180324286,209.35159552641,245.482739345344
"17748","MIIP","MIIP",483.790126976604,292.517146957681,275.187784752644,584.10789881946
"17749","MILR1","MILR1",16.2755786967196,8.00685938982547,15.0045685740787,12.0067788993314
"17750","MINAR1","MINAR1",77.6012191172183,305.059299063993,564.585802936133,64.8359503577445
"17751","MINAR2","MINAR2",102.712209300777,20.0513321408077,18.0763530292294,99.8271456330224
"17752","MINDY1","MINDY1",120.296560076841,163.217078083122,137.569292615214,204.873408119211
"17753","MINDY2","MINDY2",2565.53268381208,1099.93377039781,1185.29768939481,5950.20223009322
"17754","MINDY3","MINDY3",730.296637235215,390.501739421717,436.434233149702,787.547017061368
"17755","MINDY4","MINDY4",53.8488614484345,91.3405127372821,64.4917308539013,106.358983391141
"17756","MINDY4B","MINDY4B",0.999994715321423,31.5295138167247,17.870840739276,12.6273915576768
"17757","MINK1","MINK1",439.991315378268,654.498512741135,598.606458270687,778.294966639522
"17758","MINPP1","MINPP1",272.325660953883,334.133087624219,301.756783879931,427.592204667107
"17759","MIOS","MIOS",517.723431387164,442.837222651122,456.692979271096,721.296162699299
"17760","MIOX","MIOX",3.99999400262655,4.00352134013055,4.10464585344881,7.99999182319703
"17761","MIOXP1","MIOXP1",0,4.04917593280404,8.0667073772699,1.00014406649728
"17762","MIP","MIP",12.9168507619159,13.7854875021685,28.0975557118139,5.00000761656811
"17763","MIPEP","MIPEP",106.102204104443,201.58531079503,208.767686911121,145.58159343669
"17764","MIPEPP1","MIPEPP1",3.1895991574713,3.00011312450659,2.15900760497907,15.3362822199592
"17765","MIPEPP2","MIPEPP2",0,3.00000620508581,5.99999887596027,1.00000152331362
"17766","MIPEPP3","MIPEPP3",25.5146886133918,50.289030241453,65.9242597995389,25.5444308645516
"17767","MIPOL1","MIPOL1",4241.79793038425,6674.75946028808,8152.5012869694,6855.84491047534
"17768","MIR3171HG","MIR3171HG",26.4353124199597,17.8331665630816,35.4843982627826,105.182472679832
"17769","MIS12","MIS12",295.058431012281,286.015819931873,375.311941003243,354.678535724447
"17770","MIS18A","MIS18A",124.724963177574,309.569251877754,206.364481677582,291.046953088761
"17771","MIS18BP1","MIS18BP1",80.3166520445247,206.70803408349,101.603056174492,374.574346760152
"17772","MISFA","MISFA",48.4694912940639,77.5920193547039,92.8587839485854,72.4902342339411
"17773","MISP","MISP",9.73972806930784,3.99999299924477,8.08200722869072,19.4375957901724
"17774","MISP3","MISP3",31.6094416990625,37.1505121544305,29.1118030051622,40.4370372437118
"17775","MITD1","MITD1",370.063137293255,486.99636393456,477.771360290034,636.997814037425
"17776","MITF","MITF",30.5019586050229,289.994856724645,184.938361178451,66.4023777663007
"17777","MIX23","MIX23",207.49083309452,380.715786692704,354.711669627023,396.088918916128
"17778","MIX23P1","MIX23P1",0,1.00000206836194,4.0000040124987,0
"17779","MIX23P2","MIX23P2",0,2.00560976921339,0,0
"17780","MIX23P3","MIX23P3",0,1.00000206836194,0,1.00000152331362
"17781","MIX23P5","MIX23P5",1.01763437741563,6.05336520114134,4.04391787175885,0
"17782","MIXL1","MIXL1",4.02085877032252,12.2763046036414,8.01417931594927,16.1070743039469
"17783","MKI67","MKI67",61.0053556374268,804.650587476122,159.264767641459,110.644055488404
"17784","MKI67P1","MKI67P1",0.999994715321423,11.9999942719373,4.0000040124987,2.00000304662724
"17785","MKKS","MKKS",465.984667200058,693.917213488014,661.802587420658,663.106329006345
"17786","MKLN1","MKLN1",1081.58113535125,1019.37800579587,1011.80651705097,1545.64662834638
"17787","MKNK1","MKNK1",131.022579947998,193.607273826207,138.646410726586,252.731162051036
"17788","MKNK2","MKNK2",568.612675504349,1308.29389282281,1298.99485669298,1242.17013363886
"17789","MKNK2P1","MKNK2P1",0,0,1.00000457451856,1.00000152331362
"17790","MKRN1","MKRN1",1939.25970797432,923.436337978903,974.308881196186,2731.65759848671
"17791","MKRN2","MKRN2",473.66615710046,503.904601136871,451.435944608669,719.343076723408
