"gene","logFC","logCPM","F","PValue","FDR"
"ENSG00000100865",-0.298910655988053,5.10401530870343,3.67431396325616,0.075542643895172,0.103477008120784
"ENSG00000284691",0.558040056893579,2.90483035062882,3.67393365532941,0.0755621094810538,0.103493212601678
"ENSG00000100285",0.650819376542022,1.41031132184743,3.67196274680931,0.0756743261812475,0.103636437007237
"ENSG00000112511",-0.419189867766879,5.69034362267823,3.66925541199656,0.0757225751801449,0.103691977722098
"ENSG00000102390",0.23662622040588,5.10093354387476,3.66905120103141,0.0757301820474436,0.103691977722098
"ENSG00000029993",-0.370230914045488,6.78645647293802,3.66644585530624,0.0758226328575543,0.103808077348615
"ENSG00000259305",0.709457237398916,2.08586969659688,3.66419845723334,0.0759208815043223,0.103932090486777
"ENSG00000179981",-0.492275822603687,4.62835368762681,3.66295240147839,0.0759490600605151,0.103960165629188
"ENSG00000115257",0.487902993209783,2.70523068165551,3.66283125085186,0.075960197262746,0.103964911006691
"ENSG00000166664",-0.530351272851555,2.18414872613604,3.66263322121213,0.0759920269764119,0.103997973913397
"ENSG00000123643",0.376294533760085,3.87534513882286,3.65830951106994,0.0761162425290145,0.104157450907447
"ENSG00000089063",-0.273434899370218,7.47799430350906,3.65700192657429,0.076160908642976,0.104208051256501
"ENSG00000080200",0.599325581396916,5.66925312343995,3.6512233088025,0.0763690088576262,0.104473655113827
"ENSG00000119862",-0.252264590604079,5.4647378050098,3.65118631021408,0.0763704422951006,0.104473655113827
"ENSG00000162825",0.41214605923955,3.86602229719971,3.64930562237212,0.0764402024417117,0.104550753934542
"ENSG00000146066",0.328637058191541,6.25406511345392,3.64918692091125,0.0764422289723555,0.104550753934542
"ENSG00000021776",0.491647781003823,5.64217819113655,3.64838359110693,0.0764714167689126,0.104580121368766
"ENSG00000134574",0.264894453742967,5.46232419078993,3.64681151170248,0.0765282005197344,0.104647218507312
"ENSG00000100519",-0.246052376163805,6.92526427603967,3.64609831730336,0.0765537317459622,0.104671570673335
"ENSG00000254999",-0.3014793377525,7.91890234355785,3.6431715759039,0.0766595722257122,0.104805713329363
"ENSG00000130287",-0.611711367104133,4.49650869593958,3.64184117142178,0.0767095070804656,0.104863404837986
"ENSG00000174740",-0.329473498393831,4.36248939351151,3.64160952689892,0.0767178134886679,0.104864183544313
"ENSG00000125650",0.662906177148335,1.8946377261222,3.64042676365204,0.0767822422153659,0.104941666934261
"ENSG00000204392",0.309944514030271,6.03243228913329,3.63804268022708,0.076845634394704,0.10501771814739
"ENSG00000172650",1.11791743113595,1.27334586341792,3.63659567321148,0.0769573271734057,0.105159755268509
"ENSG00000178150",0.583627907513813,2.86274857786125,3.630420686526,0.0771294677270956,0.105384355400509
"ENSG00000128789",0.276505751328073,6.11700637218282,3.62872972054982,0.0771845361016901,0.1054489670721
"ENSG00000100577",0.332071802515932,3.66772093557812,3.62543793048309,0.0773075325229653,0.105606359183257
"ENSG00000124160",0.611824543819816,4.97198568861249,3.62167498984663,0.0774431669560172,0.105780982054002
"ENSG00000147576",0.443127364333442,4.38613853535155,3.62095715489913,0.0774700478313511,0.105807036306543
"ENSG00000196116",0.828771453313596,4.85049782935254,3.62038909044484,0.0774904713113642,0.105824266816547
"ENSG00000087842",0.31428190567566,4.98472937478087,3.61995334273639,0.0775063125017755,0.105835236716609
"ENSG00000128050",-0.265968223490113,7.86250006715939,3.61811078388776,0.077573125553308,0.105915799712858
"ENSG00000135119",0.303612785253792,5.41524752173716,3.6173321513648,0.0776019681678855,0.105944508113167
"ENSG00000110011",-0.348732431491142,5.9584285844615,3.61632022548816,0.0776391155147353,0.105984547455607
"ENSG00000181378",1.01448817319753,0.83779028855197,3.61742097115115,0.0777240194876016,0.106089764364043
"ENSG00000158092",-0.270875658498037,5.70091332845073,3.61220488700168,0.0777905463797629,0.106169878726342
"ENSG00000135549",0.487606764498808,4.94442601406096,3.60929567226846,0.0778983727413791,0.106306337508725
"ENSG00000266472",-0.421844435367192,7.21005994153392,3.60812692106359,0.0779406945768611,0.106353385109713
"ENSG00000181004",-0.781977308640373,4.46989422098937,3.60700179735509,0.0779842521773828,0.106402109322755
"ENSG00000100987",1.31275493673895,3.85492461102473,3.60568509361728,0.0780334954415049,0.106458580494631
"ENSG00000128581",-0.338643688813666,6.36074401894903,3.60224451157827,0.0781584237575475,0.106618284582307
"ENSG00000164934",-0.325605235308437,6.4756829308722,3.60070803980343,0.0782153022774434,0.10666737288555
"ENSG00000183172",0.314872427508045,6.78825533253666,3.60055526339207,0.0782208392017533,0.10666737288555
"ENSG00000069424",0.316816833955248,4.02639476534633,3.60059283786436,0.0782214221421831,0.10666737288555
"ENSG00000145741",0.413154164798663,8.5684472478978,3.60041878622929,0.0782258880391303,0.10666737288555
"ENSG00000088888",0.395345138987481,6.22500432233396,3.59904542673629,0.0782768595276499,0.106717424318911
"ENSG00000127870",-0.303291251290308,5.19124423985837,3.59901784922577,0.0782783409014765,0.106717424318911
"ENSG00000132026",0.580395198566564,3.07735863276144,3.59868513387282,0.078295539779321,0.106730136394339
"ENSG00000130299",0.301904734140932,4.40524776430034,3.59666491628577,0.07836665316592,0.106816333166822
"ENSG00000174840",0.356088422009377,3.99237975185757,3.58796872163341,0.078691192930044,0.107247906382485
"ENSG00000149295",-0.613063420412828,3.56451568775609,3.58704196348564,0.078728814360252,0.107288392302318
"ENSG00000091262",-0.461629940761128,3.87287494389272,3.58597100439253,0.0787669250623171,0.107324450093918
"ENSG00000101680",-0.489422681432742,4.43084941112629,3.58582268190068,0.0787711103389624,0.107324450093918
"ENSG00000168522",-0.22471164124438,6.66862212603178,3.5841919885511,0.078830385463086,0.107394415978155
"ENSG00000047230",-0.238837551427766,6.63335623831027,3.57993571153349,0.0789898635433207,0.107600865373484
"ENSG00000257727",0.283320830920427,6.53907778649089,3.57941680428248,0.0790093302549327,0.107616567407834
"ENSG00000163517",-0.448136389864267,5.67614379734074,3.57799702387389,0.0790628708115344,0.107678672727043
"ENSG00000104529",-0.462329991463215,8.44088321144586,3.57630936663865,0.0791260232671802,0.107753855055095
"ENSG00000018869",0.576048824594664,2.17230847003639,3.57289040500316,0.0792709633727421,0.107940389547332
"ENSG00000188938",-0.310612126306686,5.82305368909224,3.57188614001415,0.0792927408863267,0.107959197385562
"ENSG00000151876",0.851186133925762,1.85328160979958,3.56854885628928,0.0794424395177596,0.108152151991132
"ENSG00000143643",0.614336460301561,3.7281087551877,3.56630674846977,0.0795056640470953,0.108227354674533
"ENSG00000136450",0.253682913072429,7.00112470944346,3.56471636201866,0.0795632627705102,0.108294884875627
"ENSG00000062598",-0.380161593740918,6.055618254882,3.56278530626028,0.0796365839585338,0.108383799475245
"ENSG00000171928",-0.307767015916125,5.63162936448669,3.56252846238169,0.0796463503169272,0.10838620805177
"ENSG00000172845",0.328961870472745,6.73427807763966,3.55932362878249,0.0797676379013262,0.108540363830396
"ENSG00000124116",1.00386617503543,0.294133193909334,3.56582497806116,0.0798438468715769,0.108630731603867
"ENSG00000173114",0.335624614561079,5.72361910849952,3.55715849369559,0.079850079605233,0.108630731603867
"ENSG00000156097",-0.919393425051482,2.30050680014675,3.5567469189971,0.0799087472581444,0.108699634718676
"ENSG00000149798",-0.842393467364312,2.76568351604607,3.5528678838191,0.0800305384945657,0.108854382213281
"ENSG00000116396",0.966012238150126,1.06310683286422,3.55387375175462,0.0800610524812414,0.108884959395018
"ENSG00000068400",0.405159780628522,6.76104638889282,3.55086035876331,0.0800896401824464,0.108912910909289
"ENSG00000160908",0.362102945122812,4.65680096271112,3.54655596544243,0.0802551597179612,0.109127050041859
"ENSG00000186732",0.600444898459438,2.87152539478319,3.54081859103581,0.0804804276298357,0.109412884516601
"ENSG00000029534",0.661901493352221,3.71351181992447,3.54055461445772,0.0804866088853634,0.109412884516601
"ENSG00000137038",0.282466410814831,6.05887651202531,3.54040846148356,0.0804895876874006,0.109412884516601
"ENSG00000186352",0.443510443807821,5.33467256609902,3.53861437585613,0.0805585697682415,0.109495673349252
"ENSG00000166444",0.470684980971053,6.43102908780141,3.53693952129428,0.0806226812597476,0.109571805249389
"ENSG00000170961",-1.11774617086693,3.87263070757854,3.53685752299463,0.0806307500042351,0.109571805249389
"ENSG00000197345",0.343900591192017,5.44773238646811,3.53514428144231,0.0806919617643908,0.109643994962862
"ENSG00000158042",0.292032859786993,5.76916892937557,3.53372077963757,0.0807467342669859,0.109695707875886
"ENSG00000184602",0.324902126867591,5.86570313804534,3.53371077938189,0.0807471123246944,0.109695707875886
"ENSG00000227877",1.23104187916208,2.13944157508792,3.53396475678996,0.080754299334926,0.109695707875886
"ENSG00000067840",0.75479818345925,4.33004655595857,3.53298328111694,0.0807763480408331,0.109714662926691
"ENSG00000205683",0.322562035886053,4.44318356119877,3.52967323454364,0.0809039069301987,0.109876909271735
"ENSG00000137310",-0.745182562304065,4.51949149895759,3.5271748246335,0.0810009795014029,0.109997723290453
"ENSG00000260272",0.871695083020388,0.61988655125007,3.53183661903649,0.0810096945434121,0.109998537351373
"ENSG00000173163",-0.375297526110921,5.68374279805003,3.52517469252794,0.0810767053833406,0.110078499926455
"ENSG00000268089",-0.669935467509059,1.66726317591767,3.52617924026185,0.081126456121918,0.110126390969262
"ENSG00000147548",0.477945687435452,7.27833243898038,3.52383744767097,0.0811282288496445,0.110126390969262
"ENSG00000179331",0.821927436666118,1.00207902269983,3.52416125583648,0.0812129573716254,0.110230364932406
"ENSG00000188760",0.445378167725661,3.47974249277907,3.52137439065173,0.0812273141840727,0.110238812100823
"ENSG00000179387",0.469746648262917,5.18302652874401,3.52087688813279,0.0812434936750861,0.110249731004417
"ENSG00000186638",0.442404672234377,3.58898410184758,3.51931260883327,0.0813068512010614,0.110324663247491
"ENSG00000235961",-0.988284469828368,2.79607047089656,3.51608791118127,0.0814493289271396,0.1105069273552
"ENSG00000132640",-0.26516588026341,6.87378633433251,3.51491786999141,0.0814745812683896,0.110530124563282
"ENSG00000117682",0.609099089589373,6.11376417415955,3.51429338865352,0.0814989115814869,0.110552066410676
"ENSG00000255439",0.748142318179702,1.78370985973391,3.51378921712304,0.0815453655733842,0.110604011306079
"ENSG00000165323",0.468395211676184,5.90691126814469,3.51113480113517,0.0816221511448069,0.110697081910818
"ENSG00000161791",-0.536407582140458,4.66822526980035,3.50945425880042,0.0816889820379166,0.110776634571478
"ENSG00000083457",0.401780101031274,5.58061507073485,3.50627376629888,0.081812139718691,0.110932547193591
"ENSG00000156384",0.496572820869338,3.89447121274616,3.50610310597393,0.0818208108321579,0.110933206963996
"ENSG00000120915",-0.293152872267223,6.47266021889065,3.50062872874375,0.0820332419073037,0.11121009810078
"ENSG00000116544",1.0763080319926,0.940642843526837,3.50126074478971,0.0821190341403004,0.111315270400803
"ENSG00000168653",-0.358476298988338,8.27879504100534,3.49791403147033,0.082139732587431,0.111332193549004
"ENSG00000155506",0.234861115620103,6.6073399516865,3.49734624131431,0.0821620701638567,0.111351334766615
"ENSG00000114942",-0.369015179507036,7.95160687917587,3.49626911464496,0.0822044245403557,0.111397597502498
"ENSG00000173013",0.788399037455723,0.617671025050545,3.50043316324298,0.0822324414308072,0.11142442378818
"ENSG00000261609",0.315678934383501,4.51874368448076,3.49315402198015,0.0823283251840166,0.111543194676546
"ENSG00000169902",-0.327867817652267,4.69401961520745,3.49214893182713,0.0823681331979569,0.111585974749136
"ENSG00000134326",-0.685142029901339,2.25244188344944,3.48917079944431,0.0825201132655836,0.111780693104309
"ENSG00000178538",-0.482637162027119,4.70868562887454,3.48660246700688,0.0825871875961416,0.111860371807545
"ENSG00000138080",0.969755710012731,0.235895659213807,3.49220051300943,0.0827111225115512,0.112017041818702
"ENSG00000143603",-0.507787788246648,3.73006595577689,3.48293519608596,0.0827349016334179,0.11203805142765
"ENSG00000105136",-0.383289477563696,4.30102727087773,3.47813929799247,0.0829233262388697,0.112281994389774
"ENSG00000102996",-0.96568751622553,3.30134646855894,3.4767286374539,0.08298674553673,0.112356642593631
"ENSG00000205765",-0.262355431548304,5.63815156275976,3.47066932202633,0.0832193550862805,0.112660321498147
"ENSG00000285053",-0.524062336074924,4.22638652203918,3.46920538166918,0.0832797407856278,0.112730810607051
"ENSG00000251369",-0.278361744298394,4.56295801803471,3.46563297425193,0.083422020563162,0.112912129689744
"ENSG00000154529",-0.641027438343621,4.24200061379629,3.4628315794773,0.0835350603457484,0.113053840032579
"ENSG00000134321",0.941965049494472,0.961228065200269,3.46471273122698,0.0835595580019052,0.113075703789719
"ENSG00000006652",0.298921125474802,6.81940505279819,3.46190538752308,0.0835699209755896,0.113078437546485
"ENSG00000082515",-0.328250410411993,6.22434898422184,3.46110624482824,0.0836021956754523,0.11311081654872
"ENSG00000059691",0.53858742696388,5.95381203114951,3.46072743922271,0.0836172914616843,0.113119948944173
"ENSG00000073008",-0.411426680456264,5.25747664376269,3.45787329695518,0.0837323912377953,0.113264354374958
"ENSG00000114631",-0.891101947521904,5.9949278198587,3.45507810355364,0.0838446807755483,0.113404929970241
"ENSG00000025423",0.670927291006014,1.56174577090547,3.45044036918297,0.0840697863212873,0.113698052664012
"ENSG00000288640",-0.749845088394007,1.79172059591146,3.45043143326676,0.0841133933870766,0.113745678336669
"ENSG00000148296",-0.292626107705152,5.00297072617458,3.44673505724927,0.0841820404266856,0.113827152428501
"ENSG00000174227",0.345506147529862,5.43892744625843,3.44647087547429,0.0841923018433358,0.11382967173911
"ENSG00000092850",-0.699517126327917,3.96836848989593,3.44335179018239,0.0843215956837514,0.113993108707118
"ENSG00000197774",0.543079493190773,3.0690717576737,3.4417328132957,0.0843896458810803,0.114073726964412
"ENSG00000085788",0.364950388305733,6.15392819862552,3.44092518704062,0.0844169682496163,0.114099280779348
"ENSG00000139083",0.499507621889969,4.51574756531068,3.43682101516071,0.0845850554503099,0.114315070453036
"ENSG00000005801",-0.297962264556066,6.00472326919608,3.43249489632776,0.0847604090170848,0.11454063647234
"ENSG00000119402",0.265623338585392,5.84062737023335,3.43100862715613,0.0848210941532405,0.114611216244943
"ENSG00000161921",-0.542000225272956,2.79916414063298,3.42910857135672,0.0849109128806654,0.114721143658746
"ENSG00000138623",0.880230352468702,1.8355074582054,3.42580369429771,0.0850591925396171,0.11491002648081
