"","LR__H9_CRX_ROs_D45","LR__EP1_WT_ROs_D45","SR__D0_1","SR__D0_2","SR__D0_3","SR__D10_3","SR__D10_4","SR__D10_5","SR__D10_6","SR__D25_1","SR__D25_2","SR__D25_3","SR__D25_4"
"ENSG00000114062",1714.99999,2231,1890,2453,2144,2948,1687,2602,2321,2686,2229,2648,3284
"ENSG00000114098",1912.99999,2203.99999,1545,1508,1184,1965,1493,1648,1803,1623,1549,1467,1559
"ENSG00000114107",1019,1011.00002,685,700,583,1187,844,936,1064,1287,1057,1074,1138
"ENSG00000114115",4074,3655,449,343,381,803,1055,698,598,5267,6325,5571,5271
"ENSG00000114120",1228.99999,1993,2092,1780,1538,3149,1862,2653,2667,2176,1961,1827,1933
"ENSG00000114125",1871.99999,1904,3082,2657,2511,2829,3390,2805,2737,3495,3617,3592,3613
"ENSG00000114126",2955,2775,1248,1110,973,1886,1368,1591,1633,3724,3897,3340,3667
"ENSG00000114127",1113,1461.99999,333,383,265,590,196,444,491,533,685,520,495
"ENSG00000114166",320,413,43,34,25,68,49,61,52,75,49,60,58
"ENSG00000114200",730,698.99999,172,210,164,197,132,145,141,348,418,360,386
"ENSG00000114209",814,902,1791,1611,1305,1479,1789,1261,1279,717,740,786,867
"ENSG00000114251",398,419,38,46,47,112,42,75,53,166,193,229,226
"ENSG00000114268",958,328.99999,1970,1682,1353,11883,7958,11439,13523,3276,3899,2569,2835
"ENSG00000114270",199.00001,142,114,74,68,87,56,132,151,174,301,171,201
"ENSG00000114279",56,68,102,122,105,74,53,85,76,81,101,100,98
"ENSG00000114302",1146.99999,1136.00001,604,698,688,950,625,914,792,996,878,758,1111
"ENSG00000114315",1287,1150,84,67,64,347,284,262,273,201,143,150,137
"ENSG00000114316",530,683,901,921,855,1714,982,1662,1580,1819,1639,1483,1745
"ENSG00000114331",1012.00001,1071.99999,536,651,585,1122,555,866,843,646,584,736,759
"ENSG00000114346",1281.00001,1882,2563,2841,2213,4166,2393,3314,3644,4001,3204,3304,4031
"ENSG00000114353",2916.99999,3091.00001,1115,845,1083,2293,3497,3039,1954,1859,1505,1537,3649
"ENSG00000114354",2575.00001,1786.00002,2194,2568,2126,3373,2528,2942,2983,3990,3501,3632,4280
"ENSG00000114378",16,61,254,223,184,90,56,98,92,29,19,28,22
"ENSG00000114383",359.99999,421,703,807,770,939,1184,872,933,806,932,847,829
"ENSG00000114388",306,321,1159,873,750,1100,1423,908,903,1441,1509,1420,1237
"ENSG00000114391",8972,11516.00001,6785,5812,6245,7212,13954,6839,6042,5708,5411,6036,5220
"ENSG00000114395",166,187.99999,417,375,325,343,365,297,381,376,387,359,383
"ENSG00000114405",366,459,279,253,216,188,265,203,171,610,470,526,571
"ENSG00000114416",2038.99998,2531.00001,2318,2195,1962,3081,1966,2602,2689,1779,1455,1444,1675
"ENSG00000114423",1987,2558.00002,710,673,548,1678,992,1478,1661,995,961,765,663
"ENSG00000114439",1792.00001,2707.99999,1529,1398,1241,3150,1806,2710,2773,2905,3149,2327,2674
"ENSG00000114446",1032,1770,953,874,807,1824,1810,1668,1863,2393,2206,2220,2317
"ENSG00000114450",472.99999,774.00001,601,784,548,658,449,686,783,278,286,308,351
"ENSG00000114473",257.00001,488.99999,198,221,187,250,186,243,309,430,384,381,384
"ENSG00000114480",264,369.00001,876,789,666,1543,978,1070,1221,676,738,674,616
"ENSG00000114491",491,580,2001,1836,1712,2076,1829,1800,1726,1635,1501,1444,1583
"ENSG00000114503",956.99999,1128,3419,3379,2740,3662,2498,3193,3504,3971,3447,3350,3555
"ENSG00000114520",804,1333,769,771,723,1278,906,942,1116,1483,1283,1348,1366
"ENSG00000114529",38,19,349,370,320,75,102,98,108,23,16,34,23
"ENSG00000114541",1446,1751,113,110,89,245,132,267,262,1886,1716,1417,1525
"ENSG00000114544",438,439,808,715,663,838,723,762,793,1301,1405,1049,1384
"ENSG00000114554",615,446,1643,1191,1039,2117,1360,2064,2202,1968,2360,1575,1853
"ENSG00000114573",1093.00001,1226,3733,3656,2832,5200,3298,4195,4287,4115,4291,3744,3943
"ENSG00000114626",85.00001,96.99999,74,93,84,115,85,116,154,72,70,80,57
"ENSG00000114631",497,484,156,224,355,370,382,472,325,503,443,583,1242
"ENSG00000114646",620.99999,406,10,13,6,26,22,19,22,90,100,79,80
"ENSG00000114648",338,260,1118,982,849,742,409,757,757,795,715,607,728
"ENSG00000114650",583,527,4232,3912,3182,4161,2664,4331,4670,3925,4292,3363,4174
"ENSG00000114656",204,121,159,124,126,149,151,109,135,214,198,171,242
"ENSG00000114670",135,258,41,24,37,39,62,38,51,33,26,56,24
"ENSG00000114686",1281.99999,1440.99999,3008,2780,2442,2116,1933,1781,1702,1721,1318,1445,1539
"ENSG00000114698",44,87,21,31,14,11,9,7,9,11,14,20,23
"ENSG00000114735",242,287,520,371,361,641,598,625,661,862,893,835,735
"ENSG00000114737",49,50,98,76,49,98,67,86,83,154,183,127,145
"ENSG00000114738",378,378,3088,2759,2514,3985,3573,3793,4331,4867,4374,4422,5006
"ENSG00000114739",995,1028,3323,3930,3058,4800,1744,3898,4141,3813,4162,2965,3583
"ENSG00000114742",480,812,2154,2382,2076,4112,2290,3591,3706,4678,4457,4088,4252
"ENSG00000114744",579.99999,631,1661,1523,1233,1663,1822,1332,1395,1943,1702,2066,1969
"ENSG00000114745",403,316.00001,1348,1286,1035,1325,866,1209,1293,1896,1935,1643,1917
"ENSG00000114757",660,599.99999,62,57,41,7,3,20,11,39,69,31,44
"ENSG00000114767",160,170,1887,1385,1425,1060,1126,961,984,971,992,718,986
