variants_overlapped.counts_per_read	variants_overlapped.Freq	sample	sample_clean	Freq_percentage
43	31	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	9.355491160268015e-4
44	39	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.0011769811459692017
45	31	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	9.355491160268015e-4
46	17	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	5.130430636276007e-4
47	16	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	4.828640598848007e-4
48	19	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	5.734010711132008e-4
49	12	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.621480449136005e-4
50	16	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	4.828640598848007e-4
51	15	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	4.526850561420007e-4
52	12	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.621480449136005e-4
53	6	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	1.8107402245680026e-4
54	10	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800045e-4
55	3	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	9.053701122840013e-5
56	2	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	6.0358007485600085e-5
57	5	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	1.5089501871400022e-4
58	2	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	6.0358007485600085e-5
59	4	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	1.2071601497120017e-4
60	5	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	1.5089501871400022e-4
61	3	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	9.053701122840013e-5
63	10	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800045e-4
64	4	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	1.2071601497120017e-4
65	1	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800043e-5
66	2	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	6.0358007485600085e-5
67	3	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	9.053701122840013e-5
68	4	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	1.2071601497120017e-4
69	2	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	6.0358007485600085e-5
70	1	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800043e-5
71	5	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	1.5089501871400022e-4
72	2	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	6.0358007485600085e-5
73	1	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800043e-5
74	2	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	6.0358007485600085e-5
76	1	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800043e-5
