H9.BRN3B_hRO_2_h1	H9.BRN3B_hRO_2_h2	H9.BRN3B.RO_h1	H9.BRN3B.RO_h2	H9.CRX_hRO_2_h1	H9.CRX_hRO_2_h2	H9.CRX_ROs_D45_h1	H9.CRX_ROs_D45_h2	H9.FT_1_h1	H9.FT_1_h2	H9.FT_2_h1	H9.FT_2_h2	H9.hRGC_1_h1	H9.hRGC_1_h2	H9.hRGC_2_h1	H9.hRGC_2_h2
1	0	2	0	0	1	0	0	1	1	0	1	0	0	1	0
2	1	9	9	4	4	11	6	7	4	4	3	2	0	3	6
4	0	6	4	5	3	6	3	6	3	8	3	1	0	3	4
6	5	4	5	3	8	11	3	19	14	9	6	6	5	8	8
100	109	29	34	54	60	49	53	10	12	9	18	5	7	15	15
2	3	1	3	2	2	5	2	0	1	0	1	0	0	2	0
0	1	2	2	0	0	0	1	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	5	2	1	0	1	1	0	0	0	1	0	0	0	1
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	5	8	11	4	4	1	3	6	4	2	2	0	0	1	5
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
8	21	33	26	13	10	2	11	17	13	8	14	0	0	4	9
64	82	143	112	77	65	135	144	191	116	120	142	18	18	66	60
9	13	10	18	6	11	27	38	56	51	34	27	6	12	22	27
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2	2	2	6	3	3	2	2	5	3	13	7	0	0	7	6
0	0	1	1	0	0	0	0	3	0	0	0	0	0	2	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
11	3	16	6	5	3	7	0	10	3	12	8	2	2	14	10
1	4	2	2	1	1	0	0	1	0	2	0	0	0	0	1
16	8	25	18	8	9	15	8	13	9	17	11	1	3	17	14
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	2	0	1	0	0	0	0	0	0	1	0	0	3	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
134	161	218	217	123	150	151	196	88	67	82	74	32	25	130	104
7	6	23	18	9	10	9	18	3	8	9	3	2	1	8	2
11	10	27	17	7	7	19	13	17	17	20	18	7	5	12	14
1	1	3	0	2	2	2	1	0	1	0	1	1	0	0	2
2	8	10	5	5	4	7	8	0	2	1	1	0	1	2	0
1	1	1	2	3	1	0	2	0	0	1	0	0	1	0	1
3	5	9	10	2	2	14	9	8	11	11	9	4	1	6	6
0	0	2	1	1	2	0	0	1	1	0	1	0	0	0	1
69	69	130	109	68	66	135	104	94	92	70	70	30	26	107	119
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0	1	1	1	0	2	1	2	0	0	2	3	0	0	0	2
301	271	747	729	279	275	375	338	310	280	252	240	223	214	684	622
0	2	1	2	4	2	2	1	4	2	4	7	1	1	6	9
16	12	76	21	25	10	24	14	19	10	19	8	21	6	55	19
33	20	60	64	23	18	40	45	46	26	34	35	13	9	41	35
15	18	55	42	13	12	19	26	37	32	26	18	22	23	69	68
13	14	32	29	10	15	17	15	22	16	17	26	20	23	83	78
343	300	396	344	308	266	792	698	371	374	332	306	98	77	549	527
0	1	2	3	1	1	5	9	1	1	0	0	0	0	0	1
39	41	115	95	42	50	83	90	51	40	31	29	10	15	41	50
33	27	99	83	32	43	74	80	37	31	24	21	6	6	27	33
12	17	34	25	17	15	20	26	20	17	15	12	5	9	22	31
67	100	143	165	74	92	147	123	131	122	83	99	33	31	152	137
16	19	28	37	14	16	17	17	23	23	20	26	3	10	40	39
13	16	23	26	8	8	29	24	10	17	12	12	3	3	29	24
1	1	0	1	1	0	1	0	1	1	3	1	0	0	1	3
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
105	67	366	263	129	70	114	109	106	85	110	62	21	7	45	41
18	14	69	70	12	13	52	71	10	18	15	15	1	1	4	16
0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1
5	4	8	4	6	3	8	2	10	4	13	5	5	2	14	9
3	4	6	4	5	1	6	1	8	4	7	2	5	1	10	6
0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
1	0	0	2	1	1	4	3	1	2	1	1	1	2	3	3
1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	2
0	2	0	3	0	1	3	1	1	1	0	2	1	0	1	5
0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	3
56	72	79	119	52	78	72	87	21	20	27	29	47	75	238	302
26	22	41	44	30	32	41	32	14	9	16	14	19	21	163	143
0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0
1	0	2	0	0	1	0	1	0	3	1	0	1	1	5	7
42	30	79	69	12	18	13	15	20	28	18	21	9	13	30	28
96	111	153	149	64	52	76	75	102	86	72	92	31	35	154	157
21	18	19	13	9	11	45	48	19	16	27	13	4	8	24	40
27	22	61	50	16	20	17	15	18	30	26	18	4	2	28	19
27	25	16	19	26	21	63	52	23	24	15	13	18	13	82	84
9	9	6	9	7	2	11	8	3	6	4	10	1	0	6	1
10	11	21	28	8	10	16	19	9	25	19	16	4	6	36	32
39	40	68	99	20	37	40	42	29	46	44	43	15	21	71	67
1	4	4	4	3	2	4	2	1	4	7	2	2	0	5	2
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
9	22	2	2	11	9	2	1	2	2	1	6	2	1	12	11
0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0
2	10	7	4	2	4	4	12	14	14	10	10	1	2	9	15
2	3	4	3	1	2	3	12	13	13	10	9	1	2	3	11
0	1	2	2	0	4	3	2	2	5	2	3	0	0	3	1
42	42	98	57	42	37	64	79	60	54	38	58	19	26	100	104
147	145	131	122	93	68	105	117	169	206	149	142	21	21	148	110
2	2	2	2	0	0	2	0	0	1	1	1	0	1	2	0
13	6	21	18	10	6	12	21	13	7	8	11	1	2	14	6
1	1	4	3	1	0	1	3	0	3	0	0	0	0	1	1
1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0
6	2	0	0	1	0	50	42	7	0	3	2	0	0	0	0
10	4	3	1	5	3	71	66	7	3	5	3	0	0	0	1
0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
65	56	152	131	50	43	33	49	34	25	36	33	17	22	51	76
0	0	1	0	0	2	2	0	1	0	0	0	0	0	2	0
