isoform_id	EP1.WT_hRO_2	EP1.WT_ROs_D45	H9.BRN3B_hRO_2	H9.CRX_hRO_2	H9.CRX_ROs_D45
ENST00000280057.6	0	3.39272	0	0	1.13994
ENST00000280154.12	450.41061	767.90109	403.4583	494.7559	663.57039
ENST00000280190.8	6.42273	5.01091	0	8.09938	4.93303
ENST00000280241.12	127.25303	50.78116	130.53704	105.89463	41.65706
ENST00000280346.11	135.4261	372.83796	161.16654	114.08635	374.46636
ENST00000280560.13	19.55344	23	19.56874	31.07942	27.62587
ENST00000280696.9	47.02139	66.06611	62.75282	47.93392	79.16175
ENST00000280876.6	19.78235	125.64534	19.27805	18.1087	60.63423
ENST00000280969.9	77.59946	355.38279	128.58799	112.19866	222.42554
ENST00000281129.7	31.3304	3e-5	18.86289	8.00611	3e-5
ENST00000281142.10	53.10207	378.06971	82.24281	88.00945	133.86123
ENST00000281171.9	92.99887	147.1498	70.01377	76.17782	71.89595
ENST00000281394.8	14.97041	15.68604	5.85354	4.7579	20.00809
ENST00000281405.9	112.49381	299.8421	97.81859	98.56543	200.93159
ENST00000281708.10	107.77129	144.8059	21.44077	44.17989	50.63812
ENST00000281821.7	72.05858	126.97535	127.64613	89.14648	136.23029
ENST00000281923.4	96.13722	56.30137	86.12799	75.32822	37.62035
ENST00000282007.7	229.11422	757.92724	240.43172	214.11687	482.09404
ENST00000282020.9	20	11.37843	15.55483	18	5.49266
ENST00000282268.7	0	0	0	4.87458	8.71001
ENST00000282369.7	109.019	147.50685	136.25646	102.08719	118.79903
ENST00000283256.10	0	0	4.19868	0	0
ENST00000283269.13	0	5.61986	0	90.36817	1.90211
ENST00000283628.9	2.77435	4.85419	2.59108	2e-5	7.87489
ENST00000283629.8	55.70587	312.02984	79.75881	53.98691	282.63011
ENST00000284322.10	1.79157	12.38533	0	0	8.52691
ENST00000284881.9	115.12822	175.10075	144.23595	130.06379	172.75156
ENST00000285199.12	9.44346	63.60181	14.07918	17.84226	46.6349
ENST00000285871.5	41.90919	117.20071	58.98162	52.75995	60.08404
ENST00000286918.9	65.43375	110.41266	93.22034	73.63622	86.70861
ENST00000287272.6	30.6	28.96073	24.80003	18.91882	96.07048
ENST00000287468.5	95.73996	14.32019	87.81684	17.506	99.67757
ENST00000287727.8	64.95015	149.4895	67.64507	47.49077	117.21437
ENST00000287766.10	11.3913	40.61444	18.65165	12.5732	8.27498
ENST00000287771.9	0	6.76471	0	0	16.69744
ENST00000288466.11	79.53456	112.03595	37.57023	64.34742	290.13207
ENST00000288607.3	203.89344	328	234.76471	219.71381	359.37909
ENST00000289104.8	4.83414	3.30287	3.51676	7.15334	5.10295
ENST00000289119.7	47.36676	69.28871	58.13874	54.76328	88.7313
ENST00000289316.2	43.51807	59	64.62745	76.63866	51.95327
ENST00000289577.9	26.88971	33.19987	13.0017	14.57634	14.40228
ENST00000289788.5	73.81258	37.63177	57.75	80.26493	146.64466
ENST00000290178.4	6.84576	13.71757	9.605	11.110900000000001	14.00312
ENST00000290246.11	86.59024	210.34239	57.87126	44.54644	111.8762
ENST00000290317.9	0	0	0	0	22.38842
ENST00000290390.9	6.09054	0	0	0	0
ENST00000290510.10	18.02985	73.82406	32.51855	11.96048	80.93326
ENST00000290541.7	939.691	1764.31206	984.67169	1142.30132	1706.87473
ENST00000290650.9	217.78329	326.68965	242.58488	269.90981	292.36355
ENST00000290795.7	87.98718	123.87476	100.02728	50.46797	99.16794
ENST00000290881.11	46.95365	33.56244	68.70109	30.74378	42.1319
ENST00000290921.10	133.02235	347.38573	159.09404	127.87342	386.76744
ENST00000291688.6	9.17207	288.28788	39.36384	43.24546	166.11032
ENST00000291775.3	302.18244	144.63875	346.74296	333.92404	58.81152
ENST00000291839.10	24.46397	7.79624	18.05815	11.41089	2.90839
ENST00000292199.6	0	3.33645	5.14167	0	3.92444
ENST00000292330.3	64.52809	268.44423	98.35763	118.30018	249.37393
ENST00000292433.4	15.36465	0	60.65793	64.4592	0
ENST00000292539.8	68.63207	9.61805	48.87403	47.390860000000004	22.97755
