isoform_id	EP1.BRN3B.RO	EP1.WT_ROs_D45	H9.BRN3B.RO	H9.CRX_ROs_D45
ENST00000253401.10	18.99626	2.80282	20.17506	5.58931
ENST00000254108.12	62.91625	138.53046	41.87335	168.75631
ENST00000254663.12	1.46515	4.18406	1.90061	6.14671
ENST00000254718.9	7.56946	11.13082	5.57713	13.47743
ENST00000254821.10	13.07063	35.65655	9.36345	25.70294
ENST00000255006.12	17.3288	11.34199	5.69073	15.12677
ENST00000255194.11	3.33518	17.77253	5.12284	18.86502
ENST00000256062.9	0.61717	0	0.89776	0
ENST00000256246.5	1.00597	0.89556	1.66573	1.96128
ENST00000256398.13	8.76902	13.41891	6.32217	16.39505
ENST00000256429.8	28.93411	23.14177	26.09281	20.13377
ENST00000256578.8	4.73544	3.89413	2.68649	4.0114
ENST00000256830.13	1.30228	0.10044	2.59222	0.22663
ENST00000256969.7	1.50251	3.22456	0.25082	9.62569
ENST00000257177.9	36.35387	3.06573	37.823480000000004	1e-5
ENST00000257209.8	19.02251	13.78465	26.14973	8.90538
ENST00000257745.9	16.2477	17.11119	6.32837	14.20092
ENST00000257879.11	5.30196	8.54099	3.72411	9.60649
ENST00000258052.8	3.74952	4.25268	4.87226	5.33432
ENST00000258301.6	23.23776	21.48159	18.78488	23.78328
ENST00000258390.12	0.49321	5.46311	1.91491	9.5022
ENST00000258398.8	6.25893	0	8.20159	0.39677
ENST00000258399.8	8.35454	15.24416	15.14761	16.67005
ENST00000258770.8	11.52512	22.95339	8.19425	19.87646
ENST00000258781.11	4.26753	12.4246	2.59794	11.8818
ENST00000258960.7	7.89015	0.25223	6.90543	0
ENST00000258962.5	62.34785	166.72907	38.19849	162.4789
ENST00000259008.7	3.6542	22.18819	0.97353	25.25654
ENST00000259371.7	18.11783	9.4724	13.87526	8.6881
ENST00000259605.11	4.07716	0.85592	3.8576	3.74142
ENST00000259711.11	2.31136	1.72781	1.20083	0.96556
ENST00000260128.8	5.93247	6.85117	3.87346	1.74701
ENST00000260382.10	13.3693	44.54113	11.69251	29.23729
ENST00000260570.8	6.30959	6.98759	9.05977	5.9155
ENST00000260810.10	5.13164	33.52408	8.14455	37.27873
ENST00000261017.9	20.92373	41.93929	13.59341	42.72128
ENST00000261018.12	0.74163	4.12021	1.33867	4.48858
ENST00000261178.9	0.20659	1.21267	0	0.95421
ENST00000261183.8	0.04043	40.75463	9.08456	22.72191
ENST00000261377.11	3.85787	4.9039	4.56501	5.0984
ENST00000261441.9	11.30383	0.25477	12.25746	0.34642
ENST00000261569.11	1.66952	3.11001	1.239	2.59304
ENST00000261600.11	10.42944	23.48683	10.15365	22.46259
ENST00000261609.13	5.74834	8.57998	5.78415	12.14583
ENST00000261716.8	74.3964	83.56778	74.77404	73.68032
ENST00000261735.4	63.45526	92.34482	49.34194	114.15412
ENST00000261741.10	24.71636	16.43066	17.78603	20.64794
ENST00000261749.11	16.24813	21.3185	20.31751	19.94147
ENST00000261799.9	14.82596	16.04082	6.21703	18.64896
ENST00000261837.12	65.44445	16.12655	120.67385	17.26128
ENST00000261862.8	1.14713	2.58985	1.894	1.27339
ENST00000261891.7	0.65532	0.32152	0.96363	0.02373
ENST00000261908.11	19.2737	27.60964	16.39995	38.59944
ENST00000261973.12	127.74976	115.277	95.4672	103.27593
ENST00000262052.9	10.97782	8.30465	9.68095	6.86459
ENST00000262124.15	13.22891	27.60394	9.68322	23.93639
ENST00000262135.9	1.79434	7.27676	1.32247	8.36914
ENST00000262146.9	13.78889	14.27225	19.63528	13.06061
ENST00000262197.7	0.99203	0.97368	0.57817	1.78012
ENST00000262300.13	1.62717	6.68858	0.5015	12.61315
ENST00000262315.14	2.52451	9.67823	1.04039	14.1487
ENST00000262406.10	26.80295	0.64775	40.13324	2.49102
ENST00000262407.6	3.06356	1.78247	3.57609	2.39338
ENST00000262442.9	0.2226	2.41109	1.55142	0.995
ENST00000262464.9	37.15228	82.81222	21.92363	78.8241
ENST00000262506.8	14.43675	25.91908	11.492	29.41715
ENST00000262539.7	0	0.34391	0.33771	0
ENST00000262593.10	6.28477	3.22806	4.34426	6.89358
ENST00000262607.3	0.42654	0	0.20351	0.21003
ENST00000262608.13	42.24478	30.12052	29.70538	26.93883
ENST00000262631.11	2.20924	0	0.94602	0.30576
