isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
ENST00000262173.7	0	13.68244	22.84416	3e-5	70.76573
ENST00000262188.13	189.10923	58.50172	70.58189	90.742	47.26432
ENST00000262233.11	509.08612	550.17995	560.85082	760.26701	740.69085
ENST00000262302.14	276.13299	146.83108	191.57847	219.33537	168.28311
ENST00000262315.14	41.40727	42.53108	50.43922	16.65562	50.93757
ENST00000262406.10	439.62473	21.780639999999998	0	642.49273	20.34727
ENST00000262442.9	3.65105	5	9.87732	24.83665	5.12374
ENST00000262593.10	103.08342	86.88095	94.32174	69.54717	146.97674
ENST00000262608.13	692.90324	237.42988	189.41492	475.55327	187.02725
ENST00000262631.11	36.23617	8.63745	8.7727	15.14487	4.85886
ENST00000262722.11	204.58746	331.623	462.93476	103.45788	384.0216
ENST00000262765.10	29.67477	10.6352	8.84763	26.21772	4.64567
ENST00000262873.13	22.76421	60.76041	7	58.69072	29.95099
ENST00000262919.10	291.38776	179.28221	221.2	281.88462	156.19048
ENST00000263025.9	237.82022	173.42773	236.91633	240.44676	199.3463
ENST00000263033.9	0	0	3.98934	2.59509	5.22293
ENST00000263062.8	232.07032	115.89915	2e-5	18.67723	36.56145
ENST00000263083.12	4.32216	29.51983	89.61667	50.65297	36.374
ENST00000263084.7	352.91926	84.10489	69.18077	324.84723	93.15755
ENST00000263431.4	4.30197	19.99545	20.4284	25	15.47817
ENST00000263468.13	244.60224	207.33013	179.09511	219.87751	136.11475
ENST00000263630.13	464.87233	244.37242	213.99407	474.30149	329.23363
ENST00000263741.12	34.64226	13.69704	14.5101	37.90395	4.85093
ENST00000264005.10	26.85075	19.60062	14.28098	34	10.37667
ENST00000264057.7	414.19075	69.44963	72.91481	560.8919	23.0964
ENST00000264167.11	23.61191	77.26835	2e-5	28.8374	66.42022
ENST00000264181.6	1	1	2	1.06569	0
ENST00000264344.10	257.83693	135.4588	168.90369	216.58659	75.63223
