isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
ENST00000282268.7	0	0	0	0.35274	0.61538
ENST00000282397.9	68.95019	21.0921	13.27376	57.76827	27.05207
ENST00000282903.10	0	0	17.00702	1e-5	4.80096
ENST00000282999.7	1.6351	1.41723	1.70824	0.63998	1.03733
ENST00000283254.12	8.48953	9.58649	8.60363	5.17103	10.9681
ENST00000283256.10	1.77553	0	0.48957	0	0
ENST00000283268.8	19.21036	57.14087	74.02665	10.30523	74.3256
ENST00000283269.13	0.28465	0	0	0	11.40832
ENST00000283426.11	3.41338	9.57251	5.85872	5.22943	3.40608
ENST00000283628.9	0.62219	0.36034	0.30213	0.2646	0
ENST00000283629.8	17.79511	7.23526	9.30002	17.11674	6.81545
ENST00000284041.7	0.69356	0	1.20635	1.90287	2.66754
ENST00000284440.9	88.05356	199.86768	192.41452	98.57758	123.04087
ENST00000284476.7	1.54673	3.31361	4.60854	2.36319	4.85295
ENST00000284548.16	1.63957	2.67188	4.66251	1.3291	3.10187
ENST00000284617.7	3.14022	0	0.29289	3.58466	0
ENST00000285199.12	2.79915	1.22655	1.64166	3.56038	2.25245
ENST00000285273.8	2.54331	0.14631	0.73486	0.67991	0
ENST00000285397.9	0.89036	8.90645	12.37231	3.32972	4.57535
ENST00000285871.5	10.09675	5.4433	6.87736	12.25344	6.66056
ENST00000285908.5	5.78816	0.96652	2.41239	4.97379	2.66247
ENST00000286190.9	1.44121	0.70738	0.62922	3.14974	0.34807
ENST00000286437.7	4.3187	7.15774	4.62424	6.06483	5.39339
ENST00000286627.10	10.80226	0.47185	0.72183	9.39208	0.50228
ENST00000286628.14	1.72949	2.46545	0.41102	2.93703	0.76493
ENST00000287272.6	1.79367	3.97443	2.89173	1.23749	2.38836
ENST00000287387.7	6.46002	9.56075	16.04566	6.42918	16.28692
ENST00000287771.9	0.12883	0	0	0.48092	0
ENST00000288532.11	12.12044	28.53095	26.45786	9.73841	23.07859
ENST00000288548.5	0.81273	0.1469	0.23702	0.40093	0.33879
ENST00000288828.9	20.02928	25.1163	25.56511	16.31266	22.03513
ENST00000288873.7	2.41638	1.43682	0.25097	0.16297	0
ENST00000289153.6	0	0.91918	1.36028	10.82331	0.63746
ENST00000289488.8	5.13875	5.75441	4.46434	7.1746	4.77183
ENST00000289495.7	2.29015	2.19816	1.95705	4.88841	3.57462
ENST00000290178.4	0.55457	0.88915	1.11996	0.84199	1.40267
ENST00000290541.7	100.7451	122.05012	114.81449	79.69124	144.20722
ENST00000290943.10	0	0	1.0883100000000001	0.08856	0.71958
ENST00000291750.6	3.52866	10.01629	15.20849	3.60239	8.75283
ENST00000291775.3	8.29641	39.24844	40.43085	6.78104	42.15548
ENST00000291839.10	0.44961	3.17746	2.10561	0.27959	1.44054
ENST00000292291.10	1.05381	0.61529	0	0.69942	0.66491
ENST00000292433.4	0.64292	1.99561	7.07282	0	8.1375
ENST00000293760.10	27.26717	14.51439	11.62464	21.93382	6.64268
ENST00000293831.13	250.02368	243.35705	272.53089	189.57674	257.86637
ENST00000294785.10	32.90901	44.96897	47.50534	30.17576	42.71232
ENST00000295006.6	30.69072	25.32709	26.98959	20.5193	18.14135
ENST00000295031.9	1.23047	0.23484	0.50244	0.09797	0
ENST00000295211.5	0	0.14145	0.17703	0	0
ENST00000295470.10	10.72324	17.26878	4.35938	23.27272	4.55323
ENST00000295491.9	33.32665	33.45468	27.0239	27.82694	33.82183
ENST00000295497.13	5.92612	3.97834	4.52927	5.68174	10.26034
ENST00000295566.8	0	0	0	0	0
ENST00000295718.7	6.34986	14.97012	10.55335	7.58093	4.38975
ENST00000295736.9	1e-5	2.19504	1e-5	4.2756	1e-5
ENST00000295809.12	7.30056	0	0.84006	7.11769	0
ENST00000295901.9	64.38057	44.89793	57.07676	52.68792	61.91213
ENST00000295924.12	12.75852	10.03463	12.3053	20.70837	11.31571
ENST00000295951.7	7.25398	0	4.18435	1.72417	0.95967
ENST00000295952.7	0	10.43444	3.71672	0	6.33816
ENST00000295955.14	0.99894	1.98314	1.89875	0.68421	2.77221
ENST00000295974.12	13.20353	13.20197	12.47991	15.54376	9.95627
ENST00000295989.9	0.47426	0	0	0.51786	0
ENST00000296003.9	3.58519	7.26791	6.25397	6.442	6.8365
ENST00000296043.7	27.29764	44.15362	41.69218	37.00105	44.84765
ENST00000296202.12	2.60899	3.32908	1.36716	2.79397	3.18917
ENST00000296350.10	1.00113	0.90918	1.39922	0.74958	1.26243
ENST00000296351.8	0.08343	0	0	0.12493	0
ENST00000296387.6	0.49883	2.05534	1.40375	0.41391	5.84826
ENST00000296440.11	6.98201	15.49379	5.37718	3.23717	15.07157
ENST00000296487.8	0.3277	0	0.20759	0.87911	0
ENST00000296533.3	2.49968	7.0137	4.40688	1.12437	5.66319
ENST00000296555.11	0	8.87031	32.76793	0.84497	35.46031
ENST00000296577.9	37.79016	35.68705	49.92429	37.49347	37.94707
ENST00000296679.9	25.29287	32.23267	37.40072	19.7981	36.01979
ENST00000296734.6	1.44115	0.97821	0.71119	1.02036	1.51313
ENST00000296792.9	11.3124	3.84463	4.33624	11.81728	5.04597
ENST00000296805.8	11.63848	15.58196	15.16581	11.79488	13.37461
ENST00000296873.11	11.14321	6.98268	6.20856	9.88045	7.13348
ENST00000297063.10	0.78454	0	0	0	1.0969
ENST00000297313.8	3.52916	5.53026	2.9927	3.86272	1.78744
ENST00000297488.10	2.47347	1.12456	3.21476	3.22174	1.9171
ENST00000297534.7	1.147	31.7588	50.68597	1.62681	60.1456
ENST00000297564.6	118.55592	0.23326	106.13427	102.27841	0.21953
ENST00000297979.9	2.00915	0.79587	5.41682	0.46048	4.79503
ENST00000297991.6	7.43983	6.15603	3.98161	11.06002	9.02848
ENST00000298048.7	3.41276	2.06041	2.96996	1.16127	4.11765
ENST00000298281.8	16.91057	24.37294	18.93376	29.32063	25.01486
ENST00000298852.8	6.67788	0	0	0	44.91916
ENST00000298910.12	1.79513	0.31652	0	2.485	0.06312
ENST00000299173.14	3.10705	2.04658	3.70705	5.15047	4.1361
ENST00000299237.3	6.57698	14.79388	9.02422	5.62184	10.55532
ENST00000299240.10	13.70786	18.03892	13.65138	13.81705	15.29417
ENST00000299613.10	1.12037	0	0.23854	1.01431	0.93451
ENST00000299871.9	0.11603	0.68131	0	0.09896	0
ENST00000299886.9	12.80419	16.57206	16.76929	15.74466	13.81865
ENST00000300278.8	212.72838	8.01923	8.37409	157.1778	7.60618
