"","EP1-WT_ROs_D45","H9-CRX_ROs_D45","EP1-WT_hRO_2","H9-BRN3B_hRO_2","H9-CRX_hRO_2","EP1-BRN3B-RO","H9-BRN3B-RO"
"ENST00000489180",31,16,13,9,12,23,8
"ENST00000378169",16,6,3,2,3,5,18
"ENST00000468253",2,1,3,3,3,7,3
"ENST00000470763",6,10,3,9,2,5,5
"ENST00000622020",10,22,3,9,5,14,9
"ENST00000466897",5,6,3,1,4,3,2
"ENST00000378111",17,4,0,4,0,17,3
"ENST00000378097",19,19,11,15,17,22,35
"ENST00000666163",20,10,12,5,13,15,9
"ENST00000655748",0,5,3,1,2,4,3
"ENST00000435937",2,0,4,7,6,6,13
"ENST00000493807",6,4,2,1,6,8,4
"ENST00000341524",0,5,4,4,4,10,17
"ENST00000653635",2,6,7,5,3,16,6
"ENST00000428161",3,3,3,6,4,8,9
"ENST00000665338",2,4,5,6,3,9,14
"ENST00000669250",5,3,12,6,9,1,14
"ENST00000378083",7,0,3,3,8,7,7
"ENST00000652911",1,0,5,3,1,5,7
"ENST00000671076",3,9,5,4,0,12,9
"ENST00000262450",14,22,15,15,17,151,168
"ENST00000462991",0,1,1,2,1,7,10
"ENST00000377999",0,0,0,3,1,7,9
"ENST00000496404",1,3,2,5,1,24,26
"ENST00000234875",10159,8833,5519,7392,6699,8461,6630
"ENST00000480661",473,522,410,517,396,573,465
"ENST00000497965",831,818,754,952,813,1032,905
"ENST00000471204",8,33,13,19,12,35,66
"ENST00000465387",21,24,9,8,11,30,16
"ENST00000462296",0,1,2,1,2,5,4
"ENST00000465335",6,8,11,20,20,46,91
"ENST00000466994",4,8,16,14,19,47,26
"ENST00000377939",22,21,40,40,30,83,54
"ENST00000485539",5,0,4,7,6,3,12
"ENST00000496676",18,18,25,17,22,60,46
"ENST00000496329",2,3,0,5,0,7,4
"ENST00000343813",646,612,310,250,195,427,482
"ENST00000489498",79,102,33,31,25,84,87
"ENST00000474756",26,19,5,3,6,12,9
"ENST00000377893",176,177,137,130,131,288,196
"ENST00000608083",131,157,36,70,46,104,114
"ENST00000361521",399,379,115,194,75,250,215
"ENST00000377842",17,15,6,9,3,9,18
"ENST00000377845",5,5,3,5,2,4,6
"ENST00000377855",35,15,6,10,5,30,19
"ENST00000377860",5,7,1,2,1,5,2
"ENST00000418124",2,11,1,0,2,0,9
"ENST00000377837",1,1,3,5,2,13,12
"ENST00000377836",4,10,3,5,9,13,30
"ENST00000377834",12,17,31,26,39,102,121
"ENST00000645284",65,86,156,238,202,1060,1515
"ENST00000636330",14,19,53,74,84,127,248
"ENST00000633651",0,0,2,0,3,7,20
"ENST00000632803",0,1,3,0,1,6,4
"ENST00000632593",2,2,7,0,3,3,1
"ENST00000461727",25,32,36,40,52,87,139
"ENST00000475228",6,3,10,5,7,3,20
"ENST00000633239",15,21,44,110,84,224,200
"ENST00000475479",1,0,6,12,6,18,14
"ENST00000434576",0,3,4,10,9,27,44
"ENST00000477679",7,1,10,12,8,24,32
"ENST00000468561",10,14,33,59,44,135,247
"ENST00000647810",14,11,14,19,13,25,24
"ENST00000356876",26,24,22,12,16,37,25
"ENST00000473343",26,29,25,28,26,66,68
"ENST00000513135",62,45,69,94,74,187,212
"ENST00000377782",8,2,6,9,7,21,4
"ENST00000480393",7,12,6,0,10,7,12
"ENST00000485036",4,5,0,6,11,16,10
"ENST00000351959",2,3,1,4,4,7,2
"ENST00000475730",2,7,8,4,2,32,26
"ENST00000487949",12,9,6,11,13,27,13
"ENST00000489097",13,7,8,10,5,24,11
"ENST00000674790",6,11,7,11,6,16,11
