"","EP1-WT_ROs_D45","H9-CRX_ROs_D45","EP1-WT_hRO_2","H9-BRN3B_hRO_2","H9-CRX_hRO_2","EP1-BRN3B-RO","H9-BRN3B-RO"
"ENST00000407877",111,71,55,52,33,65,55
"ENST00000586703",32,20,20,21,20,19,17
"ENST00000542587",147,83,43,55,44,70,62
"ENST00000588461",4,6,3,0,0,2,0
"ENST00000590629",31,22,16,4,4,9,3
"ENST00000203556",105,72,42,57,47,72,42
"ENST00000587238",10,11,1,5,4,12,3
"ENST00000587205",7,9,3,0,3,3,4
"ENST00000467160",14,32,34,23,14,36,29
"ENST00000357324",295,369,152,141,127,303,232
"ENST00000291503",22,23,19,9,11,32,18
"ENST00000469641",7,11,5,6,4,14,12
"ENST00000497556",5,6,7,2,3,5,10
"ENST00000473243",2,10,8,14,5,13,12
"ENST00000474955",5,3,4,0,3,5,2
"ENST00000455627",5,1,0,0,1,8,0
"ENST00000318110",15,10,3,13,11,7,13
"ENST00000592502",90,110,42,70,89,137,135
"ENST00000415784",13,6,6,3,8,5,13
"ENST00000415440",7,8,7,17,13,24,20
"ENST00000586745",9,6,7,3,4,4,18
"ENST00000344099",110,97,104,96,100,139,154
"ENST00000591639",65,30,58,58,13,130,148
"ENST00000443905",27,13,18,20,18,49,51
"ENST00000587461",1,0,1,1,0,13,8
"ENST00000540806",97,5,59,69,5,146,168
"ENST00000450683",1,0,1,1,0,6,7
"ENST00000587822",241,145,141,154,133,298,296
"ENST00000545006",48,15,25,31,7,50,50
"ENST00000595825",5,1,1,7,1,15,11
"ENST00000589717",295,170,132,177,159,258,293
"ENST00000592725",3,1,2,5,2,3,11
"ENST00000355650",49,21,28,29,24,53,73
"ENST00000589668",15,10,6,11,9,24,23
"ENST00000592613",17,10,1,8,9,18,24
"ENST00000591366",4,2,4,5,2,2,2
"ENST00000586021",9,6,1,9,4,7,5
"ENST00000343769",335,156,108,137,106,173,157
"ENST00000592160",37,23,24,22,22,34,49
"ENST00000596019",5,0,1,3,3,8,4
"ENST00000397162",36,26,16,25,5,32,23
"ENST00000397165",115,72,39,25,31,61,41
"ENST00000601365",12,20,5,8,8,13,18
"ENST00000602079",12,18,5,8,10,4,10
"ENST00000358523",8,6,2,5,1,9,6
"ENST00000597972",3,3,1,1,1,6,2
"ENST00000601100",3,8,0,9,4,23,8
"ENST00000595534",2,2,2,2,0,6,7
"ENST00000469078",38,31,7,11,22,14,18
"ENST00000474284",29,32,21,27,26,14,16
"ENST00000418063",81,61,17,33,30,26,31
"ENST00000484032",6,4,1,1,5,4,4
"ENST00000335117",182,149,79,95,110,150,95
"ENST00000597083",46,43,19,20,29,22,11
"ENST00000596530",3,0,7,5,11,2,7
"ENST00000427401",419,222,259,298,247,440,393
"ENST00000596797",1,4,4,4,0,7,10
"ENST00000601440",175,114,100,111,105,209,234
"ENST00000291750",304,166,158,197,158,249,223
"ENST00000360204",74,43,37,47,41,50,52
"ENST00000344519",181,150,85,112,108,318,337
"ENST00000594534",27,27,25,39,37,37,59
"ENST00000328178",144,75,52,62,51,76,36
"ENST00000300540",103,78,39,47,32,78,45
"ENST00000596476",3,4,7,7,4,8,10
"ENST00000601023",33,25,15,24,11,28,32
"ENST00000599548",17,14,8,9,12,9,18
"ENST00000594110",1,2,1,5,4,4,3
"ENST00000595833",23,6,7,3,8,18,15
"ENST00000261560",144,145,90,124,122,146,148
"ENST00000595401",471,244,239,209,224,425,395
"ENST00000596053",60,35,20,32,43,39,29
"ENST00000425625",27,14,12,16,15,7,6
"ENST00000456283",544,397,186,187,198,380,229
"ENST00000613286",36,31,15,16,20,22,14
"ENST00000610902",28,31,9,14,8,31,13
"ENST00000620627",13,11,0,4,5,13,7
"ENST00000600535",60,35,27,20,21,41,34
"ENST00000600692",41,32,21,16,15,45,24
"ENST00000599296",9,21,10,11,10,7,8
"ENST00000594425",21,18,14,14,16,8,19
"ENST00000311048",815,588,395,409,396,560,487
"ENST00000598331",4,5,0,4,6,6,5
"ENST00000356929",400,244,205,196,176,354,280
"ENST00000598046",52,71,16,15,30,82,64
"ENST00000602023",3,3,1,1,3,5,4
"ENST00000311015",594,262,271,252,192,221,173
"ENST00000380870",326,335,151,251,204,148,102
"ENST00000683779",108,114,32,80,77,92,91
"ENST00000597492",123,51,37,29,36,56,43
"ENST00000594245",26,18,4,12,14,6,21
"ENST00000596302",4,3,4,0,1,0,5
"ENST00000594390",27,14,6,16,6,12,19
"ENST00000355504",24,9,11,9,8,13,34
"ENST00000392288",112,41,51,87,45,69,166
"ENST00000339914",53,33,34,42,29,27,66
"ENST00000599461",781,512,372,381,341,640,491
"ENST00000598152",11,5,17,19,3,2,33
"ENST00000599517",24,14,28,41,29,65,119
"ENST00000358491",154,104,82,154,114,207,245
"ENST00000596237",145,31,35,48,28,103,101
"ENST00000597078",0,1,3,1,2,4,13
"ENST00000596126",98,66,32,38,36,72,57
"ENST00000598747",5,2,0,4,3,2,0
"ENST00000597556",7,5,3,7,4,2,4
"ENST00000594385",107,86,66,48,55,188,220
"ENST00000358296",319,223,173,144,162,334,255
"ENST00000305570",6,2,0,3,3,0,2
"ENST00000354959",309,195,110,130,134,216,162
"ENST00000357491",122,79,22,55,32,66,49
"ENST00000594012",185,131,60,48,61,96,66
"ENST00000595461",55,43,14,9,10,32,13
"ENST00000598381",4,9,1,2,2,3,4
"ENST00000599906",6,10,3,7,2,7,3
"ENST00000596899",17,11,2,3,8,4,1
"ENST00000598288",33,20,13,2,12,16,6
"ENST00000593886",139,107,44,37,36,91,55
"ENST00000599414",53,40,14,16,16,36,14
"ENST00000594312",3,2,1,1,2,2,5
"ENST00000397126",4,5,11,10,6,23,42
"ENST00000601993",89,66,64,86,70,104,76
"ENST00000594947",1,1,1,3,0,4,10
"ENST00000597796",42,34,19,9,16,29,22
"ENST00000651839",131,76,78,64,76,161,147
"ENST00000601693",0,0,1,3,3,2,20
"ENST00000599879",10,4,0,6,5,5,3
"ENST00000456783",1,1,2,3,5,20,30
"ENST00000596209",36,29,22,21,18,60,56
"ENST00000593635",41,32,13,14,5,11,2
"ENST00000597761",162,105,31,23,27,26,13
"ENST00000599195",40,23,28,27,22,27,30
"ENST00000418100",190,148,45,39,32,77,42
"ENST00000597537",11,13,2,2,2,8,4
"ENST00000597037",17,11,13,6,7,5,17
"ENST00000611392",15,10,2,2,1,6,6
"ENST00000593645",22,6,32,28,29,29,27
"ENST00000596528",12,17,38,19,42,77,118
"ENST00000596989",8,4,8,4,3,4,8
"ENST00000597458",198,126,217,197,199,253,221
"ENST00000300619",666,491,414,541,446,1048,1153
"ENST00000397082",44,49,33,37,24,70,83
"ENST00000601935",1,3,3,3,4,7,7
"ENST00000359788",168,127,72,74,64,123,117
"ENST00000600299",134,89,60,43,67,131,117
"ENST00000599535",0,5,1,0,4,3,5
"ENST00000601010",7,8,1,5,3,8,7
"ENST00000599168",5,5,0,2,6,5,7
"ENST00000402377",214,163,118,104,136,119,117
"ENST00000528059",8,5,0,1,0,3,1
"ENST00000471224",12,5,0,1,2,5,3
"ENST00000692590",22,16,13,27,23,9,26
"ENST00000475499",42,22,17,8,13,17,21
"ENST00000686829",7,6,2,1,5,8,6
"ENST00000689525",20,14,8,3,8,11,14
"ENST00000691397",11,17,5,8,4,6,11
"ENST00000692739",108,81,25,46,51,28,28
"ENST00000688405",25,18,5,8,9,9,3
"ENST00000484897",11068,14704,6365,9121,7429,7032,6017
"ENST00000687994",6,6,4,11,4,14,2
"ENST00000685013",31,27,14,11,9,10,17
"ENST00000462186",93,54,28,45,40,25,29
"ENST00000525354",8,10,7,4,5,12,11
"ENST00000334589",1,5,14,13,6,18,24
"ENST00000531821",5,15,9,8,12,15,25
"ENST00000575986",68,54,52,37,39,69,64
"ENST00000613065",190,120,97,129,103,151,94
"ENST00000611359",59,18,43,36,36,64,56
"ENST00000616028",47,25,39,32,24,47,40
"ENST00000594886",39,21,39,20,33,39,23
"ENST00000339642",7,4,6,2,0,3,1
"ENST00000357002",198,80,89,86,75,118,113
"ENST00000593783",181,106,100,73,80,217,189
"ENST00000304863",1825,1517,643,791,675,1673,1413
"ENST00000335523",366,240,111,105,157,70,29
"ENST00000586173",4,2,0,2,0,16,7
"ENST00000585603",281,260,127,154,150,248,291
"ENST00000221770",30,38,18,36,26,28,42
"ENST00000590688",4,3,3,4,2,3,7
"ENST00000587232",0,2,3,2,3,4,2
"ENST00000436066",18,21,11,18,12,28,22
"ENST00000323670",213,192,112,129,119,194,183
"ENST00000623113",65,66,50,53,44,66,82
"ENST00000392276",45,55,28,36,10,52,42
"ENST00000592153",7,4,2,0,2,2,5
"ENST00000392275",4,1,3,2,1,14,12
"ENST00000591243",5,4,5,3,3,6,3
"ENST00000342680",21,12,14,13,9,40,29
"ENST00000262643",94,111,14,27,19,42,24
"ENST00000357943",8,10,5,2,2,6,3
"ENST00000574121",3,2,3,6,0,2,0
"ENST00000360605",193,109,45,46,26,114,145
"ENST00000570564",37,25,18,28,20,32,32
"ENST00000574233",6,2,5,2,2,9,6
"ENST00000392271",1682,1097,425,487,393,854,729
"ENST00000574110",499,278,115,98,118,238,242
"ENST00000574666",10,7,2,3,0,7,11
"ENST00000576442",38,8,22,21,18,55,40
"ENST00000570704",10,8,1,2,1,6,7
"ENST00000574176",65,12,9,3,4,10,1
"ENST00000575242",107,43,23,35,31,49,37
"ENST00000706142",23,16,28,16,20,130,105
"ENST00000706143",20,9,15,14,21,20,22
"ENST00000706144",41,29,25,24,20,82,65
"ENST00000706145",16,15,25,19,20,50,64
"ENST00000706146",5,14,9,5,7,19,15
"ENST00000706147",8,4,7,3,5,15,19
"ENST00000706148",33,28,42,19,32,55,57
"ENST00000592773",61,45,41,39,30,121,119
"ENST00000590564",62,46,30,17,23,78,68
"ENST00000706149",20,15,6,6,8,13,21
"ENST00000585628",16,10,6,3,10,16,11
"ENST00000355537",52,66,77,41,52,85,98
"ENST00000706150",99,103,155,143,173,265,255
"ENST00000651361",13,8,5,9,9,20,22
"ENST00000240587",109,117,55,64,45,111,94
"ENST00000558569",5,4,3,0,0,3,3
"ENST00000311921",73,73,53,49,49,99,92
"ENST00000355898",113,116,65,66,71,159,118
"ENST00000587084",26,29,11,14,20,44,46
"ENST00000544431",13,15,8,12,10,33,22
"ENST00000586664",1,0,3,2,4,6,7
"ENST00000587077",37,41,25,30,23,64,53
"ENST00000592503",6,12,11,5,8,20,6
"ENST00000392250",207,175,103,105,90,124,106
"ENST00000586987",84,76,79,79,73,94,72
"ENST00000342179",50,46,28,48,18,47,43
"ENST00000586427",3,1,2,3,0,6,0
"ENST00000585597",15,6,7,5,9,13,19
"ENST00000588648",13,9,9,10,4,14,10
"ENST00000592142",35,21,10,13,11,30,11
"ENST00000590651",12,12,12,9,8,7,13
"ENST00000590247",1813,1557,676,801,730,1190,1080
"ENST00000419343",51,56,65,79,92,107,85
"ENST00000221784",59,63,39,27,35,56,64
"ENST00000592786",17,26,19,17,15,30,25
"ENST00000586035",16,18,5,6,2,23,11
"ENST00000586316",42,52,41,29,37,54,45
"ENST00000588622",6,16,8,1,14,10,9
"ENST00000306065",157,149,74,101,76,181,181
"ENST00000587667",0,2,2,3,3,3,3
"ENST00000591100",1,1,3,1,3,5,6
"ENST00000587352",71,63,46,40,31,84,151
"ENST00000593232",1,1,0,3,0,6,7
"ENST00000586463",3,3,2,2,2,8,10
"ENST00000588700",5,2,2,0,1,2,6
"ENST00000590519",1,1,1,0,2,13,14
"ENST00000334176",1,7,30,11,3,389,662
"ENST00000397061",107,136,105,66,97,252,147
"ENST00000444215",3,2,0,4,1,6,11
"ENST00000639142",4,0,1,0,3,4,11
"ENST00000647536",0,1,2,1,2,6,10
"ENST00000590341",6,3,7,2,7,10,6
"ENST00000023064",3,6,7,11,9,11,14
"ENST00000590465",5,1,0,1,1,2,5
"ENST00000586628",18,26,15,14,15,17,19
"ENST00000305768",178,140,74,99,64,239,187
"ENST00000591698",21,19,10,21,19,36,51
"ENST00000586984",37,39,29,39,28,59,70
"ENST00000590597",69,47,37,31,31,80,48
"ENST00000593276",6,9,3,7,6,7,4
"ENST00000591205",3,0,2,4,7,3,2
"ENST00000591863",194,213,89,97,79,267,243
"ENST00000588258",67,82,20,21,27,57,22
"ENST00000699959",3,6,1,0,0,3,2
"ENST00000699961",17,13,5,11,12,13,11
"ENST00000254260",71,111,105,92,120,414,514
"ENST00000544458",15,24,17,22,37,108,98
"ENST00000588388",5,9,5,5,7,20,38
"ENST00000588683",0,1,1,1,3,7,6
"ENST00000592247",2,3,3,3,5,15,3
"ENST00000591502",1,0,3,2,2,12,15
"ENST00000585641",4,4,1,2,0,2,9
"ENST00000592165",9,6,6,6,7,21,13
"ENST00000170564",174,166,85,82,86,324,275
"ENST00000592262",21,27,19,28,20,94,83
"ENST00000592765",2,2,0,2,0,5,10
"ENST00000361680",12,9,9,11,4,22,23
"ENST00000355868",2,4,3,3,0,10,14
"ENST00000253193",473,461,171,208,235,571,434
"ENST00000590278",13,35,17,15,19,37,25
"ENST00000253188",33,25,9,15,22,21,12
"ENST00000590490",2,5,0,1,3,1,9
"ENST00000498907",16,36,17,21,18,43,61
"ENST00000652630",125,135,44,38,29,167,172
"ENST00000284000",397,365,191,224,196,467,524
"ENST00000585933",163,129,129,122,83,207,254
"ENST00000593085",50,56,83,66,59,73,76
"ENST00000244137",272,273,170,241,197,358,403
"ENST00000588328",8,21,17,25,21,33,37
"ENST00000591968",3,2,8,5,2,2,3
"ENST00000698426",6,3,4,7,15,9,13
"ENST00000698427",20,27,11,11,12,25,24
"ENST00000698428",12,24,7,12,6,10,23
"ENST00000698429",5,3,5,0,4,8,9
"ENST00000698430",1,4,2,2,1,10,4
"ENST00000698431",1,1,1,3,1,5,4
"ENST00000698432",4,1,0,3,3,1,4
"ENST00000698359",9,8,3,5,2,12,7
"ENST00000698360",4,3,2,2,3,3,4
"ENST00000698361",3,3,1,3,5,1,7
"ENST00000397032",6,13,4,9,3,15,7
"ENST00000698362",4,3,2,5,2,6,2
"ENST00000436370",1,3,2,5,1,6,5
"ENST00000651901",8,8,1,6,3,10,9
"ENST00000698363",5,7,0,2,2,4,0
"ENST00000698364",1,4,3,0,1,3,8
"ENST00000698365",8,4,3,7,0,4,6
"ENST00000698437",7,6,1,4,2,7,8
"ENST00000651646",5,1,2,2,4,8,4
"ENST00000590755",1,3,0,3,3,5,3
"ENST00000438847",6,9,1,3,1,0,1
"ENST00000262622",8,10,2,0,6,2,4
"ENST00000587658",9,21,2,2,0,4,2
"ENST00000587559",2,5,1,1,1,5,7
"ENST00000590771",10,10,2,8,6,11,11
"ENST00000589786",7,4,0,0,1,6,4
"ENST00000284006",86,91,43,60,59,98,110
"ENST00000683859",125,106,63,51,44,119,117
"ENST00000430256",13,24,8,12,4,7,5
"ENST00000592210",7,1,0,0,0,7,1
"ENST00000590385",3,8,6,2,4,12,15
"ENST00000589878",92,72,33,17,31,60,37
"ENST00000544216",858,722,336,430,396,868,848
"ENST00000540746",132,121,87,82,90,174,144
"ENST00000433627",368,312,269,252,253,454,459
"ENST00000586157",2,8,5,2,4,12,10
"ENST00000588582",159,149,114,111,131,184,174
"ENST00000585887",3,4,0,1,0,10,4
"ENST00000590416",14,8,14,7,10,15,10
"ENST00000588470",6,12,9,4,17,14,13
"ENST00000299505",355,326,288,286,290,446,389
"ENST00000589583",1,0,0,7,3,3,2
"ENST00000592124",8,14,4,6,6,12,10
"ENST00000585833",6,1,1,6,6,17,7
"ENST00000588974",250,209,179,146,148,321,285
"ENST00000415930",505,636,840,1139,1036,1290,1065
"ENST00000588991",12,25,18,29,31,15,25
"ENST00000589504",11,10,18,9,9,6,7
"ENST00000646312",0,7,1,1,4,3,6
"ENST00000589640",3,5,4,6,3,4,4
"ENST00000589399",3,0,4,1,5,4,2
"ENST00000356487",1086,1209,1439,2138,1799,2020,1776
"ENST00000647446",61,86,81,107,138,72,79
"ENST00000586425",6,12,14,13,14,5,15
"ENST00000643067",27,64,58,63,53,49,61
"ENST00000590362",4,1,12,4,2,0,4
"ENST00000589985",56,110,62,84,63,118,110
"ENST00000586392",2,13,16,5,18,11,14
"ENST00000586077",28,41,41,45,47,53,60
"ENST00000246535",100,101,97,98,93,132,169
"ENST00000587385",7,10,6,9,7,12,13
"ENST00000587065",11,9,24,14,8,12,14
"ENST00000585821",7,3,3,4,1,4,6
"ENST00000607361",12,11,7,6,9,11,13
"ENST00000586313",28,22,10,10,13,32,22
"ENST00000590048",9,1,7,7,3,11,9
"ENST00000246548",1723,1404,633,824,775,1099,1012
"ENST00000592841",21,7,5,10,13,29,14
"ENST00000439527",214,151,95,120,125,152,156
"ENST00000592672",19,9,3,1,7,10,4
"ENST00000591016",3,2,0,2,4,9,4
"ENST00000592791",4,16,5,9,5,16,13
"ENST00000588585",23,21,17,11,17,29,16
"ENST00000590071",235,209,134,141,175,295,311
"ENST00000585928",8,6,6,2,4,1,3
"ENST00000601241",38,21,23,38,22,75,63
"ENST00000595326",8,6,3,11,5,19,15
"ENST00000512455",5,0,0,3,0,14,6
"ENST00000613363",114,103,47,72,65,107,133
"ENST00000506901",9,2,7,9,5,9,12
"ENST00000457781",175,129,56,84,94,152,172
"ENST00000505242",93,105,44,104,83,90,165
"ENST00000423823",124,84,33,42,36,113,111
"ENST00000507959",16,18,25,35,34,57,104
"ENST00000510002",35,11,15,12,7,34,7
"ENST00000446502",8,10,3,2,6,12,20
"ENST00000505365",91,51,59,108,93,96,212
"ENST00000509196",66,31,35,27,27,61,59
"ENST00000599244",13,9,1,1,3,10,7
"ENST00000392232",27,22,30,20,27,61,58
"ENST00000448715",56,36,35,24,32,74,90
"ENST00000492450",192,94,110,95,74,232,176
"ENST00000593781",15,22,3,0,0,16,12
"ENST00000459757",25,12,4,4,5,20,17
"ENST00000329285",21,14,7,12,14,23,28
"ENST00000673678",4,6,1,12,4,5,10
"ENST00000587354",49,30,17,32,20,51,38
"ENST00000588760",92,78,28,35,33,41,35
"ENST00000588788",23,9,8,9,2,19,25
"ENST00000303586",11,8,9,11,12,34,14
"ENST00000601142",21,4,18,24,16,46,48
"ENST00000439785",26,16,30,32,34,53,60
"ENST00000601540",7,5,5,6,4,13,24
"ENST00000601957",36,23,30,33,36,111,117
"ENST00000404801",35,29,31,37,37,54,62
"ENST00000605484",2,2,0,2,2,1,6
"ENST00000599564",35,37,25,23,26,55,50
"ENST00000317991",80,76,48,69,46,145,159
"ENST00000600231",63,78,18,29,29,75,57
"ENST00000680623",84,84,30,25,24,140,87
"ENST00000603669",10,8,8,9,6,11,10
"ENST00000411896",12,18,6,5,13,18,29
"ENST00000424536",32,29,10,18,15,13,12
"ENST00000598073",5,4,2,1,3,10,14
"ENST00000599476",3,4,3,4,2,7,3
"ENST00000595596",1,3,7,2,1,17,7
"ENST00000598362",28,33,25,12,16,32,17
"ENST00000598118",24,16,16,12,6,30,34
"ENST00000415950",5,9,12,6,14,43,37
"ENST00000262631",2,6,10,12,13,58,24
"ENST00000638536",0,1,3,1,6,11,4
"ENST00000640135",10,11,6,10,8,40,29
"ENST00000676410",1,1,3,6,0,6,0
"ENST00000675741",0,2,3,2,4,5,4
"ENST00000602150",7,2,6,12,11,50,12
"ENST00000672452",2,0,3,6,5,18,8
"ENST00000593305",0,0,1,0,5,8,8
"ENST00000648240",0,0,0,4,8,11,14
"ENST00000604404",47,35,79,132,261,353,315
"ENST00000435734",5,4,18,20,32,55,47
"ENST00000603181",3,2,7,10,19,38,20
"ENST00000604255",0,0,8,11,8,37,26
"ENST00000344013",0,0,9,6,15,8,11
"ENST00000346446",0,3,6,4,16,15,5
"ENST00000604504",0,2,1,8,1,8,1
"ENST00000605552",0,0,3,2,5,7,2
"ENST00000603524",0,1,9,4,12,12,11
"ENST00000604621",0,3,3,10,8,21,25
"ENST00000310123",60,51,162,225,375,584,330
"ENST00000392225",67,60,235,280,486,1489,887
"ENST00000493050",1,1,10,10,18,28,15
"ENST00000587780",1,2,2,5,9,18,9
"ENST00000591633",32,18,59,115,172,463,247
"ENST00000473160",6,10,23,30,53,89,47
"ENST00000592346",2,1,3,5,6,12,3
"ENST00000351325",45,45,90,110,312,674,309
"ENST00000592818",5,0,17,24,28,69,37
"ENST00000612146",1,4,15,13,27,58,41
"ENST00000455515",7,9,8,12,26,36,21
"ENST00000588715",23,14,25,45,109,135,82
"ENST00000588607",6,1,9,14,42,57,26
"ENST00000587056",1,4,6,5,3,7,13
"ENST00000588081",12,13,36,28,78,143,42
"ENST00000589121",5,11,44,85,107,102,44
"ENST00000590462",1,10,13,23,53,107,32
"ENST00000270310",45,26,71,94,101,238,82
"ENST00000439441",0,1,8,7,3,24,7
"ENST00000588265",3,1,2,0,3,5,3
"ENST00000392219",16,21,11,21,20,20,9
"ENST00000342879",1,3,2,3,4,0,3
"ENST00000392217",1,0,0,4,4,1,5
"ENST00000602122",74,73,28,9,13,37,41
"ENST00000621372",26,22,7,9,9,26,21
"ENST00000361790",17,18,7,7,4,17,17
"ENST00000360798",56,58,17,34,12,46,41
"ENST00000354900",167,162,56,68,38,140,158
"ENST00000347609",6,9,5,1,4,7,7
"ENST00000427250",15,14,4,6,4,12,10
"ENST00000605618",95,84,46,45,35,107,89
"ENST00000602044",6,9,12,3,0,9,7
"ENST00000222305",550,582,274,337,319,691,724
"ENST00000343550",107,142,92,95,74,148,169
"ENST00000595068",57,76,42,56,62,97,113
"ENST00000594064",14,34,5,1,10,21,33
"ENST00000607959",150,225,178,202,163,223,207
"ENST00000599471",3,6,1,1,0,3,4
"ENST00000599625",1,3,1,2,0,6,3
"ENST00000600341",57,58,47,46,58,71,78
"ENST00000594264",28,42,30,18,35,48,41
"ENST00000593580",1,4,1,3,3,5,6
"ENST00000246553",3,4,3,2,3,7,13
"ENST00000472365",0,3,2,1,4,5,6
"ENST00000408915",4,6,3,2,2,7,0
"ENST00000488542",3,1,8,1,4,9,1
"ENST00000402589",0,0,1,5,5,6,7
"ENST00000462721",0,2,1,1,2,2,7
"ENST00000339686",2,3,2,1,3,11,3
"ENST00000490622",4,4,8,4,10,14,8
"ENST00000436012",5,0,3,3,1,13,4
"ENST00000470964",5,3,2,6,2,7,8
"ENST00000489395",3,5,3,3,2,9,5
"ENST00000461300",4,6,1,3,1,2,1
"ENST00000593027",3,11,4,7,3,8,12
"ENST00000222284",893,871,429,614,510,876,944
"ENST00000392204",85,107,68,84,75,73,108
"ENST00000477168",19,10,4,3,7,16,20
"ENST00000596232",13,24,9,15,5,8,10
"ENST00000595467",18,38,14,17,3,14,26
"ENST00000599895",36,54,43,51,43,68,63
"ENST00000392205",3,1,3,3,4,14,10
"ENST00000262623",2,3,1,6,4,7,9
"ENST00000203166",159,120,58,80,64,122,92
"ENST00000587439",35,37,11,12,8,28,16
"ENST00000588570",9,7,1,8,4,5,7
"ENST00000585968",47,62,16,21,14,25,11
"ENST00000424522",53,46,24,25,28,58,25
"ENST00000592291",9,3,0,7,0,7,5
"ENST00000428854",46,32,19,24,33,46,34
"ENST00000588161",249,277,112,134,105,311,330
"ENST00000262633",208,235,116,86,85,308,310
"ENST00000592202",13,16,4,7,3,24,14
"ENST00000586618",11,9,2,3,4,14,13
"ENST00000589559",20,20,4,6,9,28,28
"ENST00000592526",18,14,8,6,5,18,14
"ENST00000589871",26,29,7,13,6,35,29
"ENST00000379026",12,7,6,6,4,18,15
"ENST00000402764",16,11,3,7,7,17,17
"ENST00000479824",11,10,12,6,5,3,12
"ENST00000591135",11,16,1,6,3,13,7
"ENST00000649813",3195,2887,1512,1825,1688,2578,2488
"ENST00000592141",90,177,93,91,112,107,106
"ENST00000590618",9,21,26,12,18,14,9
"ENST00000222275",2,6,5,13,7,5,11
"ENST00000379013",1,0,0,3,0,4,7
"ENST00000392197",5,4,4,6,4,8,15
"ENST00000442282",3,1,3,2,2,3,1
"ENST00000451726",3,2,1,5,0,5,15
"ENST00000262630",3,1,1,0,1,3,8
"ENST00000673918",71,99,33,51,37,126,96
"ENST00000687718",29,44,20,24,26,70,51
"ENST00000420124",99,131,43,52,41,186,163
"ENST00000692961",91,98,35,46,38,165,140
"ENST00000689139",9,31,11,8,3,32,21
"ENST00000691855",55,56,18,30,19,57,54
"ENST00000674114",9,20,6,1,0,9,10
"ENST00000691421",1,7,0,0,0,4,3
"ENST00000689544",14,20,6,6,7,29,17
"ENST00000693677",9,12,12,14,11,13,14
"ENST00000592092",2,4,7,4,0,10,5
"ENST00000585476",10,16,11,14,16,33,36
"ENST00000674101",5,10,9,11,7,10,9
"ENST00000693161",2,2,5,15,11,11,7
"ENST00000686920",6,2,2,6,1,6,3
"ENST00000246532",63,56,12,18,19,39,43
"ENST00000592889",6,0,5,0,0,5,0
"ENST00000589807",9,1,5,6,1,16,9
"ENST00000591084",9,10,7,8,7,22,39
"ENST00000378975",3,5,0,1,3,4,13
"ENST00000590135",11,19,19,26,23,37,37
"ENST00000585554",8,31,4,49,38,15,54
"ENST00000412391",2,7,5,10,4,7,25
"ENST00000594792",0,1,1,3,3,2,6
"ENST00000587987",9,12,12,5,10,48,27
"ENST00000588980",9,24,2,14,6,18,39
"ENST00000592913",6,10,4,14,8,11,25
"ENST00000292879",15,15,6,12,3,8,8
"ENST00000588892",22,21,10,7,12,35,22
"ENST00000586476",11,14,10,7,12,30,18
"ENST00000591949",193,94,58,53,41,128,99
"ENST00000222266",77,89,35,43,29,48,47
"ENST00000587708",663,560,230,341,322,445,442
"ENST00000591613",18,23,16,16,11,32,34
"ENST00000590706",2,0,2,1,1,5,6
"ENST00000301159",63,84,60,91,66,127,145
"ENST00000587108",6,5,10,8,10,6,10
"ENST00000595455",17,11,16,16,10,25,22
"ENST00000587751",8,8,2,4,3,13,24
"ENST00000590890",2,6,6,7,0,3,6
"ENST00000004982",3,8,4,4,7,23,23
"ENST00000696040",11,16,11,5,3,12,5
"ENST00000696041",50,56,8,11,6,38,14
"ENST00000696042",18,23,9,2,4,16,5
"ENST00000396908",112,122,76,58,59,129,82
"ENST00000301165",28,17,6,8,6,16,5
"ENST00000646935",172,168,88,86,61,197,148
"ENST00000696043",51,36,22,25,19,36,48
"ENST00000536950",82,59,35,40,40,108,72
"ENST00000620918",39,44,19,28,17,73,45
"ENST00000537459",3,2,1,1,2,6,1
"ENST00000421853",6,7,5,2,0,4,4
"ENST00000600988",40,22,13,18,21,40,33
"ENST00000544158",9,5,4,3,1,5,4
"ENST00000589133",1,0,2,5,3,2,2
"ENST00000378944",143,144,84,84,80,151,116
"ENST00000590893",9,13,6,1,5,5,9
"ENST00000007510",176,209,120,128,88,257,146
"ENST00000314737",63,90,66,69,41,83,111
"ENST00000221905",0,4,0,5,1,2,5
"ENST00000601474",4,7,2,3,0,9,2
"ENST00000588248",19,19,10,10,4,19,17
"ENST00000586918",2,5,2,0,2,2,5
"ENST00000593034",0,3,0,3,4,5,4
"ENST00000378910",67,53,56,67,42,22,64
"ENST00000353632",2,3,2,1,0,6,13
"ENST00000591817",7,7,0,1,0,0,0
"ENST00000592409",22,9,10,11,7,5,6
"ENST00000347900",9,3,3,3,0,3,1
"ENST00000360202",160,78,69,84,58,38,78
"ENST00000262625",7,5,2,2,4,1,0
"ENST00000537454",25,21,11,15,12,14,26
"ENST00000590561",74,62,53,52,38,51,45
"ENST00000221891",630,606,439,661,524,605,914
"ENST00000652533",544,503,200,320,247,371,627
"ENST00000586861",10,14,9,12,8,20,20
"ENST00000592316",25,14,14,10,14,9,7
"ENST00000587274",15,18,2,3,5,3,4
"ENST00000590926",4,3,2,1,3,0,4
"ENST00000591165",21,48,47,88,65,50,82
"ENST00000590828",12,15,7,25,10,28,24
"ENST00000641389",15,13,5,4,9,13,21
"ENST00000586361",3,4,5,2,1,5,6
"ENST00000585925",0,2,1,4,1,5,2
