groupID	featureID	featureID.1	groupID.1	gene	transcript
ENSG00000005483	ENST00000311117	ENST00000311117.8	ENSG00000005483.23	0.00327365342054319	1
ENSG00000005483	ENST00000478079	ENST00000478079.2	ENSG00000005483.23	0.00327365342054319	0.0206161917954938
ENSG00000005483	ENST00000479838	ENST00000479838.3	ENSG00000005483.23	0.00327365342054319	0.000538064273557765
ENSG00000009954	ENST00000339594	ENST00000339594.9	ENSG00000009954.11	0.0285913861220557	0
ENSG00000009954	ENST00000404251	ENST00000404251.1	ENSG00000009954.11	0.0285913861220557	0
ENSG00000035862	ENST00000262768	ENST00000262768.11	ENSG00000035862.13	0.0383169491127007	0
ENSG00000035862	ENST00000586057	ENST00000586057.5	ENSG00000035862.13	0.0383169491127007	0
ENSG00000038219	ENST00000040738	ENST00000040738.10	ENSG00000038219.13	0.00329880168380237	0
ENSG00000038219	ENST00000507943	ENST00000507943.2	ENSG00000038219.13	0.00329880168380237	0
ENSG00000046653	BambuTx1220	BambuTx1220	ENSG00000046653.15	0.00330285925443134	0
ENSG00000046653	ENST00000454189	ENST00000454189.7	ENSG00000046653.15	0.00330285925443134	0
ENSG00000050165	ENST00000326932	ENST00000326932.8	ENSG00000050165.19	0.000347860836621823	3.29843716211951e-05
ENSG00000050165	ENST00000396505	ENST00000396505.7	ENSG00000050165.19	0.000347860836621823	0.0421144301884184
ENSG00000050165	ENST00000683431	ENST00000683431.1	ENSG00000050165.19	0.000347860836621823	0.172643617459647
ENSG00000071082	ENST00000264258	ENST00000264258.8	ENSG00000071082.11	5.15341852524998e-10	0
ENSG00000071082	ENST00000409733	ENST00000409733.5	ENSG00000071082.11	5.15341852524998e-10	0
ENSG00000075415	ENST00000188376	ENST00000188376.9	ENSG00000075415.15	0.0393567904201097	0.781953783804285
ENSG00000075415	ENST00000401722	ENST00000401722.7	ENSG00000075415.15	0.0393567904201097	1
ENSG00000075415	ENST00000548480	ENST00000548480.1	ENSG00000075415.15	0.0393567904201097	0.0353755397771406
ENSG00000075415	ENST00000552981	ENST00000552981.6	ENSG00000075415.15	0.0393567904201097	1
ENSG00000075618	ENST00000382361	ENST00000382361.8	ENSG00000075618.18	0.00383429628741716	0
ENSG00000075618	ENST00000473330	ENST00000473330.1	ENSG00000075618.18	0.00383429628741716	0
ENSG00000078369	ENST00000378609	ENST00000378609.9	ENSG00000078369.19	0.00199517998339431	0
ENSG00000078369	ENST00000610897	ENST00000610897.4	ENSG00000078369.19	0.00199517998339431	0
ENSG00000082898	ENST00000401558	ENST00000401558.7	ENSG00000082898.19	0.00024945545982708	0
