gene_id	DG-WT-hRGC	EP1-BRN3B-RO	EP1-WT_ROs_D45	H9-BRN3B-RO	H9-CRX_ROs_D45	H9-hRGC_1	H9-hRGC_2	hRGC
ENSG00000224020	95	237	217	131	102	25	63	180
ENSG00000225783	214	44	100	20	64	43	392	633
ENSG00000226702	109	41	419	28	183	40	254	589
ENSG00000226742	28	65	45	60	36	4	29	60
ENSG00000227110	103	149	53	199	34	32	106	206
ENSG00000227398	87	68	50	39	37	8	48	87
ENSG00000228061	57	38	56	31	46	17	50	88
ENSG00000228862	3	3	10	5	2	0	5	9
ENSG00000229425	22	3	5	7	3	1	21	23
ENSG00000229739	47	163	19	143	6	5	25	81
ENSG00000229852	59	71	55	44	49	12	41	103
ENSG00000231312	63	66	48	69	71	8	56	90
ENSG00000231527	69	107	78	88	71	22	102	210
ENSG00000232442	29	47	33	40	28	4	39	85
ENSG00000234912	40	28	25	20	31	6	26	35
ENSG00000235437	137	210	79	133	39	55	125	261
ENSG00000235823	75	54	64	42	45	14	49	89
ENSG00000236432	40	61	46	55	35	5	19	70
ENSG00000236502	170	91	147	66	73	44	378	615
ENSG00000237298	23	16	22	8	18	3	9	31
ENSG00000242086	256	217	152	103	121	44	116	242
ENSG00000242242	1	3	6	24	0	5	28	73
ENSG00000242797	6	12	6	7	5	3	5	10
ENSG00000243678	463	310	835	213	746	53	513	595
ENSG00000243701	39	27	31	36	14	4	29	66
ENSG00000243970	0	2	1	3	0	0	0	2
ENSG00000244038	49	52	50	35	48	5	44	48
ENSG00000244879	618	392	331	182	251	100	441	793
ENSG00000245213	91	134	61	153	57	17	71	77
ENSG00000245556	11	9	3	8	10	6	8	21
ENSG00000245614	6	17	14	18	5	4	9	17
ENSG00000245910	399	717	1437	477	1058	90	654	1000
ENSG00000246662	18	3	22	13	16	8	23	61
ENSG00000248540	168	33	298	8	179	7	137	307
ENSG00000249087	11	28	37	18	29	10	44	68
ENSG00000249348	73	75	62	51	49	11	49	85
ENSG00000249437	164	123	97	51	61	49	219	319
ENSG00000250608	3	18	12	17	14	5	15	50
ENSG00000250682	2	3	2	5	3	10	53	56
ENSG00000250722	25	362	377	194	293	5	23	77
ENSG00000251136	118	105	77	90	77	17	123	148
ENSG00000251372	17	40	8	44	13	4	17	27
ENSG00000254122	74	0	1	7	6	10	76	112
ENSG00000254901	138	120	121	87	111	25	105	183
ENSG00000256525	40	79	96	43	63	23	95	178
ENSG00000257365	72	60	101	52	78	13	60	120
ENSG00000257621	171	137	143	113	131	20	98	163
ENSG00000257815	47	58	69	53	38	5	33	97
ENSG00000257923	104	89	106	68	66	14	61	135
ENSG00000258441	214	66	55	63	54	38	120	208
ENSG00000258947	3626	165	1362	73	738	291	4007	5663
ENSG00000260442	14	20	68	16	81	3	22	40
ENSG00000261008	12	9	54	4	34	6	17	33
ENSG00000264343	26	319	117	162	74	10	36	58
ENSG00000265485	18	6	13	8	5	4	23	92
ENSG00000266028	218	112	149	40	91	38	220	350
ENSG00000266472	523	608	1084	389	394	96	596	1016
ENSG00000266964	2	330	39	139	33	4	5	12
ENSG00000267106	28	44	27	38	37	11	37	60
ENSG00000267254	12	53	36	11	8	5	12	25
ENSG00000267327	5	2	6	7	6	9	16	41
ENSG00000267383	29	43	92	47	89	10	40	76
ENSG00000267751	2	8	21	6	25	1	2	3
ENSG00000269416	27	19	81	7	51	2	25	51
ENSG00000269713	218	266	157	258	140	45	151	253
ENSG00000270112	15	16	10	6	16	3	22	23
ENSG00000270332	20	41	27	37	26	10	16	37
ENSG00000272677	22	41	27	32	30	4	39	56
ENSG00000273247	87	109	80	82	60	6	64	133
ENSG00000273611	97	95	176	102	126	16	115	203
ENSG00000273749	35	47	78	20	49	8	65	119
ENSG00000275832	48	57	36	20	40	3	36	71
ENSG00000276023	26	76	95	57	72	5	42	53
ENSG00000278023	5	6	31	1	23	1	9	5
ENSG00000278259	34	45	65	33	51	7	52	87
ENSG00000279170	100	85	91	33	52	15	49	124
ENSG00000280832	14	12	35	12	18	19	45	125
ENSG00000283103	54	22	36	13	28	6	42	58
ENSG00000283154	52	30	15	27	12	15	92	135
ENSG00000283674	65	108	45	141	118	33	94	180
ENSG00000284624	34	36	19	35	27	17	46	105
ENSG00000285103	18	36	30	32	41	3	29	52
ENSG00000285847	70	5	6	2	6	12	61	73
ENSG00000286833	35	63	36	81	32	15	39	80
ENSG00000288602	3	10	25	12	6	0	6	15
ENSG00000290689	348	271	303	169	247	25	193	557
ENSG00000290720	34	25	21	5	7	6	18	35
ENSG00000290877	9	246	8	375	11	5	36	42
ENSG00000291003	200	88	81	49	28	42	161	220
ENSG00000291015	55	61	78	27	40	5	41	90
ENSG00000291043	9	18	5	16	1	1	10	7
ENSG00000291066	67	51	31	44	31	13	72	102
ENSG00000291074	20	12	13	36	7	8	28	73
ENSG00000291122	153	69	72	41	49	10	54	132
ENSG00000291129	3	9	2	3	6	1	9	15
ENSG00000291131	5	17	15	11	16	4	9	26
ENSG00000291133	48	34	64	41	63	4	28	47
ENSG00000291203	119	109	77	53	57	26	65	104
ENSG00000291237	103	158	129	129	78	24	93	154
ENSG00000291258	6	11	16	4	12	3	8	7
ENSG00000292982	103	203	199	102	200	18	68	127
ENSG00000293115	149	115	106	60	83	27	94	137
ENSG00000293320	56	72	124	54	122	17	61	111
ENSG00000293460	146	69	87	71	95	40	127	253
ENSG00000293478	60	61	77	37	78	21	50	138
ENSG00000293495	18	36	105	13	90	1	12	18
