"isoform_id","gene_id","gene_symbol"
"ENST00000551519","ENSG00000111110","PPM1H"
"ENST00000548414","ENSG00000111110","PPM1H"
"ENST00000547857","ENSG00000111110","PPM1H"
"ENST00000541911","ENSG00000177990","DPY19L2"
"ENST00000541083","ENSG00000177990","DPY19L2"
"ENST00000687087","ENSG00000118600","RXYLT1"
"ENST00000542381","ENSG00000196935","SRGAP1"
"ENST00000541802","ENSG00000185306","C12orf56"
"ENST00000540203","ENSG00000184575","XPOT"
"ENST00000676684","ENSG00000183735","TBK1"
"ENST00000650790","ENSG00000183735","TBK1"
"ENST00000651262","ENSG00000183735","TBK1"
"ENST00000678368","ENSG00000183735","TBK1"
"ENST00000679050","ENSG00000183735","TBK1"
"ENST00000676901","ENSG00000183735","TBK1"
"ENST00000678808","ENSG00000183735","TBK1"
"ENST00000678718","ENSG00000183735","TBK1"
"ENST00000679010","ENSG00000183735","TBK1"
"ENST00000676587","ENSG00000183735","TBK1"
"ENST00000637125","ENSG00000153179","RASSF3"
"ENST00000434563","ENSG00000111490","TBC1D30"
"ENST00000674171","ENSG00000111490","TBC1D30"
"ENST00000542032","ENSG00000174106","LEMD3"
"ENST00000614640","ENSG00000174099","MSRB3"
"ENST00000646299","ENSG00000174099","MSRB3"
"ENST00000642404","ENSG00000174099","MSRB3"
"ENST00000545407","ENSG00000155957","TMBIM4"
"ENST00000536862","ENSG00000127311","HELB"
"ENST00000535002","ENSG00000155974","GRIP1"
"ENST00000643019","ENSG00000155974","GRIP1"
"ENST00000535721","ENSG00000155974","GRIP1"
"ENST00000537632","ENSG00000127334","DYRK2"
"ENST00000542503","ENSG00000127334","DYRK2"
"ENST00000540418","ENSG00000111554","MDM1"
"ENST00000536997","ENSG00000111554","MDM1"
"ENST00000541386","ENSG00000127314","RAP1B"
"ENST00000538877","ENSG00000127314","RAP1B"
"ENST00000538549","ENSG00000111581","NUP107"
"ENST00000471946","ENSG00000135679","MDM2"
"ENST00000549691","ENSG00000135678","CPM"
"ENST00000550075","ENSG00000111605","CPSF6"
"ENST00000549933","ENSG00000166226","CCT2"
"ENST00000361484","ENSG00000198812","LRRC10"
"ENST00000547771","ENSG00000166268","MYRFL"
"ENST00000552422","ENSG00000111596","CNOT2"
"ENST00000553020","ENSG00000111596","CNOT2"
"ENST00000548939","ENSG00000111596","CNOT2"
"ENST00000549705","ENSG00000111596","CNOT2"
"ENST00000551525","ENSG00000127329","PTPRB"
"ENST00000538174","ENSG00000127329","PTPRB"
"ENST00000440835","ENSG00000153233","PTPRR"
"ENST00000378778","ENSG00000153233","PTPRR"
"ENST00000549107","ENSG00000153233","PTPRR"
"ENST00000549015","ENSG00000139292","LGR5"
"ENST00000547310","ENSG00000139292","LGR5"
"ENST00000546475","ENSG00000133858","ZFC3H1"
"ENST00000546771","ENSG00000133858","ZFC3H1"
"ENST00000550712","ENSG00000133858","ZFC3H1"
"ENST00000551238","ENSG00000173451","THAP2"
"ENST00000474468","ENSG00000121749","TBC1D15"
"ENST00000549402","ENSG00000121749","TBC1D15"
"ENST00000460818","ENSG00000121749","TBC1D15"
"ENST00000483828","ENSG00000121749","TBC1D15"
"ENST00000548156","ENSG00000072657","TRHDE"
"ENST00000552503","ENSG00000072657","TRHDE"
"ENST00000409004","ENSG00000180881","CAPS2"
"ENST00000409799","ENSG00000180881","CAPS2"
"ENST00000493070","ENSG00000180881","CAPS2"
"ENST00000312442","ENSG00000173401","GLIPR1L1"
"ENST00000550916","ENSG00000180481","GLIPR1L2"
"ENST00000602540","ENSG00000139289","PHLDA1"
"ENST00000548485","ENSG00000091039","OSBPL8"
"ENST00000550865","ENSG00000091039","OSBPL8"
"ENST00000548341","ENSG00000091039","OSBPL8"
"ENST00000550628","ENSG00000091039","OSBPL8"
"ENST00000549646","ENSG00000091039","OSBPL8"
"ENST00000551407","ENSG00000186908","ZDHHC17"
"ENST00000549944","ENSG00000186908","ZDHHC17"
"ENST00000549010","ENSG00000186908","ZDHHC17"
"ENST00000547673","ENSG00000186908","ZDHHC17"
"ENST00000547316","ENSG00000165891","E2F7"
"ENST00000549464","ENSG00000067798","NAV3"
"ENST00000536525","ENSG00000067798","NAV3"
"ENST00000551277","ENSG00000067798","NAV3"
"ENST00000704709","ENSG00000067715","SYT1"
"ENST00000704713","ENSG00000067715","SYT1"
"ENST00000704716","ENSG00000067715","SYT1"
"ENST00000552074","ENSG00000067715","SYT1"
"ENST00000704718","ENSG00000067715","SYT1"
"ENST00000549454","ENSG00000067715","SYT1"
"ENST00000547046","ENSG00000067715","SYT1"
"ENST00000547016","ENSG00000177425","PAWR"
