"gene_id","gene_symbol","n_LRonly_isoforms"
"ENSG00000077044","DGKD",4
"ENSG00000077157","PPP1R12B",4
"ENSG00000077264","PAK3",4
"ENSG00000077380","DYNC1I2",4
"ENSG00000078043","PIAS2",4
"ENSG00000078124","ACER3",4
"ENSG00000078328","RBFOX1",4
"ENSG00000078403","MLLT10",4
"ENSG00000078795","PKD2L2",4
"ENSG00000079482","OPHN1",4
"ENSG00000079819","EPB41L2",4
"ENSG00000079841","RIMS1",4
"ENSG00000080823","MOK",4
"ENSG00000081248","CACNA1S",4
"ENSG00000081913","PHLPP1",4
"ENSG00000081923","ATP8B1",4
"ENSG00000082438","COBLL1",4
"ENSG00000083312","TNPO1",4
"ENSG00000085832","EPS15",4
"ENSG00000086300","SNX10",4
"ENSG00000087460","GNAS",4
"ENSG00000088367","EPB41L1",4
"ENSG00000088387","DOCK9",4
"ENSG00000088970","KIZ",4
"ENSG00000089225","TBX5",4
"ENSG00000091136","LAMB1",4
"ENSG00000092199","HNRNPC",4
"ENSG00000094631","HDAC6",4
"ENSG00000095637","SORBS1",4
"ENSG00000095794","CREM",4
"ENSG00000099331","MYO9B",4
"ENSG00000099715","PCDH11Y",4
"ENSG00000100146","SOX10",4
"ENSG00000100350","FOXRED2",4
"ENSG00000100697","DICER1",4
"ENSG00000101489","CELF4",4
"ENSG00000102445","RUBCNL",4
"ENSG00000102575","ACP5",4
"ENSG00000103197","TSC2",4
"ENSG00000103226","NOMO3",4
"ENSG00000103599","IQCH",4
"ENSG00000103657","HERC1",4
"ENSG00000104299","INTS9",4
"ENSG00000104731","KLHDC4",4
"ENSG00000104859","CLASRP",4
"ENSG00000105357","MYH14",4
"ENSG00000105373","NOP53",4
"ENSG00000106278","PTPRZ1",4
"ENSG00000106415","GLCCI1",4
"ENSG00000106443","PHF14",4
"ENSG00000106829","TLE4",4
"ENSG00000107249","GLIS3",4
"ENSG00000107331","ABCA2",4
"ENSG00000107736","CDH23",4
"ENSG00000107959","PITRM1",4
"ENSG00000108061","SHOC2",4
"ENSG00000108599","AKAP10",4
"ENSG00000108883","EFTUD2",4
"ENSG00000109756","RAPGEF2",4
"ENSG00000109906","ZBTB16",4
"ENSG00000110514","MADD",4
"ENSG00000110881","ASIC1",4
"ENSG00000111596","CNOT2",4
"ENSG00000111728","ST8SIA1",4
"ENSG00000111817","DSE",4
"ENSG00000111879","FAM184A",4
"ENSG00000112561","TFEB",4
"ENSG00000113048","MRPS27",4
"ENSG00000113163","CERT1",4
"ENSG00000113448","PDE4D",4
"ENSG00000114062","UBE3A",4
"ENSG00000114331","ACAP2",4
"ENSG00000115525","ST3GAL5",4
"ENSG00000115760","BIRC6",4
"ENSG00000116062","MSH6",4
"ENSG00000116141","MARK1",4
"ENSG00000116539","ASH1L",4
"ENSG00000116584","ARHGEF2",4
"ENSG00000116690","PRG4",4
"ENSG00000117834","SLC5A9",4
"ENSG00000117859","OSBPL9",4
"ENSG00000118058","KMT2A",4
"ENSG00000118137","APOA1",4
"ENSG00000119321","FKBP15",4
"ENSG00000119397","CNTRL",4
"ENSG00000120008","WDR11",4
"ENSG00000120868","APAF1",4
"ENSG00000121104","FAM117A",4
"ENSG00000121281","ADCY7",4
"ENSG00000121749","TBC1D15",4
"ENSG00000122390","NAA60",4
"ENSG00000122490","SLC66A2",4
"ENSG00000122786","CALD1",4
"ENSG00000123908","AGO2",4
"ENSG00000124140","SLC12A5",4
"ENSG00000125386","FAM193A",4
"ENSG00000126226","PCID2",4
"ENSG00000126883","NUP214",4
"ENSG00000127947","PTPN12",4
"ENSG00000129116","PALLD",4
"ENSG00000129292","PHF20L1",4
"ENSG00000129460","NGDN",4
"ENSG00000129657","SEC14L1",4
"ENSG00000130309","COLGALT1",4
"ENSG00000130479","MAP1S",4
"ENSG00000131165","CHMP1A",4
"ENSG00000131748","STARD3",4
"ENSG00000132002","DNAJB1",4
"ENSG00000132207","SLX1A",4
"ENSG00000132535","DLG4",4
"ENSG00000132740","IGHMBP2",4
"ENSG00000133612","AGAP3",4
"ENSG00000133703","KRAS",4
"ENSG00000133704","IPO8",4
"ENSG00000133710","SPINK5",4
"ENSG00000133818","RRAS2",4
"ENSG00000134215","VAV3",4
"ENSG00000134283","PPHLN1",4
"ENSG00000134287","ARF3",4
"ENSG00000134352","IL6ST",4
"ENSG00000134440","NARS1",4
"ENSG00000134900","TPP2",4
"ENSG00000135127","BICDL1",4
"ENSG00000135316","SYNCRIP",4
"ENSG00000135333","EPHA7",4
"ENSG00000135362","PRR5L",4
"ENSG00000135365","PHF21A",4
"ENSG00000136051","WASHC4",4
"ENSG00000136231","IGF2BP3",4
"ENSG00000136261","BZW2",4
"ENSG00000136448","NMT1",4
"ENSG00000136492","BRIP1",4
"ENSG00000136848","DAB2IP",4
"ENSG00000136928","GABBR2",4
"ENSG00000137310","TCF19",4
"ENSG00000137601","NEK1",4
"ENSG00000137710","RDX",4
"ENSG00000137857","DUOX1",4
"ENSG00000137936","BCAR3",4
"ENSG00000138162","TACC2",4
"ENSG00000138193","PLCE1",4
"ENSG00000138375","SMARCAL1",4
"ENSG00000138411","HECW2",4
"ENSG00000138735","PDE5A",4
"ENSG00000138796","HADH",4
"ENSG00000138835","RGS3",4
"ENSG00000139679","LPAR6",4
"ENSG00000140386","SCAPER",4
"ENSG00000140479","PCSK6",4
"ENSG00000141380","SS18",4
"ENSG00000141480","ARRB2",4
"ENSG00000142235","LMTK3",4
"ENSG00000143153","ATP1B1",4
"ENSG00000143322","ABL2",4
"ENSG00000143870","PDIA6",4
"ENSG00000144218","AFF3",4
"ENSG00000144285","SCN1A",4
"ENSG00000144320","LNPK",4
"ENSG00000144331","ZNF385B",4
"ENSG00000144426","NBEAL1",4
"ENSG00000144579","CTDSP1",4
"ENSG00000144619","CNTN4",4
"ENSG00000144674","GOLGA4",4
"ENSG00000144815","NXPE3",4
"ENSG00000144847","IGSF11",4
"ENSG00000145020","AMT",4
"ENSG00000145113","MUC4",4
"ENSG00000145692","BHMT",4
"ENSG00000145703","IQGAP2",4
"ENSG00000146282","RARS2",4
"ENSG00000146373","RNF217",4
"ENSG00000147099","HDAC8",4
"ENSG00000147316","MCPH1",4
"ENSG00000147526","TACC1",4
"ENSG00000147642","SYBU",4
"ENSG00000147852","VLDLR",4
"ENSG00000148513","ANKRD30A",4
"ENSG00000148672","GLUD1",4
"ENSG00000149483","TMEM138",4
"ENSG00000150625","GPM6A",4
"ENSG00000151338","MIPOL1",4
"ENSG00000151348","EXT2",4
"ENSG00000151694","ADAM17",4
"ENSG00000151923","TIAL1",4
"ENSG00000151948","GLT1D1",4
"ENSG00000152359","POC5",4
"ENSG00000152767","FARP1",4
"ENSG00000152952","PLOD2",4
"ENSG00000152990","ADGRA3",4
"ENSG00000153015","CWC27",4
"ENSG00000153406","NMRAL1",4
"ENSG00000153560","UBP1",4
