gene_id	logFC	logCPM	F	PValue	FDR
ENSG00000114805	1.43931483433014	5.46843692519031	48.0660795104581	2.57390942068295e-06	3.20401442848937e-05
ENSG00000067191	-1.57408105085269	4.99378333553062	47.9436540073566	2.61584559625823e-06	3.25351227607699e-05
ENSG00000158321	-1.34264355285807	7.5864804678402	47.9239234502684	2.62267550368796e-06	3.25930005541305e-05
ENSG00000105379	-1.34788571030282	7.86775242555535	47.8830666753773	2.63688200914583e-06	3.27423781815579e-05
ENSG00000128965	-2.20876357032859	3.80823396554328	47.8450180679228	2.65018958970984e-06	3.288035551442e-05
ENSG00000148386	1.9507278252115	4.23528220814278	47.8180044105047	2.65968331634708e-06	3.29708258793853e-05
ENSG00000203618	-2.69605734213827	3.35941258269218	47.7962307091476	2.66736322185026e-06	3.3032678607614e-05
ENSG00000203760	1.9689739097468	4.19433411867992	47.7913601143119	2.66908454859519e-06	3.3032678607614e-05
ENSG00000169047	1.80285848659217	4.5325354450642	47.7605671577466	2.67999597915353e-06	3.31403301303254e-05
ENSG00000100101	-1.79587867639618	4.79978096061378	48.1611218029288	2.69689234339448e-06	3.33019015244393e-05
ENSG00000120725	1.71664637307651	4.38779877106722	47.7114345065871	2.6975096193085e-06	3.33019015244393e-05
ENSG00000077274	2.83014645073113	3.53120568608233	47.6921638241803	2.70441372972739e-06	3.33596339395944e-05
ENSG00000184939	-1.42382293807312	5.20494999236955	47.64386343119	2.72180542126471e-06	3.35465318382214e-05
ENSG00000166974	-1.34109367395404	6.38754357648855	47.6028919683091	2.73665635645115e-06	3.37018330081052e-05
ENSG00000117569	-1.30555721071869	7.39254215972631	47.5852355243881	2.74308424641957e-06	3.3752048122267e-05
ENSG00000105559	2.11973126035444	3.87098734692952	47.574769101395	2.74690256329676e-06	3.3752048122267e-05
ENSG00000134602	1.76334855173474	4.76732536096109	47.6538080586166	2.74749560340858e-06	3.3752048122267e-05
ENSG00000002746	-3.6365946943696	2.88305392520196	47.9523935995355	2.77156458313185e-06	3.40198193708192e-05
ENSG00000226742	3.02038625665543	3.13535005711972	47.4663675661748	2.78680109057073e-06	3.41788258241578e-05
ENSG00000197872	-1.67761970409707	4.40849443284091	47.4415572468425	2.79602381913908e-06	3.42638761797118e-05
