isoform_id	EP1.WT_hRO_2	EP1.WT_ROs_D45	H9.BRN3B_hRO_2	H9.CRX_hRO_2	H9.CRX_ROs_D45
ENST00000265351.12	27.46905	41.8108	27.69162	30.71145	42.74707
ENST00000265393.10	35.2367	101.62086	61.56767	58.42034	78.06642
ENST00000265437.9	0.89645	0.95855	0.52233	0.30421	0.30216
ENST00000265460.9	16.05738	2.70511	8.50291	20.64593	3.33233
ENST00000265620.11	4e-5	25.71826	11.66178	26.34302	18.94957
ENST00000265651.8	19.61924	22.74983	18.322	23.07779	21.28924
ENST00000265663.12	2.52978	9.21145	1.09827	2.33466	12.98257
ENST00000265728.6	11.07896	33.65338	16.53423	14.62708	33.15892
ENST00000265755.7	2.48075	5.75823	2.26822	2.09268	8.38636
ENST00000265800.9	0	0.09886	0	0	0
ENST00000265801.6	4.18524	3.30815	6.13087	2.64817	4.16016
ENST00000265849.12	0	0	0	2.31035	0
ENST00000265865.3	0.89961	0.88796	2.29332	0.69065	0
ENST00000265881.10	15.24319	24.94047	16.28116	14.10087	32.03153
ENST00000265960.8	6.90677	13.19813	7.28403	2.17077	21.33297
ENST00000265970.11	21.9167	9.14206	20.99279	24.28604	6.84973
ENST00000265978.8	3.39625	7.63843	4.176	6.49793	9.96623
ENST00000265993.13	22.95941	31.3599	27.35648	34.00221	36.62025
ENST00000266014.11	20.06225	25.16755	23.70457	20.51531	24.54095
ENST00000266022.9	12.22144	18.18211	11.42186	10.69661	15.93771
ENST00000266039.7	1.09592	0	0	0	0
ENST00000266041.9	0.27398	0.93261	0.09683	0	1.30459
ENST00000266068.5	10.65896	0	9.11812	10.06166	0
ENST00000266458.10	36.16881	23.28928	32.77722	25.17376	17.6158
ENST00000266682.10	4.85169	15.4266	6.96986	7.56744	11.82435
ENST00000266971.8	2.73584	6.15387	3.99567	4.25653	5.36245
ENST00000267219.12	8.38071	5.39988	1.2718	12.33768	4.10428
ENST00000267229.11	1.5271	4.13913	2.61318	3.48864	2.76065
ENST00000267430.10	2.80246	11.09908	2.54369	3.68945	7.34038
ENST00000267488.9	1.35628	4.32341	4.50105	3.98881	3.37535
ENST00000267836.10	10.28411	20.50123	6.7877	9.96617	38.50927
ENST00000268043.8	2.25416	10.83761	2.03277	1.90345	10.38619
ENST00000268049.11	0.88562	0	3.89142	1.89456	0
ENST00000268124.11	0	0.48265	0	0.91917	0.22944
ENST00000268148.13	2.70534	5.65926	3.63241	10.20868	4.25507
ENST00000268206.12	9.23537	19.84244	10.61452	13.09302	14.95615
ENST00000268489.10	14.51831	30.69865	4.12165	12.41053	29.0322
ENST00000268676.11	2.15406	1.81316	0.79094	4.92078	1.56959
ENST00000268763.10	0.45415	0	0	0	0.10597
ENST00000268896.10	3.02735	5.71967	6.00601	5.39698	6.2774
ENST00000268989.8	8.5276	1.15663	5.17467	1.62639	3.53099
ENST00000269095.9	9.42388	6.56664	17.38625	12.91938	5.95971
ENST00000269137.11	6.78445	25.16853	10.3649	11.83442	23.15155
ENST00000269243.8	52.10449	108.56255	53.77432	40.76412	110.73827
ENST00000269305.9	3.38136	2.5739899999999998	0	4.23576	0.80649
ENST00000269439.12	20.33621	30.49629	18.83095	13.10434	26.46035
